accra	ác ra
carpentier	ca ben thai ơ
cascade	ca xờ cát
caselli	ca xê li
castries	cát tri
catal	ca tan
cataldi	ca tan đi
chadwick	cha đuých
chakri	chắc ri
chandrasekhar	chan đờ ra xê ca
cheljuskin	chê liu xờ kin
chernyshevskij	chéc nư sép xờ ki
chindwin	chin đu in
claudel	cờ lô đen
cockcroft	cốc cờ rốp
colbert	côn bớt
coleridge	câu lơ rít
collin	cô lin
coloane	cô lô an
cologne	cô lô nhơ
colophon	cô lô phôn
comino	cô mi nô
commons	com mơn
condamine	công đa min
conquistador	côn ki xờ ta đo
conring	côn rinh
constant	con xờ tăng
copenhagen	cô ben ha ghen
cornell	cô nen
correggio	cô re giô
cottbus	cốt bút
cousin	cu sinh
coventry	câu ven tơ ry
crick	cờ rích
cuenca	cu en ca
curitiba	cu ri ti ba
ebre	e bờ rơ
ebro	ê bờ rô
effel	ép phen
elbasan	eo ba san
elbe	en bơ
ellora	e lô ra
emmanuel	em ma nu en
encamp	en cam
enzeli	en giê li
erasmus	e rát mút
ernest	éc nét
estados	ét ta đốt
estenssoro	ét sờ ten sô rô
ettadhamen	ét ta đa men
falkland	phô cờ len
fersman	phơ xờ man
fields	phiu
filipe	phi líp
flaminius	phờ la mi ni út
flewelling	phờ lu ê linh
fourier	phu ri ê
fournier	pho ni ơ
freetown	phờ ri thao
frege	phờ rê gơ
frisian	phờ ri sân
fromaget	phờ rô ma gét
fromm	phờ rom
fundy	phân đi
gamow	ga mốp
garonnes	ga rôn
george	giót giơ
georgij	gu rơ vích
gercen	giét xen
gilels	ghi leo
gilson	ghin xơn
giotto	giốt tô
gitega	ghi tê ga
glazunov	gờ la giu nốp
godthaab	gót tháp
golden	gôn đân
goncourt	gông cua
gorrie	gô ri
gothic	gô tích
graebner	gờ rép nơ
gram	gờ ram
gregor	gờ rê go
grimm	gờ rim
guggenheim	gu gan ham
guyana	gu da na
hanau	ha nao
hans	han
hardy	ha đi
harkness	hác nét
harunobu	ha ru nô bu
haryane	ha ri an
hassan	hát san
haussmann	hốt man
havel	ha ven
hayam	ha dam
haydn	hay đơn
herculanum	héc cu la num
herschel	héc sen
hesiodos	hê si ô đốt
hirohito	hi rô hi tô
hisinger	hi xin gơ
hoban	hơ bơn
hokusai	hô cu xai
honduras	hôn đu rát
honolulu	hô nô lu lu
honshu	hôn su
hooke	húc
host	hót sờ
hulagu	hu la gu
hume	hi um
hydaspes	hi đa xờ bơ
illinois	i li noi
innocento	in nô xen tô
ipoh	i bô
isakovich	i xa cô vích
ishikotrau	i si cô trau
issus	i xút
jacob	gia cốp
jima	gi ma
joyce	gioi xơ
kaifeng	khai pheng
kamba	cam ba
kampot	căm bốt
kanchanaburi	can cha na bu ri
kandy	can đi
karasu	ca ra su
karpov	các bốp
karsk	các xờ cơ
kartli	các li
kashmir	cát sờ mia
kaspi	cát sờ bi
kaunas	cau nát
kazanskij	ka gian xờ ki
keio	keo
kellogg	kê lốc
kendrew	ken đờ riu
kentucky	ken túc ki
kenya	kê ni a
ketterle	kê tơ lơ
khabarovsk	kha ba rốp xờ ki
khariton	kha ri tôn
kilauea	ki lau a
kiribati	ki ri ba ti
kirov	ki rốp
kismaayo	ki xờ may ô
kitaj	ki tai
kjeldahl	kiên đan
koechlin	cô ét lin
kolonia	cô lô ni a
komer	cô mơ
koudougou	cu đu gu
kragujevac	cờ ra gui ê vắc
krasnodar	cờ rát nô đa
kromdraai	cờ rôm đờ rai
kunstkammer	cun sờ tơ ca mơ
kuznecov	cu giơ nét xốp
lachaise	la chai
laforgue	la phót ghiu
lagny	lan hy
lamarck	la mắc
lancelot	lăng xơ lô
lane	len
laperuza	la be ru gia
lask	lát sờ cơ
latour	la tu a
laughlin	láp lin
leone	lê ôn
leonid	lê ô nít
leontief	lê ôn ti ép
lermontov	léc môn tốp
lerne	lơn
lesbos	lê sờ bô
lescot	lét xờ cót
leucippe	lơ xíp
lhote	lốt
libby	li bi
liebknecht	li ếp nếch
lietuvos	lít va
limmat	li mát
little	lít tô
loango	lô ăng gô
lobito	lô bi tu
lualaba	lua la ba
lucien	lu xi ân
luckenwalde	lúc ken van đơ
lully	lu y ly
lusitani	lu di ta ni
luther	lu thơ
lwoff	lơ vốp
lykeios	li cây ốt
maastricht	mát sờ trích
mably	ma bờ li
maccarthy	mác ca thy
madagascar	ma đa gát sờ ca
magdalena	mác đa lê na
mahall	ma han
mahler	ma lơ
maillol	mai lon
makarova	ma ca rô va
makino	ma ki nô
malevich	ma lê vích
manaut	ma nau
manet	ma nét
mar	ma rờ
marchais	mác se
marconi	mác cô ni
marinetti	ma ri nét ti
marino	ma ri nô
mariotte	ma ri ốt
maritain	ma ri tan
markovo	mác cô vô
martinson	mác tin xơn
mashhad	mát sờ hát
mashonaland	ma sô na len
masina	ma si na
masown	ma xơn
massine	ma sin
mathieu	ma thi ơ
mato	ma tu
matta	mát ta
maudao	mau đao
mavaca	ma va ca
mboshi	mơ bô si
mckinley	mác kin li
meckel	méch ken
medan	mê đan
medvednica	mét vét ni ca
mehring	mê rinh
meillet	mây lét
mendelsohn	men đen xơn
mesurado	mê xu ra đô
metagenes	mê ta ghê nét
michoacan	mi chô a can
mickiewicz	mít ki ê vích
miguelito	mi ghê li tô
milankovich	mi lan cô vít
mincus	min cút
minin	mi nin
minos	mi nốt
moholy	mô hô ly
mongo	môn gô
montesquieu	mông tét ki ơ
montmorillon	môn mô ri lon
morisot	mô ri giô
moskva	mát xờ cơ va
mounier	mu ni ê
moustier	mao sờ ti ơ
muhammad	mu ha mét
mukden	múc đen
mullerup	mu le rúp
munku	mun cu
murmansk	mua man sờ cơ
mutare	mu ta rê
mymensingh	my men xin gơ
nagel	na ghen
namangan	na man gan
narva	nác va
natorp	na tóc bơ
navarre	na va
negros	nê gờ rốt
neimeng	nây meng
nelson	nen xơn
nervi	néc vi
neseby	nét sờ bai
nikolaevsk	ni cô la ép xờ cơ
ninigi	ni ni gi
nkomo	nơ cô mô
nolde	nôn đơ
novi	nô vi
novosibirsk	nô vô si bia sờ cơ
nukualofa	nu ku a lô pha
octavius	óc ta vi út
pak	bắc
pane	ba nê
paolo	bao lô
paraguay	ba ra quay
parma	bác ma
parsons	ba sân
patesi	pa tê xi
paulus	bao lút
pavlovsk	báp lốp sờ cơ
paxton	bắc xờ tơn
peggy	bê ghi
pegu	bê gu
pelman	ben man
penzias	ben gi át
perov	bê rốp
phong	phong
piccard	bi ca
plekhanov	phờ lê kha nốp
ploutarkhos	phờ lau ta khơ
polonnaruwa	bô lôn na ru va
polybe	pô lu bi ốt
pontrjagin	bôn tri a ghin
preto	phờ rê tu
prior	phờ rai ơ
pylos	bi lốt
pythyos	bi ti ốt
rabelais	ra bi lây
rance	răng xơ
ras	rát
ravi	ra vi
ray	rây
rebreanu	rê bờ rê a nu
riemann	ri man
rimbaud	rim bao
robinet	rô bi nét
roggeveen	rô ghê ven
roken	rô ken
rorschach	rô sắc
rose	rô dơ
rosenbusch	rô sen bu sơ
rouault	rao ốt
roux	ru
ruhengeri	ru hen ghê ri
rutland	rút len
ruysdael	ruy sờ đa ên
samurai	sa mu rai
schmoller	sờ môn lơ
schwarzschild	sờ qua sờ chai ô
sharp	sáp
shelley	se li
sheridan	se ri đân
shetland	sét len
shilka	sin ca
sholokhov	sô lô khốp
shukshin	sắc san
steiner	sờ tai nơ
tabor	ta bo rờ
tagpochau	ta bô chau
talet	ta lét
tamara	ta ma ra
tana	ta na
tanizaki	ta ni gia ki
taranto	ta ran tô
taukum	tau cum
thar	tha
thenard	tê na
tibre	ti bờ rơ
tiffeneau	ti pha nô
timmermans	tim méc man
timor	ti mo
tinbergen	tin béc ghen
tirreno	ti rê nô
titien	ti tiên
tokunnaga	tô cun na ga
tongatapu	tôn ga ta bu
toronto	tô ron tô
torricelli	tô ri che li
toulon	tu lông
trondheim	trôn hem
tropinin	tơ rô bi nin
truchsess	tru sét
truffaut	truy phô
truman	tơ ru man
tunguska	tun gu xờ ca
turgenev	tuốc ghê nép
twain	tu ên
uelen	u ê len
utta	út ta
valencia	va len xi a
valens	va len
varna	vác na
vauban	vô băng
verdi	véc đi
verga	véc ga
vergilius	véc gi li út
vilhelm	vin hem
virgile	viếc gin
vodkin	vốt kin
voznesenskij	vô giờ nê sen xờ ki
xieng	xiêng
yale	den
yamazaki	da ma gia ki
yamoussoukro	da mao sờ cờ rô
yatenga	da ten ga
zahir	gia hi a
zakopane	gia cô ben
zavojskij	gia voi sờ ki
zeravshan	giê ráp san
