aachen	a khen
athanasius	a tha na xi út
athinai	a tha nai
atlan	át lăng
atlas	át lát
attapu	át ta bu
attica	át ti ca
attila	át ti la
auguste	ao gợt
augustinus	au gu xờ ti nút
augusto	au gút sờ tô
augustus	au gu xờ tút
aung	a ung
austerlitz	ao xờ téc lít
ava	a va
avarua	a va rua
avicenne	a vi xen nơ
avignon	a vin hông
avogadro	a vô ga đờ rô
ayer	a dơ
ayres	ây rét
ayuthaya	a du tha da
azerbaijani	a giéc bai gian
aztec	a giơ téc
baalbek	ban bếch
baargeld	bác ghen
babbage	báp ba gờ
babinski	ba bin sờ ki
babrak	ba bờ rắc
babrius	ba bờ ri út
babylone	ba bi lon
bacchus	bác cớt
bachelard	ba sơ la
bachofen	ba khô phen
backus	bắc cút
bacon	bê can
bactriane	bác tri an
badile	ba đan
badminton	bát min tơn
baeck	bếch
baekeland	ba kê lan
baghdad	bát đa
bagration	ba gờ ra ti ôn
bahamas	ba ha ma
baharu	ba ha ru
bahrein	ba ranh
bailey	bai lây
baird	be ớt
bairiki	bai ri ki
bajie	bát
bajkal	bai can
bajsuntau	bai xun tau
baker	bây cơ
bakst	bắc xờ tơ
baktrija	bác tri gia
baku	ba cu
bakulev	ba cu lép
bakunin	ba cu nin
balabac	ba la bác
balandin	ba la đin
balaton	ba la tơn
balboa	ban boa
balearic	ba lê a ri
bali	ba li
balkan	ban căng
balla	ba la
bally	ba li
baltea	ban tê a
baltic	ban tích
balzac	ban giắc
bamako	ba ma cô
bambari	băm ba ri
banach	ba nắc
bandama	băng đa ma
bandeira	ban đây ra
bandung	ban đưng
bangkok	băng cốc
bangladesh	băng la đét
bangui	ban ghi
bangweulu	bang gu ê u lu
banja	ban gia
banjul	ban giun
bantu	ban tư
baptiste	báp tít
barbados	bắc ba đốt
barber	bác bơ
barbizon	bắc bi giông
barcelona	bác xê lô na
barents	ba ren
barguzin	bác gu gin
barito	ba ri tô
barmen	bác men
barnett	ba nét
baroja	ba rô gia
baronova	ba rô nô va
barquisimeto	bác ki xi mê tô
barranquilla	ba ran ki li a
barsova	bác xô va
barth	ba thơ
barthes	bát thơ
bartholomen	bác tô lô men
bartolomeo	bác tô lô mê ô
barye	ba ri
basel	ba seo
bassa	ba xa
bassac	bát xắc
basse	ba sơ
bassoutos	ba sao tót
basstial	bát ti an
bastiat	bát sờ ti át
bastide	bát tai
bastille	bát sờ theo
basutoland	ba xu tô len
bathurst	ba thớt
batista	ba ti xờ ta
batna	bát na
battambang	bát tam bang
batumi	ba tu mi
baty	ba ti
baudot	bô đốt
bauer	bao ơ
bawerk	ba véc
bay	bay
bayard	bây át
bayinnaung	bay i na ung
bazaine	ba gien
bazhov	ba giốp
bazin	ba gin
beatrice	bít rai
beau	bô
beauchamp	biu sam
beaumarchais	biu ma chai sờ
bechuanaland	bê choa nơ len
beckmann	béc man
becquerel	béc que reo
becva	bếch va
bedredin	bê đờ rê đin
beecher	bi chơ
beethoven	bét tô ven
begawan	bê ga oan
begichev	bê ghi chép
begin	bê ghin
beilstein	bai sờ tai nơ
beiping	bê bing
bekaa	bê ca
bekhterev	bê khơ tê rép
bela	be la
belarus	bê la rút
belding	ben đinh
belfort	ben phót
belinskij	bê lin xờ ki
bell	ben
bellinni	bê li ni
bellinsgauzen	ben lin sờ gau gien
bellow	bê lô
belo	bê lu
beltrami	ben tra mi
belukha	bê lu kha
belyj	bê li
benardos	bê nát đót
benavente	bê na ven tê
benedict	bê nê đích
bengale	ben gan
benguela	ben ghê la
bentham	ben thơm
benton	ben tơn
benveniste	ben vê nít
beograd	bê ô gờ rát
beranger	bê ran gơ
berezina	bê rê gi na
berg	béc gơ
bergerac	béc giơ rắc
bergius	bét ghi út
bergson	béc xơn
bering	bê rinh
berkeley	béc cơ ly
berle	bơ li
berlin	béc lin
bermuda	béc mu đa
bernard	béc nát
bernini	béc ni ni
bernoulli	béc nu li
bernshtejn	bơn sờ tê in
bernstein	bơn sờ tê in
berthelot	béc tơ lót
bertoia	béc tôi a
bertrand	béc trăng
bessarabija	bét sa ra bi da
bessemer	bét sem mơ
bessmertnova	bét sờ mét nô va
beti	bê ti
betio	bê ti ô
beveredge	bi vơ rít
beyrouth	bây rút
bezacier	bê gia xi ê
bezout	bê giu
bhaktapur	bờ hác ta bu a
bhaunagar	bờ hau na ga
bhavabhuti	bờ ha va bờ hu ti
bhutan	bu tan
bhutto	bút tô
bian	bi an
biarritz	bi a rít
biermer	bia mơ
bihar	bi ha
bija	bi gia
bikinibeu	bi kê ni bê u
bilbao	bin bao
binet	bi nét
binga	bin ga
biot	bi ốt
birkhoff	bơ khô phơ
birkirkara	bớc ka ra
birmingham	bớt minh ham
biscay	bít sờ cay
bishkek	bít sờ kếch
bishop	bi sốp
biskupin	bi xờ cu bin
bismarck	bi xờ mác
bitola	bi tô la
bizantine	bi giăng tin
bizet	bi giét
blackett	bờ léc két
blackton	bờ lách tơn
blagoev	bờ la gô ép
blagoveshchensk	bờ la gô vét sen cơ
blalock	bờ la lóc
blanc	bờ lăng
blankenburg	bờ lan ken bớt
blanqui	bờ lăng ki
bloembergen	bờ lum bơ gơn
blois	bờ loi sờ
blok	bờ lốc
blommestein	bờ lôm me xờ tê in
blondel	bờ lông đen
blonskij	bờ lôn sờ ki
bloomfield	bờ lum phiu
bobo	bô bô
boccherini	bốc kê ri ni
boccioni	bô chi ô ni
bocharov	bô cha rốp
bochum	bô cham
boden	bô đen
bodensee	bô đen si
bodin	bô đin
bodoni	bô đô ni
bodrum	bô đờ rum
bogdanov	bốc đa nốp
bogomolec	bô gô mô lét
bogor	bô gô
boileau	boi lô
boisguilbert	bô i ghin bớt
boito	boa tô
bojer	bô giơ
bolivar	bô li va
bolivia	bô li vi a
bologna	bô lô nha
boloven	bô lô ven
bolshevich	bôn xê vích
boltzmann	bôn giơ man
bolyai	bô li ai
bombay	bom bay
bonaire	bô ne
bonanza	bô nan gia
bonaparte	bô na bác
bondarev	bôn đa rép
bonesana	bon sa na
bongor	bon gô
bonifacio	bô ni pha xi ô
bonnard	bon na
bonnet	bon nét
borda	bót đa
borel	bô ren
borglum	bo gờ lum
boriskovskij	bô rít cốp sờ ki
borisov	bô ri xốp
borlaug	bô lao
borobudur	bô rô bu đua
borodin	bô rô đin
borodino	bô rô đi nô
boroma	bô rô ma
boron	bô rông
bosche	bô sơ
bose	bô dơ
bosio	bô si ô
bosnian	bô xờ ni a
bosphore	bốt pho
boston	bốt sờ tơn
boswash	bô sờ quát
botha	bô tha
botkin	bốt kin
botnie	bốt ni
botswana	bót sơ qua na
botticelli	bô ti xe li
bouar	bua
bouchet	bu sê
boudon	bu đông
bougainville	bu ganh vin
bouguer	bu ghê
boulez	bu lê giơ
bourbaki	buốc ba ki
bourdelle	buốc đen
bourdieu	buốc đi ơ
bourgogne	buốc gô nhơ
bourguignon	búc ghin dông
bournonville	bua nông vin
boutros	bu trốt
boveri	bô ve ri
bowen	bô quen
boyle	bôi
boz	bô giơ
brabant	bờ ra ban
brad	bờ rát
bragg	bờ ra gơ
brahman	bờ ra man
brahmaputra	bờ ra ma bu tra
brahms	bờ ram sờ
braille	bờ rai
bran	bờ ran đô
brantas	bờ ran tát
braque	bờ ra cơ
bratislava	bờ ra ti xờ la va
brattain	bờ ra ten
braudel	bờ rô đen
braunau	bờ rao nao
bravais	bờ ra vát sờ
brazzaville	bờ ra gia vin
brecht	bờ rếch
bremen	bờ rê men
bremle	bờ rem lơ
bretagne	bờ rê tan
breton	bờ rơ tông
breuer	bờ rơ
breuil	bờ rơi
brezhnev	bờ rê giơ nép
briand	bờ ri ăng
bridgman	bờ rít men
briggs	bờ rít
brightman	bờ rai men
brihaspati	bờ ri ha xờ ba ti
brillouin	bờ ri lo in
brisbane	bờ rít sờ bân
brissot	bờ rít sốt
bristol	bờ ri xờ tơn
britannicus	bờ ri ta ni cút
britten	bờ rít tơn
brjullov	bờ riu lốp
brno	bờ rơ nô
broad	bờ rơ út
brodskij	bờ rốt xờ ki
broglie	bờ róc li
bromlej	bờ rôm lây
bromwer	bờ rom vơ
brooklyn	bờ rút cờ lin
broom	bờ rum
brother	bờ ra đơ
brouwer	bờ rau ơ
bruckner	bờ rúc nơ
bruegel	bờ ru ghen
brugge	bờ ruy gơ
brugmann	bờ rút man
bruhl	bờ ruyn
brunauer	bờ ru nau ơ
bruno	bờ ru nô
bryen	bờ ri ăng
buala	bua la
bubnov	búp nốp
buchanan	biu ca nơn
buchenwald	bu khen van
buchner	búc nơ
budapest	bu đa bét
buffalo	ba phơ lâu
buffet	búp phê
buffon	búp phông
bukhara	bu kha ra
bukharin	bu kha rin
bukhtarma	bút ta ma
bukit	bu kít
bukovina	bu cô vi na
bulawayo	bu lau ây ô
bulgaria	bun ga ri a
bundy	bân đi
bunin	bu nin
bunjakovskij	bun gia kốp sờ ki
bunsen	bun sen
burchett	bơ chét
bureja	bu rây a
burgas	bua gát
burlitobe	bua li tô bê
burly	bơ ly
burne	bơn
burundi	bu run đi
busan	bu san
bush	bu sơ
bushmen	bu xơ men
butare	bu ta rê
butenandt	bu tơ nan
butiaba	bu ti a ba
butlerov	bút lê rốp
byblos	bi bờ lốt
byrranga	bi ran ga
byzance	bi gian xơ
cabet	ca bét
cairo	cai rô
calais	ca lay xờ
calcutta	can cút ta
calder	can đơ
caldwell	con queo
califonia	ca li pho ni a
california	ca li pho ni a
caligari	ca li ga ri
callao	ca lao
calliao	ca li ao
calliope	ca li ốp
caloocan	ca lô ô can
calvin	can vin
camargo	ca mác gô
cambay	cam bay
cambridge	cam bờ rít
cambyse	cam bi sờ
camera	ca mê ra
camilla	ca min la
campanella	cam ba ne la
campania	cam pa ni a
camus	ca mút
canada	ca na đa
canaria	ca na ri a
canarias	ca nê ri át
canaveral	ca na vơ ran
canberra	can bơ rơ
candia	can đi a
cannes	can
cantal	căng tan
canterbury	can tơ bơ ry
cantor	can tô
cap	cáp
caparra	ca ba ra
cape	kép
capet	ca bét
capierne	ca bi ân
capri	cáp ri
caravaggio	ca ra va giô
cardamomes	các đa môm
cardano	các đa nô
cardiff	các đíp
cardoza	các đô gia
carducci	các đu chi
carl	các lơ
carlo	các lô
carlos	các lốt
carlyle	ca lai
carnap	các náp
carnaval	các na van
carnot	ca nốt
carolines	ca rô lin
carolingiens	ca rô lin gien
carpeaux	các bô
carpentier	ca ben thai ơ
carrantuohill	ca ran tu o hin
carrefour	ca rơ pho
carrousel	ca ru xen
carstens	các sờ ten
cartagena	các ta gi na
cartal	các tan
cartan	các tan
carter	ca tơ
cartier	các ti ơ
casablanca	ca sa bờ lan ca
casals	ca gian
casamance	ca xa măng xơ
cascade	ca xờ cát
caselli	ca xê li
caspien	ca xờ bi
castiglione	cát sờ ti li ô nê
castilla	cát ti la
castille	ca xờ tin
castries	cát tri
castro	cát xờ trô
catal	ca tan
cataldi	ca tan đi
catbalogan	cát ba lô gan
cauchy	cô si
cavally	ca va li
cavendish	ca ven đi sờ
cayenne	cay en
chadwick	cha đuých
chajkovskij	chai cốp sờ ki
chakri	chắc ri
cham	cham
chamberlain	cham bơ len
chandragupta	chan đờ ra gúp ta
chandrasekhar	chan đờ ra xê ca
chardzhou	chác giâu
charles	sắc lơ
cheboksarov	chê bốc xa rốp
checchi	chéch ki
chekhov	chê khốp
cheljabinsk	chê li a bin xờ cơ
cheljuskin	chê liu xờ kin
cherbury	chơ be ri
cherenkov	chê ren cốp
chernyshevskij	chéc nư sép xờ ki
cherskij	chét sờ ki
chey	chây
chiang	chi eng
chikamatsu	chi ka mát xư
childe	chai đơ
chile	chi lê
chindwin	chin đu in
chinitt	chi nít
chita	chi ta
chittagong	chít ta gông
chomolungma	chô mô lung ma
chomsky	chôm xờ ki
chorreras	cho rê rát
christan	cờ rít xờ tân
christiansborg	cờ rít ti an bót
christmas	cờ rít mớt
chrjew	cờ riu
chuja	chui a
chukhraj	chu khơ rai
chukotskoe	chu kốt
chuquisaca	chu ki xa ca
clair	cờ le
claisen	cờ lai gien
clara	cờ la ra
clarke	cờ lác
claude	cờ lốt
claudel	cờ lô đen
claudius	cờ lao đi út
clermont	cờ léc môn
cleve	cờ le vơ
cleveland	cờ li vơ lân
clinton	cờ lin tơn
clio	cờ li ô
close	cờ lâu giơ
clovis	cờ lô vít
coase	cốt sờ
cobbett	cốp bét
cochabamba	cô cha bam ba
cockcroft	cốc cờ rốp
cocteau	cốc tô
coimbra	cô im bờ ra
colbert	côn bớt
coleridge	câu lơ rít
collier	cô li ê
collin	cô lin
colm	côn mơ
coloane	cô lô an
cologne	cô lô nhơ
colombia	cô lôm bi a
colophon	cô lô phôn
colorado	cô lô ra đô
columbia	cô lum bi a
columbus	cô lum bớt
comino	cô mi nô
commons	com mơn
compton	com tơn
conakry	cô na cờ ri
condamine	công đa min
congar	công ga
conquistador	côn ki xờ ta đo
conring	côn rinh
constable	con sờ tây bồ
constant	con xờ tăng
constantine	công sờ tăng tin
constantinople	công xờ tăng ti nốp
cooley	cu li
cooper	cu bơ
copeau	cô bô
copenam	cô bê nam
copenhagen	cô ben ha ghen
coppola	cô pô la
corelli	cô rê li
cornell	cô nen
coromandel	cô rô man đen
corot	cô rốt
corozal	cô rô gian
correggio	cô re giô
corrse	cóc xơ
cortez	cót tét
corti	cót ti
cos	cốt sờ
costa	cô xờ ta
cotonou	cô tô nu
cotopaxi	cô tô ba xi
cottbus	cốt bút
coubertin	cau béc tin
courbet	cuốc bê
courcy	cuốc xi
cousin	cu sinh
couvelaire	cu vơ le
coventry	câu ven tơ ry
cowper	cao bơ
cranach	cờ ra nắc
crassus	cờ rát sút
cremona	cờ rê mô na
creusot	cờ ru sốt
crick	cờ rích
croatia	cờ rô a ti a
cruz	cờ ru giơ
cuba	cu ba
cubango	cu ban gô
cuellar	cu ê la
cuenca	cu en ca
cunha	cun ha
curitiba	cu ri ti ba
custou	cu xờ tu
cuvier	cu vi ê
cuzco	cu sờ cô
daud	đa út
ebre	e bờ rơ
ebro	ê bờ rô
edmond	ét  mông
edmonton	ét mơn tơn
edo	ê đô
edward	ét quớt
edy	ê đi
eero	e ê rô
eesti	ét sờ ti
effel	ép phen
ehrlich	e rơ lít
ekman	éc man
elbasan	eo ba san
elbe	en bơ
elburz	eo bớt
ellesmere	en lét me rơ
ellora	e lô ra
emerson	e mơ xơn
emmanuel	em ma nu en
emmett	em mét
ems	em xơ
encamp	en cam
ensor	en xo
enzeli	en giê li
epstein	ép sờ ten
erasmus	e rát mút
ergotimos	éc gô ti mốt
erik	e rích
erlangga	ét lang ga
ermitage	éc mi ta giơ
ernest	éc nét
ernst	ơn sờ tơ
erzgebirge	ơ gia bớt
esaki	ê xa ki
escaldes	ét can đét
escaud	ê xờ cô
espoo	ê xờ bô
estados	ét ta đốt
estenssoro	ét sờ ten sô rô
estrada	ét sờ tra đa
estuaire	ét chơ
ettadhamen	ét ta đa men
eustacchius	ét xờ tác ki út
evans	y van
everglades	ê vơ gờ lát
eyre	e rơ
fajans	phai an
fakaofo	pha cao phô
falkland	phô cờ len
falla	pha la
falls	phôn
falster	phan xờ te
family	pha mi ly
farabundo	pha ra bun đô
faraday	pha ra đây
farouk	pha rúc
faulkner	phóc nơ
fedoseev	phê đô xê ép
feininger	pha in nin gơ
feldhofer	phen hô phơ
feling	phê linh
fellini	phê li ni
ferdinand	phét đi năng
fermat	phéc ma
fermi	phéc mi
fernandel	phét năng đen
ferrarais	phe rơ rây
ferrari	phe ra ri
ferraris	phê ra rít
ferry	phe ri
fersman	phơ xờ man
feuerbach	phoi ơ bắc
feynman	phây man
fianarantsoa	phi a na ran xoa
fibonacci	phi bô na xi
fichte	phích tơ
fick	phích
fidel	phi đen
field	phiu
fielding	phiu đinh
fields	phiu
filatov	phi la tốp
filipe	phi líp
fillastre	phi lát sờ tơ
fillia	phi li a
filocles	phi lốc lét
finlay	phin lây
fisher	phi sơ
flaminius	phờ la mi ni út
flandre	phờ lăng đờ rơ
flandres	phờ lan đờ rơ
flaubert	phờ lô bớt
fleming	phờ le minh
flensburg	phờ len bớt
flewelling	phờ lu ê linh
florentia	phờ lo ren ti a
florida	phờ lo ri đa
fokin	phô kin
fonda	phôn đa
fongafale	phăng ga phon
fontainebleau	phông ten nơ bờ lô
fort	phót
fortaleza	phót ta lê gia
fortunatov	pho tu na tốp
foscolo	phốt sờ cô lô
foster	phốt tơ
fourier	phu ri ê
fourmont	phua mông
fournier	pho ni ơ
fowler	phao lơ
france	phờ răng xơ
francesco	phờ ran xét cô
francisco	phờ ran xít cô
francistown	phờ ran xi xờ thao
franck	phờ ran cơ
franco	phờ ran cô
frank	phờ răng cơ
frankel	phờ ran ken
frankfurt	phờ răng phớt
franko	phờ răng cô
franz	phờ ran xơ
fraunhofer	phờ rao hô phơ
fredensborg	phờ rê đen sờ bót
frederic	phờ rê đê rít
freetown	phờ ri thao
frege	phờ rê gơ
freiligrath	phờ rây li gờ rát
frenet	phờ rê nét
fresnel	phờ rét nen
friedel	phờ rít đen
friedmann	phờ rít man
friesland	phờ ri ét len
frisian	phờ ri sân
frobisher	phờ rô bi sơ
fromaget	phờ rô ma gét
fromm	phờ rom
froude	phờ rút
fukui	phu cui
fukuoka	phư cư ô ca
fulton	phun tơn
funafuti	phu na phu ti
funchal	phun san
fundy	phân đi
futa	phu ta
futuna	phu tu na
gadolin	ga đô lin
gainsborough	gen sờ bo rô
galbraith	gon bờ rết
galien	ga li en
galilei	ga li lê
gama	ga ma
gamow	ga mốp
gance	găng xơ
gandhi	gan đi
garamond	ga ra mông
garcia	gác xi a
garfagnana	gác phan ha na
garnier	gác ni ơ
garonnes	ga rôn
garoua	gu rua
garuda	ga ru đa
gaspe	ga xờ bơ
gassendi	ga sen đi
gatchina	gát chi na
gathrie	ga thơ ri
gauguins	gao gan
gaule	gô lơ
gaulle	gôn
gavroche	ga vơ rốt
gaya	gay a
geba	ghi ba
geiami	gây a mi
geliang	ghe li ang
gelibolu	ghê li bô lu
genouilly	gie nu i ly
genova	giê nô va
gensfleisch	gien sờ phờ léch
gentzen	ghen xen
georg	giót giơ
george	giót giơ
georgij	gu rơ vích
gerasimov	ghê ra si mốp
gercen	giét xen
gershwin	gơ sờ uyn
gestapo	gê sờ ta bô
ghiorso	ghi ô xô
ghirlandaio	ghi a lan đai ô
ghose	gô giờ
giaever	gia ê vơ
gibbs	ghíp xơ
gide	gi đơ
gilbert	ghiu bớt
gilels	ghi leo
gilson	ghin xơn
ginzburg	ghin giơ bớt
gio	giô
giotto	giốt tô
girardon	gi rác đông
giraudoux	gi rô đu
girolamo	ghi rô la mô
girondins	ghi rông đin
gisenyi	ghi xê ni
gitega	ghi tê ga
giulia	giu li a
giuseppe	giu đép bê
gizeh	ghi giê
glarisegg	gờ la ri xéc
glasgow	gờ la xờ gâu
glashow	gờ lát sô
glazunov	gờ la giu nốp
gleizes	gờ lai giơ
glen	gờ len
glendenin	gờ len đơ nin
glier	gờ li e
glinka	gờ lin ca
glomma	gờ lôm ma
gluck	gờ lúc
go	gô
gobelins	gô bơ lanh
godthaab	gót tháp
goebbels	gốp beo sờ
goethe	gu ê thơ
golden	gôn đân
goldmann	gôn man
goldoni	gôn đô ni
goldschmidt	gôn sờ mít
goldsmith	gôn sờ mít
golgi	gôn ghi
golovin	gô lô vin
goncourt	gông cua
gonder	gôn đơ
gondwana	gon va na
goodman	gút men
gorgias	gót giát
gorkij	gót ki
gorky	gót ky
gorlo	gót lô
gorman	gô mân
gorrie	gô ri
gosainthan	gô xa in than
gothic	gô tích
gothique	gô tích
goujon	gu giông
gounod	gu nót
goya	gô da
gozo	gô giô
graebner	gờ rép nơ
graham	gờ rây am
gram	gờ ram
grampian	gờ ram bi an
granada	gờ ra na đa
granados	gờ ra na đốt
granet	gờ ra nét
granique	gờ ra ních
grant	gờ ran
graves	gờ ra vơ
grebo	gờ rê bô
green	gờ rin
greenland	gờ rin len
greenwich	gờ rin quýt
gregor	gờ rê go
grenada	gờ rê na đa
grenadine	gờ rê na đin
gresham	gờ rê sam
griboedov	gờ ri bô ê đốp
grieg	gờ rít gơ
griffin	gờ ríp phin
griffith	gờ ri phít
grimm	gờ rim
grisi	gờ ri di
gromaire	gờ rô me
groote	gờ rút
gropius	gờ rô bi út
gros	gờ rốt
grotewohl	gờ rô tơ vôn
grothendieck	gờ rô then đích
gruzija	gờ ru gi a
guadalajara	gu a đa la ha ra
guadalcanal	go a đơn ca nan
guam	gu am
guarneri	gác nê ri
guayaquil	goa da kin
guggenheim	gu gan ham
guiba	ghi ba
guido	gui đô
guillaume	ghi lôm
guillotin	ghi ô tanh
guinea	ghi nê
guiraud	ghi rô
gulf	gơn
gulu	gu lu
gunn	gan
gustave	gu xờ ta vơ
guttuso	gút tu sô
guyana	gu da na
guyane	guy an
guyot	guy ốt
gwebb	gu ép
gweru	gu ê ru
gydan	gai đan
gyokudo	ghi ô cu đô
gyumri	ghi um ri
habermas	ha bơ mát sờ
habichtsburg	ha bít xờ bớt
hadden	ha đen
haeckel	hắc ken
hahn	han
hajdarabat	hai đa ra bát
haken	ha ken
halicarnasse	ha li ca na xờ
hall	hôn
halle	ha lơ
hallowell	ha lâu quen
hals	han xơ
halys	ha lít
hamary	ha ma ri
hamburg	ham bớt
hamilton	ha min tơn
hamsun	ham xun
hanau	ha nao
hanka	han ca
hannover	han nô vơ
hans	han
hanyang	han dang
hardy	ha đi
hargeysa	hác gây sa
harkins	hác kin
harkness	hác nét
harmand	hác man
harper	hác bơ
harris	ha rít
harsa	hác sa
hartley	hác lây
hartmann	hác man
hartung	hác tung
harunobu	ha ru nô bu
harvard	ha vớt
harvey	ha vi
haryane	ha ri an
hassan	hát san
hassel	hát sen
hatta	hát ta
hatti	hát ti
hattusa	hát tu xa
hauptmann	hốp man
haussmann	hốt man
havel	ha ven
haveluloto	ha vê lu lô tô
hayam	ha dam
haydn	hay đơn
hayek	hay éc
heaviside	hê vi sai
heawood	hê gút
hebrides	hê bờ rít
hector	héc tô
hedjaz	hét gia
hegel	hê ghen
heger	hê gơ
heian	hây an
heisenberg	hai đen bớt
heitler	hai lơ
helena	hê lê na
helespone	hê lê xờ bôn
helicon	hê li công
heling	he ling
helios	hê li ốt
hellinikon	hê li ni côn
helmholtz	hem hôn
helsinki	hen xin ki
hemingway	hê minh quây
henri	hen ri
henry	hen ri
hepworth	hép quớt
herbart	héc bác
herculanum	héc cu la num
herder	héc đơ
heredia	hê rê đi a
herman	héc men
hermite	héc mít
hermon	héc môn
heron	hê rôn
herschel	héc sen
hertz	héc
hesiodos	hê si ô đốt
hess	hét sờ
hevesy	hê vê sy
heynowski	hây nao sờ ki
hicks	hít sơ
hildebrand	hin đơ bờ ran
hilferding	hin phéc đinh
hillaby	hi la bi
hillary	hiu lơ ri
