aabish	ஆபிஷ்
ankushi	அன்குஷி
annabella	அன்னாபெல்லா
annapoorna	அன்னாபூர்னா
annapurnaa	அன்னாபுர்னா
anshi	அன்ஷி
antim	அன்திம்
anuraadha	அனுராதா
anurag	அனுராக்
aparaajitaa	அபராஜித்தா
aphrodite	அப்ரோடைட்
apmaan	அப்மான்
appollo	அப்போலோ
appu raja	அப்பு ராஜா
apradhi	அப்ராதி
arafura	அராபுரா
ardara	அர்தாரா
arissa	அரிஸ்ஸா
arnaud	அர்னத்
arpan	அர்பன்
arshad khan	அர்ஷத் கான்
art sunje museum	ஆர்ட் சுன்ஜே மியூஸியம்
arva	அர்வா
aryaman	அர்யாமான்
ashtputre	அஷ்புத்ரே
aslesha	அஸ்லேஷா
atahar	அதாஹார்
atchafalaya	அட்சாபாலாயா
atlas copco	அட்லஸ் காப்கோ
attabira	அட்டாபிரா
attawal	அட்டாவால்
attila jozsef prize	அட்டில்லா ஜோஸ்செஃப் ப்ரைஸ்
ayush	ஆயுஷ்
azadeh	அஸாதேஹ்
azaraq	அஸராக்
azra	அஸ்ரா
baalamohan	பாலமோகன்
baankebihaari	பாங்கேபிஹாரி
baaran	பாரன்
baba bulleh shah	பாபா புல்லெஹ் ஷா
bachhrawan	பச்ராவன்
bade bhaiya	படே பைய்யா
badru	பத்ரு
badrudin	பத்ருதின்
bagha	பாகா
baghdad	பாக்தாத்
baha al din	பஹா அல் தின்
bahadur kisan	பஹதுர் கிசான்
bahi	பாஹி
bahjat	பஹ்ஜாத்
bajaj tempo	பஜாஜ் டெம்போ
bajwa	பாஜ்வா
bakht	பக்த்
bakhtawar	பக்தாவர்
balika	பாலிகா
baluran	பலுரான்
balwara	பல்வாரா
bambai ka babu	பம்பை கா பாபு
bamboo	பேம்பூ
bancroft prize	பேங்க்ராஃப்ட் ப்ரைஸ்
bandhan	பந்தன்
bandini	பந்தினி
baniya	பனிய
bank of china	பேங்க் ஆப் சைனா
banno	பன்னோ
bansthali niwai	பன்ஸ்தாலி நிவாய்
bansuri	பன்ஸுரி
barabanki	பராபங்கி
barbara stanwyck	பார்பரா ஸ்டான்விக்
barkandi	பர்கன்டி
barnala	பர்னாலா
barsaat	பர்ஸாத்
basheer	பஷீர்
bassi	பஸ்ஸி
batwara	பத்வாரா
bawoo	பாவூ
begu sarai	பேகு சராய்
beguine	பெகுயின்
beohari	பியோஹரி
bhabhar	பாப்பார்
bhadli	பத்லி
bhana	பானா
bhandape	பாந்தபே
bhanu	பானு
bhanuprasad	பானுபிரசாத்
bharani	பரணி
bharat elec	பாரத் எலக்ட்ரிகல்ஸ்
bharatmuni	பாரத்முனி
bhartiya	பாரதிய
bhatinda junction	பட்டிண்டா ஜங்ஷன்
bhatpur	பட்பூர்
bheemaraaj	பீமராஜ்
bhoot mera saathi	பூத் மேரா சாதி
bhullar	புல்லர்
bibhas	பீபாஸ்
bijapur	பிஜபூர்
bill gates	பில் கேட்ஸ்
bilva	பில்வா
bindiya	பிந்தியா
bindiya chamkegi	பிந்தியா சம்கேகி
bir bikrom	பிர் பிக்ரம்
biscayne	பிஸ்கேன்
bisharah	பிஷாரா
bishmillah ki barkat	பிஸ்மில்லா கி பர்கத்
bitti	பிட்டி
block island	பிளாக் ஐலாண்ட்
bob hope	பாப் ஹோப்
bodas	போதாஸ்
bodhgaya	போத்கயா
bombay ki billi	பாம்பே கி பில்லி
bonchune	பான்சுனெ
borivali	போரிவாலி
bosporus	போஸ்போரஸ்
brazosport christian center	பிராஸோஸ்போர்ட் கிறிஸ்டியன் சென்டர்
brett lee	பிரெட் லீ
brian lara	ப்ரயன் லாரா
brick schoolhouse museum	பிரிக் ஸ்கூல்ஹவுஸ் மியூஸியம்
bridge	பிரிட்ஜ்
brijesh patel	பிரிஜேஷ் பட்டேல்
brisbon	பிரிஸ்பன்
brockhurst	பிராக்ஹர்ஸ்ட்
bruce medal	ப்ரூஸ் மெடல்
brule	புரூல்
bundi	புண்டி
burrows	பர்ரோஸ்
cactoctin	காக்டோக்டின்
cailean	கைலீன்
callie	காலீ
camtek	காம்டெக்
candie	கேன்டீ
candra	கேன்த்ரா
cantara	சான்தாரா
cape cod	கேப் காட்
caraf	காராஃப்
caravan	கேரவன்
carl bulfin	கார்ல் பலஃப்பின்
carlow	கார்லோ
carneiro	சார்னெய்ரோ
carolina	கரோலினா
carson	கார்ஸன்
caspian	கேஸ்பியன்
castelfidardo	காஸ்டல்பஃப்பிடார்டோ
cathy	காத்தீ
central european media enterprises	சென்ட்ரல் யூரோப்பியன் மீடியா என்டர்பிரைசஸ்
chad	சாட்
chalaak	சாலாக்
chambal ki rani	சம்பல் கி ராணி
chandan nagar	சந்தன் நகர்
chandranath	சந்திரனாத்
chandresal	சந்த்ரேசல்
chantal	சன்டால்
chantel	சன்டெல்
charanpreet	சரண்ப்ரீத்
charkhi	சர்க்கி
chawapall	சவாபால்
chekov	செகாவ்
chelsia	செல்ஸியா
chemancheri	செம்மஞ்சேரி
chenab	செனப்
chennai egmore	சென்னை எக்மோர்
cherry	செர்ரி
chhaila babu	சஹைலா பாபு
chhatwal	சட்வால்
chhora chhori	சோரா சோரி
chianki	சியாங்கி
chittor vijay	சித்தூர் விஜய்
chlorine	க்லோரின்
chodiala	சோடியாலா
chola	சோலா
christianity	கிரிஸ்டியானிட்டி
chuchura	சுச்சுரா
cisco	சிஸ்கோ\
clearfield	கிளியர்ஃப்பீல்ட்
cleo	கிளியோ
cloris	கிளோரிஸ்
cobra girl	கோப்ரா கேர்ள்
cochin harbour terminus	கொச்சின் ஹார்பர் டெர்மினஸ்
cognos incorporated	கோக்னாஸ் இன்கார்பரேடட்
colbert	கால்பெர்ட்
conlan	கோன்லன்
conocophillips	கோனகோபிலிப்ஸ்
consolidated water	கன்சாலிடேட்டட் வாட்டர்
conyers	கான்யெர்ஸ்
copper	காப்பர்
corinthia	கோரின்தியா
credit susse	கிரெடிட் சூசே
cuttack	கட்டாக்
dagan	டகன்
daityahan	தைத்யஹான்
daksha	தக்ஷா
daladi	தலாடி
damien martyn	டாமியன் மார்டைன்
dan quayle	டான் குவாலே
dance dance	டேன்ஸ் டேன்ஸ்
dandupur	தண்டுபூர்
danish kaneria	தானிஷ் கனேரியா
daraang	தரங்
dasharh	தஷரஹ்
dassanayake	தசனாயகே
david joseph	டேவிட் ஜோசஃப்
dawi	டாவி
dayanita	தயானிதா
deepali	தீபாலி
dehlo	டெஜ்லோ
delfina	டெல்ஃபினா
delhi safdarjung	டெல்லி சஃப்தார்கஞ்ச்
dennis lillee	டென்னிஸ் லில்லீ
deol	டியோல்
derek randall	டெரெக் ரான்டால்
desiree	டெசிரீ
dev kanya	தேவ் கன்யா
devadutt	தேவதத்
devastation	டிவெஸ்டேஷன்
devataa	தேவதா
devdharkar	தேவ்தர்கர்
devprayag	தேவ்பிரயாக்
devyani	தேவயாணி
dhadial	தாதியால்
dhamkee	தம்கீ
dhana kherli	தனா கேர்லி
dharam	தரம்
dharti kahe pukar ke	தர்தி கஹே புகார் கே
dharti ke lal	தர்தி கே லால்
dharti ki god mein	தர்தி கி கோத் மெயின்
dhemaji	தேமாஜி
dhillon	தில்லோன்
dhiman	திமன்
dhindsa	திண்ட்ஸா
dhirganj	தீர்கஞ்ச்
dhondi	தோண்டி
dick	டிக்
didwana	தித்வானா
digambar	திகம்பர்
dillan	டில்லன்
dinkar	தினகர்
dino	டினோ
dobro	டோப்ரோ
doiwala	டோய்வாலா
dong	டாங்
door gagan ki chhaon mein	தூர் ககன் கி சஹோன் மெயின்
doosri dulhan	தூஸ்ரி துல்ஹன்
dorel industries	டோரல் இண்டஸ்டிரீஸ்
doug	டாக்
dozakh	தோஸாக்
dracula	ட்ராகுலா
drafts	ட்ராஃப்ட்ஸ்
dudhani	டுதானி
duncan	டன்கன்
duniya ka mela	துனியா கா மேளா
dwight	த்வைட்
dyanne	டயானே
dysis	டைசிஸ்
east siberian	ஈஸ்ட் சைபீரியன்
edgar casey	எட்கர் கேஸி
edwin	எட்வின்
eent ka jawab patthar	ஈன்ட் கா ஜவாப் பதார்
ek adhuri kahani	ஏக் அதுரி கஹானி
ek baar kaho	ஏக் பார் கஹோ
ek hi bhool	ஏக் ஹி பூல்
ek phool ek bhool	ஏக் பூல் ஏக் பூல்
ekachakra	எகாசக்ரா
ekaksh	எகாக்ஷ்
el-arabia	எல்-அரேபியா
elani	எலானி
eleanor	எலியனார்
elisa	எலிஸா
elizabeth tailor	எலிசபத் டெய்லர்
ellamanchili	எல்லமஞ்சிலி
elvis presley	எல்விஸ் ப்ரெஸ்லி
emerald	எமரால்ட்
essar oil	எஸ்ஸார் ஆயில்
essar shipping	எஸ்ஸார் ஷிப்பிங்
eurohypo	யூரோஹைபோ
eveready ind	எவரெடி இண்ட்
evertsen	எவர்ட்சென்
ewen chatfield	இவென் சாட்ஃப்பீல்ட்
exelon	எக்ஸ்லான்
fabrizio	ஃபாப்ரிஸியோ
fahd	ஃபாஹத்
faiqah	ஃபையிக்கா
faisla	ஃபைஸ்லா
falakata	ஃபலக்கட்டா
falgun	ஃபல்குன்
fanie	ஃபேனி
faqeeh	ஃபகீஹ்
faraz	ஃபராஸ்
farid al-din attar	ஃப்பரீத் அல்-தின் அத்தர்
fariyaad	ஃபரியாத்
farrukhabad	ஃபரூக்காபாத்
fatarfod	பதார்போத்
federal bank	ஃபெடரல் பேங்க்
federal express	ஃபெடரல் எக்ஸ்பிரஸ்
feleti	ஃபெலேடி
felicity	ஃபெலிசிட்டி
financial express	ஃப்பினான்ஷியல் எக்ஸ்பிரஸ்
firozpur cantonment	ஃபிரோஸ்பூர் கண்டோன்மெண்ட்
flint	ஃப்ளிண்ட்
floria	ஃப்ளோரியா
florina museum of modern art	ஃப்பிளோரினா மியூஸியம் ஆஃப் மாடர்ன் ஆர்ட்
forbes gokak	ஃபோர்ப்ஸ் கோகாக்
fort albert	ஃப்போர்ட் ஆல்பர்ட்
fort amherst	ஃப்போர்ட் ஆம்ஹெர்ஸ்ட்
fort ashby	ஃப்போர்ட் ஆஷ்பை
fort cartwright	ஃப்போர்ட் கார்ட்வெயிட்
fort honswijk	ஃப்போர்ட் ஹான்ஸ்விஜ்க்
fort op de voordorpsdijk	ஃப்போர்ட் ஆப் டி வூர்டார்ப்ஸ்டிஜ்க்
fort rigolet	ஃப்போர்ட் ரிகோலெட்
frances	ஃப்ரான்சிஸ்
francine	ஃப்ரான்கைன்
frank furt	ஃபிராங் ஃபர்ட்
franz	ஃப்ரான்ஸ்
freestyle	ஃப்ரீஸ்டைல்
furkating junction	ஃபுர்காடிங் ஜங்ஷன்
fuseelah	ஃபுசீலா
gadhakda	கடக்டா
gadulka	கடுல்கா
gajre	கஜ்ரே
gallia	கேலியா
ganga meri maa	கங்கா மேரி மா
ganga tera pani amrit	கங்கா தேரா பாணி அம்ரித்
garibon ka daata	கரிபோன் கா டாத்தா
garrett	காரெட்
garwah	கார்வா
gary stead	காரி ஸ்டேட்
gaurika	கெளரிக்கா
gauvin nusom	கவின் நியூசம்
geetanjali	கீதாஞ்சலி
gehra raaz	கெஹ்ரா ராஸ்
gehrayee	கெஹ்ராயீ
gemplus international	கெம்பிளஸ் இன்டர்நெஷனல்
genna	ஜென்னா
george bernard shaw	ஜார்ஜ் பெர்னாட் ஷா
gerodi	ஜெரோடி
ghalibah	காலிபா
ghanekar	கனேகர்
ghar ho to aisa	கர் ஹோ தோ அயிசா
ghar ka sukh	கர் கா சுக்
ghorawadi	கோராவாடி
ghugus	கூகஸ்
ghunayn	குனய்ன்
girgala	கிர்காலா
girikshit	கிரிக்ஷித்
gitano	கிடானோ
glad tidings	கிளாட் டைடிங்ஸ்
glasgow caledonian university	க்ளாஸ்கோ கலிடோனியன் யூனிவர்சிட்டி
godavari fertilizers and chemicals	கோதாவரி ஃபெர்டிலைசர்ஸ் அண்ட் கெமிக்கல்ஸ்
gold medal	கோல்ட் மெடல்
golden gate	கோல்டன் கேட்
golden leopard	கோல்டன் லெப்பர்ட்
gorakhpur city	கோரக்பூர் சிட்டி
goresuar	கோரேசௌர்
goudy	கெளடி
grammy award	க்ராம்மி அவார்ட்
great show of india	கிரேட் ஷோ ஆஃப் இந்தியா
greening	க்ரீனிங்
gregory	கிரிகரி
grinham	கிரின்ஹாம்
groupe danone	குரூப் டானோன்
guaracha	குவாராசா
guardian award	கார்டியன் அவார்ட்
gurla	குர்லா
gurtej	குர்தேஜ்
gurudatta	குருதத்தா
gurudwara beri sahib	குருத்வாரா பேரி சாஹிப்
gurudwara heera ghat	குருத்வாரா ஹீரா காட்
gurudwara majnu kaa tila	குருத்வாரா மஜ்னு கா டீலா
gurudwara tikana sahib	குருத்வாரா டிகானா சாஹிப்
gus	கஸ்
gyaaniji	கியாஞ்சி
gyanda	ஞானந்தா
gyanprabha	ஞானபிரபா
gyterne	கைட்டர்னே
halers	ஹலெர்ஸ்
hameem	ஹமீம்
hamersley	ஹமர்ஸ்லி
hammad	ஹம்மத்
hamra	ஹம்ரா
hanash	ஹனாஷ்
hanuman janm	ஹனுமன் ஜன்ம்
hareesh	ஹரீஷ்
harold morton landon translation award	ஹரால்ட் மார்ட்டன் லேண்டன் ட்ரான்ஸ்லேஷன் அவார்ட்
hasan raza	ஹசன் ராஸா
hayrah	ஹைரா
heckenberg	ஹெக்கென்பெர்க்
helsinki	ஹெல்சின்கி
hessen	ஹெஸ்ஸென்
hida	ஹிடா
hilal	ஹிலால்
hope	ஹோப்
hughes medal	ஹ்யூக்ஸ் மெடல்
hum junglee hain	ஹம் ஜங்லீ ஹெயின்
hum tum aur who	ஹம் தும் ஔர் ஹூ
humaam	ஹுமாம்
humdard	ஹம்தர்த்
husnaaraa	ஹுஸ்னாரா
husnee	ஹுஸ்னீ
hyderabad	ஹைத்ராபாத்
i^jeeniyar	இஞ்சீனியர்
iain	ஐன்
ian bell	ஐயன் பெல்
ian bradshaw	இயன் ப்ராட்ஷா
ibtisam	இப்டிசாம்
iguacu	இக்வாகு
imran nazir	இம்ரான் நஸீர்
inderbir	இந்தர்பீர்
indian ocean	இந்தியன் ஓஷன்
indika de saram	இண்டிகா டி சரம்
indiya	இண்டியா
indore	இந்தோர்
indrapriya	இந்திராபிரியா
inigo	இனிகோ
international paper	இன்டர்நெஷனல் பேப்பர்
inverness	இன்வெர்னஸ்
ionian	ஐயோனியன்
irfan bhatti	இர்ஃபான் பாட்டீ
ishwar allah tere naam	ஈஷ்வர் அல்லா தேரே நாம்
jaag utha insaan	ஜாக் உதா இன்சான்
jackie	ஜாக்கி
jadui bansari	ஜாடுய் பன்சாரி
jagadish	ஜகதீஷ்
jagannath puri	ஜகன்நாத் புரி
jahanara	ஜஹனாரா
jai prakash yadav	ஜெய் பிரகாஷ் யாதங்
jaisalmer fort	ஜைஸால்மெர் ஃபோர்ட்
jalabala	ஜலபாலா
jalaja	ஜலஜா
jamshedpur	ஜம்ஷெத்பூர்
janambhumi	ஜனம்பூமி
janhavi	ஜானவி
jariyah	ஜரியா
jawhar	ஜவஹர்
jayamala	ஜெயமாலா
jayendra	ஜெயேந்திரா
jeanine	ஜீனைன்
jerauld	ஜெரால்ட்
jhade	ஜாதே
jhutti	ஜுட்டி
jibran	ஜிப்ரான்
jigri dost	ஜிக்ரி தோஸ்த்
jnyaneshwar	ஞானேஸ்வர்
johar mehmood in hong kong	ஜோஹர் மெய்மூத் இன் ஹாங்காங்
john reid	ஜான் ரேய்ட்
johnavon	ஜானேவன்
judaism	ஜூடாயிஸம்
jumanah	ஜுமனா
jungle love	ஜங்கிள் லவ்
jupiter	ஜூப்பிட்டர்
jupiter bio	ஜுபிடர் பயோ\
jyotsna	ஜோத்ஸ்னா
kaamna	காம்னா
kaanchanee	கான்சனீ
kacy	கேசி
kaden	காடென்
kaethe	கேய்தி
kahin aar kahin paar	கஹின் ஆர் கஹின் பார்
kailashnath	கைலாஷ்னாத்
kainji dam	கைன்ஜி டேம்
kajal sharma	காஜல் ஷர்மா
kalaa	கலா
kalabaaz	கலாபாஸ்
kalelkar	கலேகர்
kalyca	காலிகா
kamalkali	காமால்காலி
kamini	காமினி
kamrup	காம்ரப்
kanchi	காஞ்சி
kansas	கன்ஸாஸ்
kapde	காப்தே
karambelkar	கரம்பெல்கர்
karlsborg fortress	கார்ல்ஸ்போர்க் ஃப்போர்ட்ரெஸ்
karnama	கர்நமா
karnik	கார்னிக்
kartar	கார்டர்
kasal	கசல்
kashyap	காஷியாப்
katherine	கேத்தரீன்
kaun saccha kaun jhootha	கோன் சாச்சா கோன் ஜூதா
kaushal lokuarachchi	கௌஷல் லொக்குவாராச்சி
kedar	கேதார்
keegan	கீகன்
keemat	கீமத்
keeratpur	கீரத்பூர்
ken rutherford	கென் ருதர்ஃப்போர்ட்
kenth	கென்த்
ketaki	கேடாகி
kevin duers	கெவின் டுயர்ஸ்
khoon kharaba	கூன் கராபா
khurana	குரானா
kiev	கியேவ்
kiley	கிலே
kiranmay	கிரண்மை
kis liye	கிஸ் லியே
kishore	கிஷோர்
klaus	கிளாஸ்
koc holding	கோக் ஹோல்டிங்
krebs biochem	க்ரெப்ஸ் பயோகெம்
krikor	க்ரிகோர்
krishna sudaama	கிருஷ்ணா சுதாமா
kruger	க்ரூகர்
kuhada	குஹாதா
kunwara	கன்வாரா
laalakamal	லாலகமல்
laird	லயிர்ட்
lakkad	லக்கத்
lalaine	லலயின்
landis	லன்டிஸ்
lappeenranta	லாப்பீன்ரான்டா
larry gomes	லேரி கோம்ஸ்
laureus world sports awards	லாரஸ் வோர்ல்ட் ஸ்போர்ட்ஸ் அவார்ட்ஸ்
layyah	லய்யா
lebanon	லெபனான்
leelavati	லீலாவதி
leighton	லேடன்
lele	லேலே
liberte	லிபெர்டெ
licia	லிசியா
linda evans	லிண்டா எவான்ஸ்
livett	லிவெட்
lohou	லோஹோ
love	லவ்
love and murder	லவ் அண்ட் மர்டர்
love in simla	லவ் இன் சிம்லா
madhura	மதுரா
madura garments	மதுரா கர்மெண்ட்ஸ்
magdalen	மேக்டாலென்
magenta	மெஜந்தா
magnar	மக்னர்
maha	மஹா
maha sangram	மஹா சங்கிரம்
mahasamund	மஹாசாமுந்த
mahatma gandhi	மஹாத்மா காந்தி
maheen	மஹேன்
mahendragarh	மஹேந்திராகர்ஹ்
maheshinder	மஹேஷிந்தர்
mahmud shabistari	மாஹ்முத் ஷாபிஸ்தாரி
mahon	மஹூன்
main aur mera bhai	மேன் அவுர் மேரா பாய்
main shadi karne chala	மேன் ஷாதி கார்னே சாலா
maine jeena seekh liya	மேனெ ஜீனா சீக் லியா
majarooh	மஜாரூஹ்
majeed	மாஜீத்
malay	மலாய்
malaya	மலாயா
malih	மலிஹ்
malika salomi	மலிகா சலோமி
mambo	மாம்போ
manavinder	மனாவிந்தர்
mandape	மன்டபே
manindra	மணிந்திரா
manipur today	மனிப்பூர் டுடே
marcie	மார்சி
marconi prize	மார்கோனி ப்ரைஸ்
marcus	மார்க்கஸ்
mardav	மார்தவ்
marghoob	மர்கூப்
marietta	மரீட்டா
maris	மாரிஸ்
marius	மாரியஸ்
mark alleyne	மார்க் அலேன்
mark higgs	மார்க் ஹிக்ஸ்
mastani	மஸ்தானி
matt horne	மாட் ஹார்ன்
matwala	மாத்வாலா
maunath bhanjan	மவுனத் பன்ஜன்
maxime	மக்ஸைம்
mazharul haque	மாஸாருல் ஹாக்
mcculloch	மெக்குலோஷ்
medasvee	மேதஸ்வீ
meharbaan	மெஹர்பான்
meijer	மெய்ஜர்
mekhalin	மேகலின்
melbourne cup	மெல்போர்ன் கப்
merchant	மெர்சண்ட்
meri zubaan	மேரி ஸுபான்
michael	மைக்கேல்
michael crichton	மைக்கேல் க்ரிச்டன்
michelin	மைக்கேலின்
michelle nostradum	மிஷேல் நாஸ்ட்ராடம்
mike gatting	மைக் கேட்டிங்
millimes	மில்லிமெஸ்
milwaukee	மில்வாவ்கி
minarwa	மினர்வா
minati	மினாதி
minhajul abedin	மின்ஹாஜுல் அபேதின்
minna	மின்னா
minsk	மின்ஸ்க்
mirza ghalib	மிர்ஸா காலிப்
mitravaan	மிதேஷ்
mittal steel	மித்தல் ஸ்டீல்
miyan biwi razi	மியான் பீவி ராஸி
moterwali	மோடர்வாலி
mranaal	ம்ரனால்
mrinalini	ம்ரினாலினி
muballigh	முபால்லிக்
mukarram	முக்காராம்
muktsar	முக்ட்சார்
mukulita	முகுலிதா
murdoch university	முர்டோச் யூனிவர்சிட்டி
murlin munro	முர்லின் மண்ரோ
museum of cretan ethnology	மியூஸியம் ஆஃப் கிரெட்டன் எத்னாலஜி
muslih	முஸ்லிஹ்
mutsu	முட்ஸு
muzumdar	முஜும்தார்
naache nagin gali gali	நாச்சே நாகின் காலி காலி
naeem	நயீம்
nahal	நஹல்
nahida	நாஹிடா
naina	நைனா
nakhre wali	நக்ரெ வாலி
nam hin boun	நாம் ஹின் பெளன்
nandana	நந்தனா
nanha shikari	நன்ஹா ஷிகாரி
nanjing museum	நாஞ்ஜிங் மியூஸியம்
nastik	நஸ்திக்
national folk museum	நேஷனல் ஃப்போக் மியூஸியம்
national museum of the morgan horse	நேஷனல் மியூஸியம் ஆஃப் த மார்கன் ஹார்ஸ்
nationawide	நேஷனாவைட்
naukari	நவ்கரி
navabharat ferro alloys	நவபாரத் ஃபெர்ரோ அல்லாய்ஸ்
navin	நவீன்
navroz	நவ்ரோஸ்
nayan mongia	நயன் மாங்கியா
nazirah	நஸீரா
nebula	நெபுலா
neelesh	நீலேஷ்
neeta	நீதா
negi	நேகி
new york transit museum	நியூ யார்க் டிரான்சிட் மியூஸியம்
nick	நிக்
nirjharee	நிர்ஜரீ
nisha	நிஷா
nityanand	நித்யானந்த்
nityasundar	நித்யசுந்தர்
nobel	நோபல்
noorjehan	நூர்ஜஹான்
norah	நோராஹ்
norbert phillip	நார்பர்ட் ஃபிலிப்
normandie	நார்மான்டி
north dakota	நார்த் டாகோடா
norwich university museum	நார்விச் யூனிவர்சிட்டி மியூஸியம்
obayashi	ஓபேயாஷி
old roman	ஓல்ட் ரோமன்
omaprakaash	ஓமாபிரகாஷ்
oonch neech beech	ஊன்ச் நீச் பீச்
open text corporation	ஓபென் டெக்ஸ்ட் கார்ப்பரேஷன்
opentv	ஓபென்டீவி
orbotech	ஆர்போடெக்
orchid chemical	ஆர்க்கிட் கெமிக்கல்
order for merits to lithuania	ஆர்டர் ஃபார் மெரிட்ஸ் டோ லூதியானா
order of liberty	ஆர்டர் ஆஃப் லிபர்டி
order of smile	ஆர்டர் ஆஃப் ஸ்மைல்
origin agritech limited	ஆரிஜின் அக்ரிடெக் லிமிடெட்
osaka world trade center	ஒசாகா வேர்ல்ட் டிரேட் சென்டர்
osias	ஓசைஸ்
padayani	பாடாயானி
pakaraima	பாகரெய்மா
pakhewal	பகேவால்
panhala	பான்ஹாலா
pankaja	பங்கஜா
parai	பராய்
parinay	பரினய்
parton	பார்டன்
patthar aur payal	பத்தர் அவுர் பாயல்
paying guest	பேயிங் கெஸ்ட்
pearl	பேர்ல்
pembrokeshire coast	பெம்ப்ரோக்‌ஷைர் கோஸ்ட்
penelope	பெனிலோப்
percell	பெர்செல்
periyar	பெரியார்
peter rawson	பீட்டர் ராசன்
philippine bank of communication	பிலிப்பைன் பேங்க் ஆப் கம்யுனிகேஷன்
picasso	பிக்காசோ
pingalia	பின்காலியா
popli	போப்லி
port elizabeth	போர்ட் எலிசபத்
prabuddha	ப்ரபுத்தா
prakaash	பிரகாஷ்
prakash	பிரகாஷ்
prasham	ப்ரஷாம்
pratidin	பிராதிதின்
pratul	ப்ரதுல்
prayitsu	ப்ரயித்சு
preetish	ப்ரீதிஷ்
presidio of santa barbara	பிரெஸிடியோ ஆப் சன்டா பார்பரா
pricewaterhouse coopers	பிரைஸ்வாட்டர்ஹவுஸ் கூப்பர்ஸ்
priestley medal	ப்ரீஸ்ட்லி மெடல்
pritish nandy communications	ப்ரிடிஷ் நந்தி கம்யூனிகேஷன்ஸ்
prix des deux-magots	ப்ரிக்ஸ் டிஸ் டியுக்ஸ்-மகோட்ஸ்
profiles in courage award	ப்ரொஃபைல்ஸ் இன் கரேஜ் அவார்ட்
pujari	பூஜாரி
pujarin	பூராரின்
punjabi	பஜ்சாபி
pushpeshu	புஷ்பேஷு
pushpita	புஷ்பிதா
pyar ka bandhan	பியார் கா பந்தன்
pyar ki raat	பியார் கி ராத்
pyase panchhi	பியாஸெ பன்ச்சி
pyasi nigahen	பியாஸி நிகாஹென்
qadim	காடிம்
qaniah	கானியா
qayamat	கயாமத்
quintin	குன்டின்
qurban	குர்பான்
ra'id	ரயித்
raadheshyaam	ராதேஷ்யாம்
raajalakshmee	ராஜலக்ஷ்மி
raajwade	ராஜ்வாதே
raakhi	ராக்கி
raasavihaaree	ராஸவிஹாரீ
rabbani	ரப்பானி
rabi'	ரபி
rabin	ராபின்
race	ரேஸ்
radware	ராட்வேர்
ragini	ராகினி
