AA GALE LAG JA	ஆ கலே லாக் ஜா
ABDUL MUHAYMIN	அப்துல் முஹாய்மின்
ABDUL MUJIB	அப்துல் முஜிப்
ABDUL MUNEEM	அப்துல் முனீம்
ABDUL MUQIT	அப்துல் முக்கித்
ABDUL MUQSIT	அப்துல் முக்சித்
ABDUL MUZANNI	அப்துல் முஸானி
ABDUL NAFEE	அப்துல் நாஃபீ
ABDUL NAFI	அப்துல் நாஃபி
ABDUL NASIR	அப்துல் நாஸிர்
ABDUL NUR	அப்துல் நுர்
ABDUL QADIR	அப்துல் காதிர்
ABDUL QADIR JILANI	அப்துல் காதிர் ஜிலானி
ABDUL QAHHAR	அப்துல் கஹ்ஹர்
ABDUL RABB	அப்துல் ராப்
ABDUL RAFI	அப்துல் ராஃபி
ABDUL RAHIM	அப்துல் ராஹிம்
ABDUL RAQEEB	அப்துல் ராகீப்
ABDUL RAQIB	அப்துல் ராகிப்
ABDUL RAZZAQ	அப்துல் ரசாக்
ABDUL TAWWAAB	அப்துல் தாவ்வாப்
ABDUL TAWWAB	அப்துல் தாவ்வாப்
ABDUL WAAJID	அப்துல் வாஜித்
ABDUL WADOOD	அப்துல் வாதூத்
ABDUL WAHAAB	அப்துல் வாஹாப்
ABDUL WAHAB	அப்துல் வாஹப்
ABDUL WAHHAAB	அப்துல் வாஹ்ஹாப்
ABDUL WAHHAB	அப்துல் வாஹ்ஹப்
ABDUL WAJEED	அப்துல் வாஜீத்
ABDUL WAJID	அப்துல் வாஜித்
ABDUL WALI	அப்துல் வாலி
ABDUL ZALEEL	அப்துல் ஸாலீல்
ABDUL ZALIL	அப்துல் ஸாலில்
ABDULLAH	அப்துல்லா
ABDULLAH FAIZI AD-DAGHESTANI	அப்துல்லா ஃப்பைஸி அத்-டாகெஸ்தானி
ABDUR RAHEEM	அப்துர் ரஹீம்
ABDUR RAHMAN	அப்துர் ரஹ்மான்
ABDUR RAUF	அப்துர் ரௌஃப்
ABDUR RAZZAK	அப்துர் ராஸ்ஸாக்
ABDUS SABOOR	அப்துஸ் சாபூர்
ABDUS SABUR	அப்துஸ் சாபுர்
ABDUS SAMI	அப்துஸ் சமி
ABDUS SATTAAR	அப்துஸ் சத்தார்
ABDUS SATTAR	அப்துஸ் சத்தர்
ABDUS SHAFEE	அப்துஸ் ஷாஃபீ
ABDUS SHAKOOR	அப்துஸ் ஷாகூர்
ABDUS SUBBOOH	அப்துஸ் சுப்பூ
ABEEDAH	அபீதா
ABERDEEN	அபெர்டீன்
ABEY KURUVILLA	அபே குருவில்லா
ABHA	அபா
ABHAYANANDA	அபயானந்தா
ABHAYAPRAD	அபயாபிராத்
ABHI ABHI	அபி அபி
ABHICHANDR	அபிசந்தர்
ABHIHIT	அபிஹித்
ABHIJAATY	அபிஜாதி
ABHIJAY	அபிஜய்
ABHIJEET	அபிஜீத்
ABHIJIT KALE	அபிஜித் கேல்
ABHIJVAALAA	அபிஜ்வாலா
ABHIJWALAA	அபிஜ்வலா
ABHIK	அபிஹிக்
ABHILAASH	அபிலாஷ்
ABHILASHAA	அபிலாஷா
ABHIM	அபிம்
ABHIMANYUSUT	அபிமன்யூசுத்
ABHIMOD	அபிமோத்
ABHIMODA	அபிமோதா
ABHINAATH	அபினாத்
ABHINABHAAS	அபினாபாஸ்
ABHINANDA	அபினான்தா
ABHINANDAA	அபினான்தா
ABHINATH	அபினாத்
ABHIR	அபிஹிர்
ABHIRAM	அபிராம்
ABHIRUP	அபிருப்
ABHIVEER	அபிவீர்
ABHIVIR	அபிவிர்
ABHR	அப்ஹ்ர்
ABHYUDITA	அபியுதிதா
ABID	அபித்
ABIDAH	அபிதா
ABIGAIL VAN DIKE	அபிகெயில் வான் டைக்
ABINGTON	அபிங்டன்
ABISSO ABRI	அபிஸோ அப்ரி
ABJAYONI	அப்ரயோனி
ABJINIPATI	அப்ஜின்பட்டி
ABODH	அபோத்
ABOU BEN ADHEM	அபூ பென் அதெம்
ABQURAH	அப்குரா
ABRAR	அப்ரர்
ABRIL	எப்ரில்
ABROLHOS MARINE	அப்ரோல்ஹோஸ் மெரைன்
ABSAROKA	அப்சரோகோ
ABSI	அப்ஸி
ABUNDANT LIFE CHRISTIAN FELLOWSHIP	அபண்டண்ட் லைப் கிறிஸ்டியன் பெல்லோஷிப்
ABZARI	அப்ஸாரி
ACARYATANAYA	அகார்யாதனாயா
ACCIDENT	ஆக்சிடெண்ட்
ACHAARYNANDAN	ஆசார்யனான்தன்
ACHAARYNANDANAA	ஆசார்யானான்தனா
ACHAL	அச்சல்
ACHALAPATI	அச்சலாபதி
ACHALDA	அசால்டா
ACHALENDRA	அச்சலேந்திரா
ACHALGANJ	அசல்கஞ்ச்
ACHANAK	அச்சானக்
ACHAND	அசந்த்
ACHARYA	அசார்யா
ACHARYANANDAN	ஆசார்யானான்தன்
ACHARYANANDANA	ஆசார்யானான்தனா
ACHARYASUTA	ஆசார்யாசுதா
ACHARYASUTAA	ஆசார்யாசுதா
ACHARYNANDANA	ஆசார்யனான்தனா
ACHARYSUTA	ஆசார்யாசுதா
ACHCHAJI	அச்சாஜி
ACHILLE LAURO	அச்சில் லாரோ
ACHINTYA	அச்சின்டியா
ACHYUT	அச்சியுத்
ACKLAND ART MUSEUM	ஆக்லாண்ட் ஆர்ட் மியூஸியம்
ACROPOLIS MUSEUM	ஆக்ரோபோலிஸ் மியூஸியம்
ACTOR	ஆக்டர்
ADAA	அதா
ADAIR	அடைய்ர்
ADALARASU	ஆடலரசு
ADALRASU	ஆடலரசு
ADAM	அதம்
ADAM DALE	ஆடம் டேல்
ADARSHA	ஆதர்ஷி
ADARSHNAGAR	ஆதர்ஷ்நகர்
ADAWI	அடாவி
ADBUL QAWI	அப்துல் குவாயி
ADDIS ABABA	அதிஸ் அபேப
ADECCO	அடெக்கோ
ADEEL	அதீல்
ADELE	அடெல்
ADELIE	அடெலி
ADELINE	அடெலின்
ADELPHI	அடெல்பி
ADERYN	அடெரின்
ADHEER	அதீர்
ADHEERA	அதீரா
ADHIKAR	அதிகார்
ADHIP	அதிப்
ADHIT	அதித்
ADHIWAR	அதிவார்
ADHRIT	அத்ரித்
ADHURI KAHANI	அதுரி கஹானி
ADIB	அதிப்
ADIDAS	அடிடாஸ்
ADIE	ஆடி
ADIKAVI	அதிகவி
ADILAKSHMAN	ஆதிலக்ஷ்மன்
ADINAATH	அதினாத்
ADINATH	அதினாத்
ADIRONDACK	அடிரோன்டாக்
ADISHANKAR	ஆதிஷங்கர்
ADISHREE	ஆதிஸ்ரீ
ADISHVAR	அதிஷ்வர்
ADITI	அதித்தி
ADITPARA	ஆதித்பாரா
ADITYAA	அதித்யா
ADITYAKESHAV	ஆதித்யாகேஷவ்
ADITYANANDAN	ஆதித்யானன்தன்
ADNAAN	ஆட்னான்
ADOLPH	அடால்ப்
ADONIA	அடோனியா
ADONIS	அடோனிஸ்
ADRIANO	அட்ரியானோ
ADRIENNE	அட்ரியான்
ADUTURAI	அதுடுராய்
ADUZ ZAHIR	அதூஸ் ஸாஹிர்
ADVAAKEE	அத்வாகீ
ADVAIT	அத்வைத்
ADVAKI	அத்வாகி
ADWAAKEE	அத்வாகீ
ADWAKEE	அத்வாகீ
AELWEN	ஏல்வின்
AEON	ஏயியான்
AERONA	ஏரோனா
AFAROZE	அஃபரோஸ்
AFASANA	அஃபஸானா
AFASANAA	அஃபாஸானா
AFASARA	அஃபசாரா
AFEEF	அஃபீஃப்
AFGHANI	அப்கானி
AFIF	அஃபீஃப்
AFJAL	அஃப்ஜல்
AFLAH	அஃப்லா
AFLATOON	அஃப்லதூன்
AFRA	அஃப்ரா
AFSANA PYAR KA	அஃப்சானா பியார் கா
AFSAR	அஃப்சார்
AFTAB AHMED	அஃப்தப் அஹ்மெத்
AGAM	ஆகாம்
AGAPE	அகபே
AGARKAR	அகர்கர்
AGARTALA	அகர்டாலா
AGASTI	அகஸ்தி
AGASTYA	அகஸ்தியா
AGATHA	அகாதா
AGATON FORT	அகாடன் ஃப்போர்ட்
AGE BADHO	ஆகே படோ
AGGIE	அக்கி
AGINCOURT	அகின்கோர்ட்
AGNEE	அக்னீ
AGNEE PAREEKSHA	அக்னீ பரீக்ஷா
AGNEYA	அக்னேயா
AGNI	அக்னி
AGNI PREM	அக்னி பிரேம்
AGNI REKHA	அக்னி ரேகா
AGNI SAKSHI	அக்னி சாக்ஷி
AGNIKAAL	அக்னிகால்
AGNIKUMAR	அக்னிகுமார்
AGNIPRAV	அக்னிப்ரவ்
AGORI KHAS	அகோரி காஸ்
AGRA CANTONMENT	ஆக்ரா கண்டோன்மெண்ட்
AGRA CITY	ஆக்ரா சிட்டி
AGRA ROAD	ஆக்ரா ரோட்
AGREEMENT	அக்ரீமெண்ட்
AGRICULTURAL BANK OF CHINA	அக்ரிக்கல்சூரல் பேங்க் ஆப் சைனா
AGRO TECH FOODS	ஆக்ரோ டெக் ஃபுட்ஸ்
AHAD	அஹாத்
AHAGGAR	அஹாக்கர்
AHALYAPUR	அஹல்யபூர்
AHANKAAR	அஹங்கார்
AHINDRA	அஹிந்திரா
AHISTA AHISTA	அஹிஸ்டா அஹிஸ்டா
AHLAADIT	அஹ்லாதித்
AHLADIT	அஹ்லாதித்
AHLAM	அஹ்லாம்
AHMAD	அஹ்மாத்
AHMAD AL-BADAWI	அஹ்மத் அல்-பாதாவி
AHMADNAGAR	அஹ்மத்நகர்
AHMAR	அஹ்மர்
AHMED AL-BUNI	அஹ்மத் அல்-புனி
AHMED AR-RIFAI	அஹ்மத் அர்-ரிஃப்பை
AHMED YESEVI	அஹ்மத் யெஸெவி
AHMEDNAGAR	அஹ்மெத்நகர்
AHRAURA ROAD	அஹ்ரவுரா ரோட்
AHSAAS	அஹ்சாஸ்
AHSAN	அஹ்சான்
AIGHAR	ஐகார்
AIMEE	ஐமீ
AINE	ஐன்
AIRLIA	ஐர்லியா
AISHBAGH	அயிஸ்பாக்
AISHWARYA	ஐஷ்வர்யா
AISLIN	ஐஸ்லின்
AITANA	ஐடானா
AITBAAR	அயித்பார்
AIXTRON AKTIENGESELLSCHAFT	ஏக்ஸ்டிரான் ஏக்தின்கெஸெல்ஷாப்ட்
AIYE	ஆயே
AJAIBPUR	அஜய்பூர்
AJANTA ELLORA	அஜந்தா எல்லோரா
AJANTAA	அஜந்தா
AJANTI	அஜந்தி
AJARADAH	அஜாரதாஹ்
AJATASHATRU	அஜாதாஷாத்ரூ
AJAWAAD	அஜவாத்
AJAY JADEJA	அஜய் ஜடேஜா
AJEEB ITTEFAQ	அஜீப் இட்டேஃபக்
AJEEBAH	அஜீபா
AJEET	அஜீத்
AJENDRA	அஜெந்திரா
AJINKYA	ஆஜிங்கியா
AJIR ASOM	அஜிர் அஸோம்
AJIT AGARKAR	அஜித் அகர்க்கர்
AJMANI	அஜ்மானி
AJOOBA	அஜூபா
AJOOBA KUDRAT KA	அஜூபா குத்ரத் கா
AKAASH	அகாஷ்
AKALMAND	அகல்மந்த்
AKAMAAL	அகமால்
AKAMAL	அகமால்
AKANAPET	அகனபேட்
AKASH	அகாஷ்
AKASH PARI	ஆகாஷ் பாரி
AKASHA	அகாஷா
AKASHI	அகாஷி
AKBAR	அக்பர்
AKEEL	அகீல்
AKELA	அகேலா
AKELE HUM AKELE TUM	அகேலே ஹம் அகேலே தும்
AKHAND SAUBHAGYAWATI	அகந்த் சௌபாக்யவதி
AKHIL	அகில்
AKHILA	அகிலா
AKHILESH	அகிலேஷ்
AKHLAAQ	அக்லாக்
AKHTIYAAR	அக்தியார்
AKHTIYAR	அக்தியர்
AKIF	அகிஃப்
AKITSU MARU	அகிட்ஸு மாரு
AKMAAL	அக்மால்
AKMAL	அக்மல்
AKORA	அகோரா
AKRAM KHAN	அக்ரம் கான்
AKRON	அக்ரான்
AKSH	அக்ஷ்
AKUTAGAWA PRIZE	அகூடகாவா ப்ரைஸ்
AL	அல்
ALA	அலா
ALAIA	அலைய
ALAIR	அலைர்
ALAKA	அலாகா
ALAKANANDA	அலகானன்தா
ALAKANANDAA	அலகானன்தா
ALAKNANDA	அலக்நந்தா
ALAKNANDAA	அலக்னன்தா
ALAM ARA KI BETI	ஆலம் அரா கி பேட்டி
ALAMATTI DAM	அலமாட்டி டேம்
ALAMEDA	அலமேதா
ALAMGIR	அலம்கிர்
ALAMNAGAR	அலம்நகர்
ALAN	அலன்
ALAN BUTCHER	அலன் பட்சர்
ALAN CONNOLLY	ஆலன் கோனொல்லி
ALAN IGGLESDEN	அலன் இக்லெஸ்டென்
ALAN KNOTT	அலன் நாட்
ALAN THOMSON	ஆலன் தாம்சன்
ALAN WELLS	அலன் வெல்ஸ்
ALARICE	அலரிஸ்
ALASKA	அலாஸ்கா
ALBAN	அல்பன்
ALBELI	அல்பேலி
ALBERT	அல்பர்ட்
ALBERT EINSTEIN	ஆல்பர்ட் ஐன்ஸ்டின்
ALBERT GORE	ஆல்பர்ட் கோர்
ALBERT PINTO KO GUSSA KYON ATA HAI	ஆல்பெர்ட் பின்டோ கோ குஸ்ஸா கியோன் அதா ஹை
ALBERT SCHWEITZER	ஆல்பர்ட் ஸ்வெய்ட்சர்
ALBERTA	அல்பெர்டா
ALBERTSONS	ஆல்பர்ட்சன்ஸ்
ALBIE MORKEL	அல்பீ மோர்கெல்
ALBINA	அல்பினா
ALBION	அல்பியான்
ALBORAN	அல்போரன்
ALBUKERK	அல்பூகெர்க்
ALBURY	அல்பரி
ALCAN	அல்கன்
ALCATEL	அல்கட்டல்
ALDAN	அல்டன்
ALDON	அல்டோன்
ALDONA	அல்டோனா
ALEC	அலெக்
ALEC STEWART	அலெக் ஸ்டீவர்ட்
ALEEMAA	அலீமா
ALEGRIAS	அலெகிரியஸ்
ALETHEA	அலெதியா
ALEX TAIT	அலெக்ஸ் டைட்
ALEXANDER THE GREAT	அலெக்சாண்டர் தி கிரேட்
ALEXANDRE DUMAS	அலெக்சாண்டர் டுமாஸ்
ALEXANDRIA	அலெக்ஸான்டிரியா
ALEXIA	அலெக்ஸியா
ALFRED	அல்ஃபிரட்
ALFRED HITCHCOCK	ஆல்ஃபிரட் ஹிச்காக
ALFRED LUSENO	ஆலஃப்பிரெட் லுசெனோ
ALFRED TENNISON	ஆல்ஃபிரட் டென்னிசன்
ALGAWAN	அல்கவான்
ALGER HISS	ஆல்கர் ஹிஸ்
ALGERNON	அல்கெர்னான்
ALGIERS	அல்ஜியர்ஸ்
ALHAD	அல்ஹாத்
ALI HUJWIRI	அலி ஹுஜ்விரி
ALI SHAH	அலி ஷா
ALIA BADA	அலியா படா
ALIBABA	அலிபாபா
ALIBAGH	அலிபாக்
ALIBAUG FORT	அலிபாக் ஃப்போர்ட்
ALICANTE	அலிகன்டே
ALICE	அலீஸ்
ALICIA	அலிஷியா
ALIF LAILA	ஆலிஃப் லைலா
ALIGARH	அலிகர்
ALIGARH JUNCTION	அலிகார் ஜங்ஷன்
ALIM	அலிம்
ALIPUR DUAR	அலிபூர் டுவார்
ALISA	அலிஸா
ALISON	அலீசன்
ALIWAL	அலிவால்
ALIYAR RESERVOIR	ஆழியார் ரிசர்வாயர்
ALLAHABAD	அலஹாபாத்
ALLAHABAD CITY	அலஹாபாத் சிட்டி
ALLAN BORDER	ஆல்லன் பார்டர்
ALLAUDDIN KHAN	அலாவுதின் கான்
ALLAUDIN KA BETA	அலாவுதின் கா பேட்டா
ALLAUDIN KA CHIRAG	அலாவுதின் கா சிராக்
ALLEGHENY	அல்லேகேனி
ALLEMANDE	அலெமான்டெ
ALLEN	அல்லன்
ALLENDALE	அலென்டேல்
ALLIE	அல்லி
ALLYSON	அலிசன்
ALMAS	அலமாஸ்
ALNAVAR JUNCTION	அல்னாவர் ஜங்ஷன்
ALOARAKH	அலோராக்
ALOK	ஆலோக்
ALOYSIUS	அலோய்சியஸ்
ALPANAA	அல்பானா
ALPESH VADHER	அல்பேஷ் வாதெர்
ALPHA MATRICULATION HIGHER SECONDARY SCHOOL, CHENNAI	ஆல்ஃபா மெட்ரிகுலேஷன் ஹையர் செகண்டரி ஸ்கூல், சென்னை
ALPINE	அல்பைன்
ALSATIA	அல்சாஷியா
ALSTOM	அல்ஸ்டாம்
ALTAAF	அல்டாஃப்
ALTAF	அல்டாஃப்
ALTAI	அல்தாய்
ALTESSA	அல்டெஸ்ஸா
ALUABARI ROAD	அலுவாபாரி ரோட்
ALVARION	அல்வாரியான்
ALVIN	அல்வின்
ALWAR NAVA TIRUPATI	ஆழ்வார் நவ திருப்பதி
ALYSON	அலைசன்
AMAANAATH	அமானாத்
AMAANAT	அமாநாத்
AMAANDAA	அமான்டா
AMADEUS	அமதேஸ்
AMAH	அமா
AMAL SILVA	அமல் சில்வா
AMALA	அமலா
AMALIA	அமாலியா
AMALSAD	அமல்சாத்
AMANAATH	அமானாத்
AMANATH	அமானாத்
AMANDA	அமாண்டா
AMANDIP	அமன்திப்
AMANI	அமானி
AMANJEET	அமன்ஜீத்
AMAR AKBAR ANTHONY	அமர் அக்பர் ஆண்டனி
AMAR ASOM	அமர் அஸோம்
AMAR PYAR	அமர் பியார்
AMAR RAHE YEH PYAR	அமர் ரஹே யேஹ் பியார்
AMAR SHAHEED	அமர் ஷஹீத்
AMAR SINGH RATHOD	அமர் சிங் ரதோட்
AMARA	அமரா
AMARANTA	அமரான்டா
AMARAP	அமர்ராப்
AMARARAJ	அமர்ராஜ்
AMAREEK	அமாரீக்
AMAREESH	அமாரீஷ்
AMARESH	அமரிஷ்
AMARJEET	அமர்ஜீத்
AMARJIT	அமர்ஜித்
AMARKANT	அமர்கன்த்
AMARNATH	அமர்நாத்
AMAUSI	அமௌஸி
AMAY	அமே
AMAY KHURASIYA	அமே குராஸியா
AMAZONIA	அமஜோநியா
AMBA	அம்பா
AMBALA CANTONMENT	அம்பாலா கண்டோன்மெண்ட்
AMBALAPUZHA	அம்பாலாபுழா
AMBAR	அம்பர்
AMBARDEKAR	அம்பர்தேகர்
AMBEDKARNAGAR	அம்பேத்கார்நகர்
AMBIKA	அம்பிகா
AMBIKA KALNA	அம்பிகா கல்னா
AMBODALA	அம்போடாலா
AMBUP	அம்புப்
AMBUR	ஆம்பூர்
AMEENAA	அமீனா
AMEER GARIB	அமீர் கரிப்
AMEER ZADI	அமீர் ஸதி
AMEERI GAREEBI	அமீரி கரீபி
AMELIE	அமாலீ
AMERADA HESS	அமெராதா ஹெஸ்
AMERICAN ACADEMY OF ARTS AND LETTERS FICTION AWARD	அமெரிக்கன் அகாடமி ஆஃப் ஆர்ட்ஸ் அண்ட் லெட்டர்ஸ் பிக்‌ஷன் அவார்ட்
AMERICAN EXPRESS	அமெரிக்கன் எக்ஸ்பிரஸ்
AMERICAN INTERNATIONAL BUILDING	அமெரிக்கன் இன்டர்நேஷனல் பில்டிங்
AMERICAN INTL GROUP	அமெரிக்கன் இன்டல் குரூப்
AMERICAN WAR OF INDEPENDENCE	அமெரிக்கன் வார் ஆப் இன்டிபென்டென்ஸ்
AMERICIUM	அமெரிஷியம்
AMEY	அமே
AMEYA	அமேயா
AMGURI	அம்குரி
AMI	அமி
AMIN	அமின்
AMINUL ISLAM	அமினுள் இஸ்லாம்
AMIR KABIR DAM	அமிர் கபிர் டேம்
AMIT MISHRA	அமித் மிஷரா
AMITAABH	அமிதாப்
AMITABH	அமிதாப்
AMITABH CHAUDHARI	அமிதாப் சௌதாரி
AMITRASAH	அமித்ராசா
AMMA	அம்மா
AMMAN	அம்மான்
AMMARAH	அம்மாரா
AMOHA	அமோஹா
AMOLAK	அமோலக்
AMOLIK	அமோலிக்
AMOOLYA	அமூல்யா
AMORINA	அமோரினா
AMRAH	அம்ரா
AMRATAA	அம்ராதா
AMRAVATI	அமராவதி
AMREEK	அம்ரீக்
AMRIK	அம்ரிக்
AMRITA PREETAM	அம்ரிதா ப்ரீதம்
AMRITAP	அம்ரிதாப்
AMRITLAL NAGAR	அம்ரித்லால் நகர்
AMRITSAR	அம்ரித்சார்
AMSTERDAM SCHIPHOL	ஆம்ஸ்டர்டாம் ஷிபோல்
AMU DARYA	அமு தார்யா
AMUR	அமூர்
AMURT	அமுர்த்
AMY	அமி
ANA	அனா
ANAADI	அனாதி
ANAADYA	அனட்யா
ANAADYANT	அனாத்யன்ட்
