กงต์, โอกูสต์	comte, auguste
การ์เบิส	garbus
การ์เมิน	garman
การ์เลิ่ก	garlock
การ์เวอร์	garver
การ์เวิก	garvagh
การ์เวิ่น	garvan
การ์แลนด์, จูดี	garland, judy
การ์โร	garro
การ์โลส, โมยา	carlos, moya
การ์โลส, โรแบร์โต	carlos, roberto
การ์ไซด์	garside
กาลา	gala
กาลาดินเนอร์	gala dinner
กาลาปัน	galapan
กาลาพรีเมียร์	gala premiere
กาลิเลอี	galilei
กาลิเลอี, กาลิเลโอ	galilei, galileo
กาลิเลโอ	galileo
กาลีนา	galena
กาวน์	gown
กาวัซซี่	gavazzi
กาวิต	kawit
กาสิโน	casino
กาห์ไนต์	gahnite
กาอินงิน	caingin
กาเบรียล	gabriel
กาเบิล	gabel
กาเฟอีน	caffein
กาเร	carre
กาเวิร์น	govern
กาแล็กซี	galaxy
กาแล็กโทส	galactose
กาโต	gateau
กาโน	gano
กาโบ, นาอุม	gabo, naum
กาโบโรน	gaborone
กาโม่	gamow
กิกก็อนตส์	gigantes
กิกส์, ไรอัน	giggs, ryan
กิงกริช	gingrich
กิงเกอริก	gingerich
กิด	gaede
กิดดิงส์	giddings
กิดดี้	giddy
กิดวิตส์	gidwitz
กิดเดินส์	giddens
กิตต้า	gitta
กิตต์	gitt
กิน	guin
กินนิ่ง	dinning
กินสเบิร์ก	ginsburg
กินส์เบิร์ก	ginsberg
กินี	guinea
กินีบิสเซา	guinea-bissau
กินี่	guinee
กินเดิ้น	guindon
กินเทอร์	ginther
กิบบอน	gibbon
กิบบุตซ์	kibbutz
กิบบ์	gibb
กิบบ์ไซต์	gibbsite
กิบลิ	ghibli
กิบสัน	gibson
กิบสัน, เมล	gibson, mel
กิบส์	gibbs
กิบส์, โจไซอาห์ ดับเบิลยู.	gibbs, josiah w.
กิฟต์	gift
กิฟต์ชอป	gift-shop
กิฟเฟอร์	kiffer
กิฟเฟิ่น	giffen
กิม	gim
กิมสัน	gimson
กิมเบิล	gimbel
กิลก์ส	gilks
กิลคริสต์	gilchrist
กิลคึส	gilkes
กิลดิ่ง	gilding
กิลด์	guild
กิลด์ฟอร์ด	guildford
กิลพิ้น	gilpin
กิลฟอยล์	guilfoyle
กิลมอร์	gilmore
กิลมาร์ติน	gilmartin
กิลรอย	gilroy
กิลลิก	gillick
กิลลิงแฮม	gillingham
กิลลิส	gillis
กิลลิ่ง	gilling
กิลล์	ghyll
กิลสัน	gilson
กิลสเตริป	gilstrap
กิลีแลนด์	gilliland
กิลเดอรอย	gilderoy
กิลเดอร์	guilder
กิลเบรีท	gilbreth
กิลเบิร์ตสัน	gilbertson
กิลเมอร์	gilmer
กิลเมิน	gilman
กิลเลมิ้น	guillemin
กิลเลอเกิ้น	gilligan
กิลเลอเมต	guillemette
กิลเลิน	gillen
กิลเลิ่ม	gillam
กิลเลี่ยน	gilian
กิลเลี่ยม	gilliam
กิลเฮิม	gillham
กิลไบรด์	gilbride
กิวด์	gude
กิวลิก	gulick
กิวเซฟ	gusev
กิวเตอร์เมิ่น	guterman
กิสซิง	gissing
กิสเซอล่า	gisela
กิอานา	guiana
กิเดอรี่	guidry
กิเบิร์ต	guibert
กิเลิ่ม	gillum
กิโซ	gizo
กิโมโน	kimono
กิโยตีน	guillotine
กิโล	kilo
กิโลกรัม	kilogram
กิโลบอด	kilobaud
กิโลบิต	kilobit
กิโลลิตร	kilolitre
กิโลเมตร	kilometer
กิโลเฮิรตซ์	kilohertz
กิโลแคลอรี	kilocalorie
กิโลไซเกิล	kilocycle
กิโลไบต์	kilobyte
กิ๊บ	gib
กิ๊บเบิ่น	gibbens
กิ๊บเบิ่นส์	gibbons
กิ๊ปซี่	gipsy
กิ๊ปสัน	gipson
กิ๊ฟฟิน	giffin
กีซิก	giesecke
กีตาร์	guitar
กีนู	gignoux
กีบ	kip
กีย์เซอไรต์	geyserite
กีรี่	giri
กีลอง	geelong
กีล์	guille
กีวี	kiwi
กีสต์	geest
กีเคอร์	geeker
กีเซอร์	geyser
กีเซิ่น	giesen
กีเดี้ยน	gideon
กีเนส	guinness
กีเนิร์ด	guinard
กีเบอร์สัน	guiberson
กีเฟิร์ด	giffard
กีเริ่น	geren
กีเลอร์	giller
กีเวินส์	givens
กีเอิร์ส	geers
กีโย	guyot
กีโร	giro
กี๊ฟเวิ่น	given
กึนซ์	gunz
กุบไลข่าน	kublai khan
กุย	gui
กุลี	coolie
กุสตัน, ฟิลิป	guston, philip
กุโรชิโอ	kuroshio
กุโรซิโว	kurosiwo
กูกวน	guguan
กูช	gooch
กูด	goode
กูดดี	goody
กูดลัก	good luck
กูดแมน, เบนนี	goodman, benny
กูดไนต์	good night
กูตาราจา	kutaraja
กูติเยเรส	gutierrez
กูท	guth
กูนเทอร์	guenther
กูบิ้น	gubin
กูม	koum
กูร์เบ, กูสตาฟว์	courbet, gustave
กูร์เมต์	gourmet
กูล	goul
กูลดิง	goulding
กูลด์, สตีเฟน เจย์	gould, stephen jay
กูลด์, เชสเตอร์	gould, chester
กูลริก	goolrick
กูลลิต	gullett
กูลลี	gulli
กูลส์บี้	goolsby
กูลัวร์	couloir
กูลากอง, อีวอนน์	goolagong, evonne
กูลเบิร์น	goulburn
กูล์เดิ้น	goulden
กูวารา, เช (เออร์เนสโต)	guevara, che (ernesto)
กูส	goose
กูสตาเวิส	gustavus
กูสลาร์	guslar
กูสเซิ่นส์	goossens
กูสเบอร์รี	gooseberry
กูเกอเลอร์	gugler
กูเกิล	google
กูเกิ่นไฮม์	guggenheim
กูเดอร์แฮม	gooderham
กูเทนเบิร์ก	gutenburg
กูเลียน	gulian
กูเอิร์ตส	gewirtz
กูแลช	goulash
กูโน, ชาร์ล	gounod, charles
กู๊ด	good
กู๊ดบอดิ้	goodbody
กู๊ดบาย	goodby
กู๊ดบาร์	goodbar
กู๊ดยู	goodhew
กู๊ดรัม	goodrum
กู๊ดริช	goodrich
กู๊ดลิ่ง	goodling
กู๊ดวิน	goodwyn
กู๊ดวิลล์	goodwill
กู๊ดสปีด	goodspeed
กู๊ดสัน	goodson
กู๊ดอล	goodall
กู๊ดฮาร์ต	goodhart
กู๊ดฮิ๊ว	goodhue
กู๊ดาเคอร์	goodacre
กู๊ดิฟ	goodeve
กู๊ดิ่ง	gooding
กู๊ดีเออร์	goodier
กู๊ดเดล	goodell
กู๊ดเดอโน	goodenough
กู๊ดเฟลโล	goodfellow
กู๊ดเยียร์	goodyear
กู๊ดเลิ่ก	goodluck
กู๊ดเลิ่น	goodland
กู๊ดเล็ต	goodlett
กู๊ดแพสเชอร์	goodpasture
กู๊ดโน	goodnow
กู๊ดไคนด์	goodkind
กู๊ดไชลด์	goodchild
กู๊ดไนท์	goodnight
กู๊เดล	goodale
กู๊เดิ่น	gooden
กู๊แดร์	goodair
ก็อก, ฟินเซนต์ ฟาน	gogh, vincent van
ก็อง	caen
ก็อดซีย์	godsey
ก็อดบี้	godby
ก็อดริก	godric
ก็อดลัฟ	godlove
ก็อดลี่ย์	godley
ก็อดสัน	godson
ก็อดเชิล	godshall
ก็อดเซิล	godsell
ก็อดเบอร์	godber
ก็อดเบาต์	godbout
ก็อดเมิน	godman
ก็อตต์	gott
ก็อตส์เมิ่น	gottesman
ก็อตเชิก	gottschalk
ก็อตเชิล	gotshal
ก็อตเตอร์	kotter
ก็อตโต้	gotto
ก็อบบี้	gobbi
ก็อลต์	gault
ก๊อก	cock
ก๊อบปี้	copy
ก๊อบปี้ไรเตอร์	copy writer
ก๊าซ	gas
ก๊าซเทอร์โมมิเตอร์	gas thermometer
ก๊าฟต์	gaft
ข่าน	khan
คนูตสัน	knutson
ครอกเกตต์	crockett
ครอท	krauth
ครอนเบิร์ก	kronberg
ครอป	crop
ครอปป์	kropp
ครอฟต์	croft
ครอม	krom
ครอมเลค	cromlech
ครอมเวลล์	cromwell
ครอมเวลล์, ไอลิเวอร์	cromwell, oliver
ครอยเกอร์	kreuger
ครอว์ฟอร์ด	crawford
ครอว์ฟอร์ด, ซินดี	crawford, cindy
ครอว์ฟิช	crawfish
ครอส	krause
ครอสซอปเทอริเจียน	crossopterygian
ครอสฟีลด์	crosfield
ครอสสติตช์	cross-stitch
ครอสส์ คันทรี	cross country
ครอสส์บาร์	crossbar
ครอเนินเบิร์ก	kronenberg
ครอเลอร์โดเซอร์	crawler dozer
ครัช	krutch
ครันดอลล์	crundall
ครัม	krum
ครัมบ์	crumb
ครัลเลอร์	cruller
ครัวซองต์	croissant
ครัสต์	crust
ครัสเตเซีย	crustacea
คราชิน	crachin
คราตส์	kraatz
คราฟต์	craft
คราฟท์	kraft
คราล	kraal
คราวน์	crown
คราวน์โคโลนี	crown colony
คราส	eclipse
คราสน่า	krasna
คราเมอร์	cramer
คริก	crick
คริกเกต	cricket
คริชตัน, ไมเคิล	crichton, michael
คริน	krene
คริปตอน	cripton
คริปทอน	krypton
คริปโตสปอริเดียม	cryptosporidium
คริปโทซูน	cryptozoon
คริปโทโซอิก	cryptozoic
คริม	krimm
คริมสันโคลเวอร์	crimson clover
คริลล์	krill
คริส	chris
คริสซี	chrissie
คริสตอเฟอร์สัน	christofferson
คริสตัล	crystal
คริสตัลไลน์	crystalline
คริสตาเบิล	christabel
คริสติแอน่า	christiana
คริสตี	christie
คริสตีน	christine
คริสตีสัน	christison
คริสตีเซิ่น	christesen
คริสตี้	chrystie
คริสต์	krist
คริสต์มาส	christmas
คริสต์มาสพุดดิง	christmas pudding
คริสต์เมิน	christman
คริสทอฟเฟิล	christoffel
คริสป์	crisp
คริสเตนเซิ่น	christensen
คริสเติฟเฟิร์ส	christophers
คริสเติ้นเซิ่น	kristensen
คริสเตียน	christian
คริสเตียนเซิ่น	christiansen
คริสเตียโน	christiano
คริสเทิล	kristol
คริสเมิน	chrisman
คริสแทลลอยด์	crystalloid
คริสโต	christo
คริสโตวัล	christoval
คริสโตเฟอร์	christopher
คริสโทบาไลต์	cristobalite
คริโซคอลลา	chrysocolla
คริโซเบริล	chrysoberyl
คริโซเพรส	chrysoprase
คริโซไทล์	chrysotile
คริโซไลต์	chrysolite
ครีก	krieg
ครีซัส	croesus
ครีซีย์	creasey
ครีต	crete
ครีปัสคิวลาร์	crepuscular
ครีม	cream
ครีมคาราเมล	cream caramel
ครีมพัฟฟ์	cream puff
ครีมออฟทาร์ทาร์	cream of tartar
ครีมโซดา	cream soda
ครีลีย์	creeley
ครีสต์เกา	christgau
ครีสเติฟ	kristof
ครีเกอร์	krieger
ครีเกิล	kriegel
ครีเซิน	christen
ครีเซ็ก	krizek
ครีเตเชียส	cretaceous
ครีเบิล	kriebel
ครีเมิร์ส	kremers
ครีเอทิฟ	creative
ครีโอฟิลิก	cryophilic
ครีโอล	creole
ครีโอโซต	creosote
ครูกส์	crookes
ครูส	kruse
ครูส, ทอม	cruise, tom
ครูเกอร์	kruger
ครูเสด	crusade
ครูแพนสกี้	krupansky
คร็อก, เรย์ เอ.	kroc, ray a.
คร็อกพอต	crock pot
คร็อฟตส์	crofts
คลอด	claude
คลอดิอัส	claudius
คลอดีน	claudine
คลอดี้	claudy
คลอนไดก์	klondike
คลอยด์	cloyd
คลอรามีน	chloramines
คลอริทอยด์	chloritoid
คลอริเนเต็ดไอโซไชยานูเรต	chlorinated isocyanurates
คลอริเนเต็ดไฮโดรคาร์บอน	chlorinated hydrocarbons
คลอรีน	chlorine
คลอรีนไดออกไซด์	chlorine dioxide
คลอส	claus
คลอสส์	kloss
คลอสัน	clawson
คลอสเซิน	claussen
คลอเซอร์	clauser
คลอเดีย	claudia
คลอเติ้น	claughton
คลอแรกเน	chloracne
คลอแอนไทต์	chloanthite
คลอโรพลาสต์	chloroplast
คลอโรฟลูออโรคาร์บอน	chlorofluorocarbons
คลอโรฟอร์ม	chloroform
คลอโรฟีนอล	chlorophenol
คลอโรฟีลล์	chlorophyll
คลอโรแกนิก	chlororganic
คลอไรด์	choloride
คลอไรต์	chlorite
คลัก	cluck
คลักเมิ่น	klugman
คลัง	clung
คลัด	klud
คลัตช์	clutch
คลัตท่า	clutha
คลัตเตอร์	clutter
คลัตเตอร์เบิ่ก	clutterbuck
คลัตเติ้น	clutton
คลันเดอร์	klunder
คลับ	clubb
คลับเปอร์	clapper
คลับเฮาส์	club house
คลับแซนด์วิช	club sandwich
คลัมป์	klumpp
คลัสเตอร์	cluster
คลาก	clarke
คลารา	clara
คลาริสซา	clarissa
คลาริเนต	clarinet
คลารีน่า	clarina
คลาร์ก	clerk
คลาร์กส	clarkes
คลาร์กสัน	clarkson
คลาร์ดี้	clardy
คลาส	klass
คลาสสิก	classic
คลาเรน	clarain
คลาเรนดอน	clarendon
คลาโรดูไรต์	clarodurite
คลาไรต์	clarite
คลิก	click
คลิง	kling
คลิงก์	clink
คลิงฮอฟเฟอร์	klinghoffer
คลิงเกอร์	clinker
คลิงเกิล	klingel
คลิงเงอร์	clinger
คลิตอริส	clitoris
คลิตเตอร์	clitter
คลิน	klin
คลินตัน	clinton
คลินต์	klint
คลินิก	clinic
คลินีฟิลเตอร์	klinefelter
คลิป	clip
คลิปบอร์ด	clipboard
คลิปปิง	clipping
คลิปเปอร์ตัน	clipperton
คลิปเปิน	klippen
คลิฟตัน	clifton
คลิฟต์	clift
คลิฟฟอร์ด	clifford
คลิฟฟ์	cliff
คลิส	klis
คลิเบิร์น	clyburn
คลิ๊ก	klick
คลี	clee
คลีน	clean
คลีฟ	clave
คลีฟส์	cleaves
คลีฟเลิ่นด์	cleaveland
คลีฟแลนด์	cleveland
คลีฟแลนด์, โกรเวอร์	cleveland, grover
คลีฟแลนไดต์	cleavelandite
คลีเบิร์ก	kleberg
คลีเบิร์น	cliburn
คลีเมนส์	clemens
คลีเมิ่น	kleeman
คลีเวจ	cleavage
คลีเวิ่น	cleven
คลีโอ	clio
คลูต	clute
คลูน	clune
คลูนี่ย์	clooney
คลูฟ	clough
คลูร์	clure
คลูส	clouse
คล็อก	clock
คล็อด	claud
คล็อตส์	klotz
คล็อปเติ้น	clopton
คล็อปเฟอร์	klopfer
ควอดรันต์	quadrant
ควอดรูน	quadroon
ควอตซ์	quartz
ควอตซ์แทรไคต์	quartz trachyte
ควอนด์ต	quandt
ควอนตัม	quantam
ควอร์ก	quark
ควอร์ต	quart
ควอร์ตซ์	quartz
ควอร์ตไซต์	quartzite
ควอร์น	quorn
ควอร์รี่	quarry
ควอร์เตอร์	quarter
ควอร์เตอร์แบ็ก	quarterback
ควอร์เทต	quartet
ควอร์โต	quarto
ควอลส์	quarles
ควอเทอร์เนียน	quaternion
ควอแดรต	quadrat
ควันทิตี	quantity
ควัม	quam
ควาริช	quaritch
ควาเตอร์นารี	quaternary
ควิก	quigg
ควิกซอร์ต	quicksort
ควิกลีย์	quigley
ควิกวอลตซ์	quick waltz
ควิกสเต็ป	quickstep
ควิกเสตป	quick step
ควิซ	quiz
ควิต	quit
ควิตเมิ่น	quitman
ควิน	quin
ควินซี	quincy
ควินซ์	quince
ควินด์เลิ่น	quindlen
ควินต้อน	quinton
ควินทาน่า	quintana
ควินทิน	quintin
ควินทิเลียน	quintilian
ควินน์	quinn
ควินบี้	quinby
ควินิน	quinine
ควินเติส	quintus
ควินเทต	quintet
ควินเลิ่น	quinlan
ควิมบี้	quimby
ควิล	quill
ควิลเตอร์	quilter
ควิลเลอร์	quiller
ควิส	quis
ควิสต์	quist
ควิออน	guion
ควิออเท็ก	kwiatek
ควิเบก	quebec
ควิเลิ่น	quillen
ควิแอสด้า	gwiazda
ควี	quie
ควีซีน	cuisine
ควีน	queen
ควีนชาร์ล็อต	queen charlotte
ควีนนี่	queeny
ควีนสแบร์รี่	queensberry
ควีนแอนน์	queen anne
ควีรีโค้	quirico
ควีลิม	gwilym
คว็อก	kwoc
คอกจีอาโน่	caggiano
คอกเกอร์สแปเนียล	cocker spaniel
คองกรีเกชัน	congregation
คองก้า	conga
คองคอร์ด	concord
คองช์	conch
คองเกรส	congress
คองเคิล	konkel
คองโก	congo
คอช	koch
คอชเลิ่นด์	koshland
คอด	codd
คอดดิ่ง	codding
คอดดิ่งเทิ้น	coddington
คอดเดิล	caudal
คอดเมิ่น	codman
คอตคี่	kottke
คอตตอนบัด	cotton bud
คอตต้อนกราส	cotton grass
