ABASHIRI	網走
AKIKO	亜季子
AKIKUSA	秋草
AKIMA	秋間
AKIMASA	彰将
AKIMI	亜紀実
AKIMICHI	彰道
AKIMITSU	彰光
AKIMOTO	秋元
AKINA	明菜
AKINAGA	秋永
AKINAO	昭尚
AKINARI	明成
AKINO	秋野
AKINOBU	彰伸
AKINORI	彰典
AKIO	亜喜夫
AKIOKA	秋岡
AKIRA	丹
AKIRO	秋郎
AKISADA	秋定
AKISAWA	秋沢
AKISHIMA	昭島
AKITA	明田
AKITAKA	昭隆
AKITANI	秋谷
AKITAYA	秋田谷
AKITO	彰人
AKITOSHI	彰俊
AKITSUGU	明次
AKIWA	秋和
AKIYAMA	秋山
AKIYASU	彰保
AKIYO	亜希世
AKIYOSHI	彰好
AKIYUKI	彰之
AKIZAWA	秋沢
AKIZO	秋蔵
AKIZUKI	秋月
AKO	亜古
AKUI	阿久井
AKUNE	阿久根
AKUSAWA	阿久沢
AKUTAGAWA	芥川
AKUTSU	阿久津
AMAAKE	天明
AMADA	天田
AMAGAI	天海
AMAGASA	天笠
AMAGASAKI	尼崎
AMAGASE	天瀬
AMAGI	甘木
AMAHA	天羽
AMAI	天井
AMAIKE	天池
AMAKASU	甘粕
AMAKAWA	天川
AMAKI	天木
AMAKO	尼子
AMAKUSA	天草
AMAMIYA	天宮
AMAMORI	雨森
AMAMOTO	天本
AMANO	天野
AMANUMA	天沼
AMARI	亜真理
AMARUME	余目
AMATANI	天谷
AMATSU	天津
AMATSUKOMINATO	天津小湊
AMAUMI	天海
AMAYA	天谷
AMEMIYA	雨宮
AMEMORI	雨森
AMI	亜実
AMIKO	亜美子
AMIKURA	網倉
AMIMOTO	網本
AMINAKA	網中
AMINO	網野
AMISHIRO	網代
AMITANI	網谷
AMIYA	網谷
AMO	天羽
ANABUKI	穴吹
ANADA	穴田
ANAHARA	穴原
ANAI	穴井
ANAMI	阿南
ANAMIZU	穴水
ANAN	阿南
ANASAWA	穴沢
ANAYAMA	穴山
ANAZAWA	穴沢
ANBIRU	安蒜
ANDO	安東
ANEKAWA	姉川
ANESAKI	姉崎
ANG	昂
ANI	阿仁
ANJO	安城
ANJU	杏樹
ANNA	安奈
ANNAKA	安中
ANNEN	安念
ANO	安納
ANPO	安保
ANPUKU	安福
ANRAKU	安楽
ANRI	安里
ANTAKU	安宅
ANZAI	安斉
ANZU	杏
AOBA	青葉
AOBATA	青畑
AOCHI	青地
AODA	青田
AOE	青江
AOI	葵
AOIKE	青池
AOKI	青木
AOKO	青子
AOMINE	青峰
AOMORI	青森
AONO	青野
AONUMA	青沼
AOSHIKA	青鹿
AOSHIMA	青島
AOTA	青田
AOTO	青戸
AOTSUKA	青塚
AOYAGI	青柳
AOYAMA	青山
ARA	荒
ARADA	荒田
ARAE	新江
ARAGAKI	新垣
ARAGANE	荒金
ARAHATA	荒幡
ARAHORI	荒堀
ARAI	新井
ARAJIMA	荒島
ARAKAWA	荒川
ARAKI	新木
ARAKIDA	荒木田
ARAMAKI	荒巻
ARAMI	新美
ARANO	新野
ARAO	荒尾
ARAOKA	荒岡
ARASAWA	荒沢
ARASE	荒瀬
ARASEKI	荒関
ARASHI	嵐
ARATA	新
ARATANI	新谷
ARAYA	荒谷
ARAYAMA	荒山
ARIAKE	有明
ARIDA	有田
ARIGA	有我
ARIHARA	在原
ARIHITO	有人
ARII	有井
ARIICHI	有一
ARIIZUMI	有泉
ARIJI	有路
ARIKA	亜利佳
ARIKAWA	有川
ARIKI	有木
ARIMA	有馬
ARIMATSU	有松
ARIMI	有美
ARIMITSU	有光
ARIMOTO	有本
ARIMURA	有村
ARINO	有野
ARINORI	有乗
ARIOKA	有岡
ARISA	亜利沙
ARISAKA	有坂
ARISAWA	有沢
ARITA	有田
ARITAKA	有孝
ARITOMI	有冨
ARIWARA	在原
ARIYAMA	有山
ARIYOSHI	有吉
ARIZONO	有園
ARIZUMI	有住
ARU	亜留
ASABA	浅場
ASADA	朝田
ASAE	亜佐恵
ASAGA	朝賀
ASAGI	浅木
ASAGORO	朝五郎
ASAHA	浅羽
ASAHARA	浅原
ASAHI	旭
ASAHIKAWA	旭川
ASAHINA	朝比奈
ASAI	朝井
ASAJI	朝地
ASAJIRO	浅次郎
ASAKA	亜沙加
ASAKAI	浅海
ASAKAWA	朝川
ASAKICHI	浅吉
ASAKITA	安佐北
ASAKO	亜佐子
ASAKURA	朝倉
ASAMA	浅間
ASAMI	亜佐美
ASAMINAMI	安佐南
ASAMITSU	朝光
ASAMOTO	朝本
ASANO	朝野
ASANUMA	浅沼
ASAO	朝夫
ASAOKA	朝岡
ASARI	浅利
ASATANI	浅谷
ASATARO	朝太郎
ASATSUMA	朝妻
ASAUMI	浅海
ASAWA	浅輪
ASAYA	浅谷
ASAYAMA	朝山
ASAYO	朝代
ASAYUKI	朝之
ASHIBETSU	芦別
ASHIDA	芦田
ASHIHARA	芦原
ASHIHEI	葦平
ASHIKAGA	足利
ASHIKAWA	芦川
ASHIKITA	芦北
ASHINA	芦名
ASHINO	芦野
ASHIO	足尾
ASHITANI	芦谷
ASHIYA	芦屋
ASHIZAWA	芦沢
ASO	阿曽
ASUKA	明日香
ASUKE	足助
ASUMI	明日美
ATA	阿多
ATAKA	安宅
ATAKE	安宅
ATAMI	熱海
ATARASHI	新子
ATARIYAMA	当山
ATARU	中
ATO	阿藤
ATOBE	跡部
ATOMU	歩夢
ATSUBETSU	厚別
ATSUE	敦恵
ATSUFUMI	厚文
ATSUGI	厚木
ATSUHARU	淳治
ATSUHIKO	厚彦
ATSUHIRO	厚博
ATSUHISA	敦久
ATSUHITO	厚人
ATSUJI	敦二
ATSUKAWA	厚川
ATSUKO	亜津子
ATSUMI	厚美
ATSUMU	伍
ATSUNARI	厚成
ATSUNORI	敦規
ATSUO	厚夫
ATSUSHI	充史
ATSUSUKE	篤輔
ATSUTA	熱田
ATSUYA	厚哉
ATSUYO	修代
ATSUYOSHI	淳好
ATSUZAWA	厚沢
AWAIHARA	粟飯原
AWAJI	淡路
AWAKURA	粟倉
AWAMURA	粟村
AWANO	粟野
AWATA	粟田
AWATAKE	粟竹
AWAYA	粟屋
AWAZU	粟津
AYA	亜也
AYABE	綾部
AYAKA	彩佳
AYAKO	亜也子
AYAME	菖
AYAMI	彩水
AYANA	彩名
AYANE	文音
AYANO	彩乃
AYARU	斐
AYASE	綾瀬
AYATA	綾田
AYATO	綾人
AYU	亜由
AYUHA	阿由葉
AYUKAWA	鮎川
AYUKO	亜裕子
AYUMI	亜弓
AYUMU	歩
AYUSAWA	鮎沢
AZATO	安里
AZAWA	安沢
AZE	安瀬
AZEGAMI	畔上
AZEHIRU	畔蒜
AZEKAMI	畔上
AZUMA	吾妻
AZUMI	安住
AZUSA	亜津佐
BABA	馬場
BAN	伴
BANBA	番場
BANDAI	磐梯
BANDO	坂東
BANNAI	坂内
BANNO	万野
BANTO	阪東
BARATA	茨田
BATO	馬頭
BEN	本
BENIKO	紅子
BENIYA	紅谷
BEPPU	別府
BESSHO	別所
BIBAI	美唄
BISAI	尾西
BITO	尾藤
BIZEN	備前
BOKU	朴
BONO	坊農
BUN'ICHI	文一
BUN'ICHIRO	文一郎
BUN'YA	文屋
BUN'YU	文雄
BUNCHIN	文珍
BUNGO	文吾
BUNGOTAKADA	豊後高田
BUNJI	文二
BUNJIRO	文次郎
BUNKICHI	文吉
BUNNO	文野
BUNPEI	文平
BUNSEI	文正
BUNSHICHI	文七
BUNSHIRO	文四郎
BUNSUI	分水
BUNTARO	文太郎
BUNZO	文三
BUSUJIMA	毒島
BUSUKE	武助
BUZEN	豊前
CHAMI	茶美
CHANGJI	昌吉
CHANGPING	昌平
CHE	徹
CHENG	丞
CHENGYI	成一
CHIAKI	千亜季
CHIBA	千葉
CHICHIBU	秩父
CHIDA	千田
CHIE	千恵
CHIEI	千栄
CHIEKI	智恵紀
CHIEKO	千恵子
CHIEMI	千恵巳
CHIEO	智栄夫
CHIERI	千恵理
CHIFUMI	千文
CHIGA	千賀
CHIGIRA	千明
CHIGIRI	契
CHIGUSA	千種
CHIHARA	千原
CHIHARU	千春
CHIHAYA	千早
CHIHIRO	千博
CHIHO	千帆
CHIHOKO	千峰子
CHIKA	千佳
CHIKADA	近田
CHIKAGE	千影
CHIKAHIRO	親弘
CHIKAI	誓
CHIKAKO	千佳子
CHIKAMATSU	近松
CHIKAMORI	近森
CHIKANORI	親徳
CHIKAO	千嘉夫
CHIKAOKA	近岡
CHIKARA	力
CHIKARAISHI	力石
CHIKASHI	睦
CHIKATAKE	親武
CHIKAYAMA	近山
CHIKAYO	千佳代
CHIKAYOSHI	親義
CHIKAYUKI	親之
CHIKAZAWA	近沢
CHIKU	千久
CHIKUGO	筑後
CHIKUHO	筑穂
CHIKUI	筑井
CHIKURA	千倉
CHIKUSA	千種
CHIKUSHI	筑紫
CHIKUSHINO	筑紫野
CHIMAKI	千真季
CHIMAKO	智満子
CHIMIKO	千美子
CHIMURA	千村
CHINAMI	千奈美
CHINATSU	千夏
CHINE	茅根
CHINEN	知念
CHINO	千野
CHINONE	茅根
CHIORI	千織
CHIRYU	知立
CHISA	千沙
CHISAKA	千坂
CHISAKO	千佐子
CHISAKU	千咲
CHISATO	千聖
CHISEKO	千勢子
CHISEN	千仙
CHISHIMA	千島
CHISHIO	千潮
CHITA	知多
CHITAE	智太恵
CHITOSE	千年
CHITOSHI	智稔
CHIWAKI	千脇
CHIYA	千也
CHIYAKO	千夜子
CHIYO	千世
CHIYODA	千代田
CHIYOE	千与江
CHIYOJI	千代治
CHIYOKA	千代芳
CHIYOKICHI	千代吉
CHIYOKO	千与子
CHIYOMATSU	千代松
CHIYOMI	千代三
CHIYONO	千代乃
CHIYOSHI	千佳
CHIYUI	千結
CHIYUKI	千幸
CHIZU	千寿
CHIZUE	千津絵
CHIZUKA	千鶴香
CHIZUKO	千壽子
CHIZURU	千尋
CHIZUYO	千寿代
CHOFU	調布
CHOGORO	潮五郎
CHOHEI	長平
CHOICHI	長一
CHOICHIRO	長一郎
CHOJI	兆治
CHOJIRO	長二郎
CHOKAI	鳥海
CHOKICHI	長吉
CHONAN	長南
CHONOSUKE	長之助
CHOSHI	銚子
CHOSHIRO	長四郎
CHOSUKE	長助
CHOTARO	長太郎
CHOZABURO	長三郎
CHOZO	長三
CHUANG	創
CHUGORI	中郡
CHUHEI	忠平
CHUICHI	忠一
CHUJI	忠司
CHUJIRO	忠次郎
CHUKICHI	忠吉
CHUN	淳
CHUNYI	淳一
CHUO	中央
CHUSAKU	忠作
CHUSHICHI	忠七
CHUTA	忠太
CHUTARO	忠太郎
CHUZO	忠三
CONG	聡
DA	大
DADE	大徳
DADONG	大東
DAGUI	大貴
DAHUI	大輝
DAI	台
DAIDOJI	大道寺
DAIGO	大吾
DAIGUJI	大宮司
DAIHACHI	大八
DAIHACHIRO	大八郎
DAIJI	大路
DAIJIRO	大二郎
DAIKI	大樹
DAIKICHI	大吉
DAIKOKU	大黒
DAIKUHARA	大工原
DAIMARU	大丸
DAIMON	大門
DAIRAKU	大楽
DAISABURO	大三郎
DAISAKU	大作
DAISUKE	大介
DAITARO	大太郎
DAITO	大東
DAITOKU	大徳
DAIWA	大和
DAIZO	大三
DAN	丹
DANKADOMATSU	旦門松
DANNO	団野
DATE	伊達
DAZAIFU	太宰府
DAZHI	達志
DE	徳
DEBUCHI	出渕
DEGAWA	出川
DEGUCHI	出口
DEI	出井
DEJIMA	出島
DEMIZU	出水
DEMURA	出村
DEN'ICHI	伝一
DENDA	伝田
DENHACHI	伝八
DENJI	伝二
DENJIRO	伝次郎
DENKICHI	伝吉
DENO	出野
DENSHIRO	伝四郎
DENSUKE	伝助
DENTARO	伝太郎
DENZABURO	伝三郎
DESAKI	出崎
DESHOU	徳寿
DEURA	出浦
DEUSHI	出牛
DEWA	出羽
DEYI	徳一
DEZHI	得志
DOBASHI	土橋
DOHI	土肥
DOI	土井
DOKE	道家
DOKI	土岐
DOMAE	堂前
DOMEKI	百目鬼
DOMON	土門
DOMOTO	堂本
DONGFANG	東方
DONGYU	東予
DONO	堂埜
DOPPO	独歩
DOSHIDA	土支田
DOZONO	堂園
EBANA	江花
EBARA	江原
EBASHI	江橋
EBATA	江幡
EBATO	江波戸
EBE	江部
EBETSU	江別
EBI	海老
EBIHARA	海老原
EBIKO	蛯子
EBINA	海老名
EBINE	海老根
EBINUMA	海老沼
EBISAWA	海老沢
EBISU	胡
EBISUYA	戎谷
EBUCHI	江淵
ECHIGO	越後
ECHIGOYA	越後谷
ECHIKO	江知子
ECHIZEN	越前
ECHIZEN'YA	越前谷
EDA	枝
EDAGAWA	枝川
EDAMATSU	枝松
EDAMURA	枝村
EDO	江渡
EDOGAWA	江戸川
EDOSAKI	江戸崎
EEICHI	詠一
EGAMI	江上
EGASHIRA	江頭
EGAWA	江川
EGI	江木
EGUCHI	江口
EGURO	江黒
EGUSA	江草
EHANA	江花
EHARA	榎原
EHASHI	江橋
EHATA	江畑
EHIME	愛媛
EHIRA	江平
EI	映
EIGO	瑛伍
EIHACHI	栄八
EIHACHIRO	英八郎
EIHIKO	栄彦
EIICHI	映一
EIICHIRO	栄一郎
EIJI	映二
EIJIRO	栄二郎
EIJU	永寿
EIKAWA	穎川
EIKI	栄喜
EIKICHI	栄吉
EIKO	映子
EIMI	詠美
EINOSUKE	栄之介
EISABURO	栄三郎
EISAKU	栄作
EISHI	英志
EISHIRO	英四郎
EISUKE	栄介
EITARO	栄太郎
EIZABURO	栄三郎
EIZO	栄三
EJIMA	江島
EJIRI	江尻
EKIE	益栄
EMA	恵麻
EMI	恵実
EMIKO	恵三子
EMIO	笑夫
EMORI	江守
EMOTO	柄本
EMU	絵夢
EMURA	江村
EN'ICHI	円一
EN'YA	円谷
ENA	恵奈
ENAKO	恵奈子
ENAMI	榎並
ENARI	江成
ENATSU	江夏
ENDA	遠田
ENDO	遠藤
ENIWA	恵庭
ENKICHI	円吉
ENOHARA	榎原
ENOKI	榎
ENOKIDA	榎田
ENOKIDO	榎戸
ENOKIYA	榎谷
ENOMOTO	榎本
ENZAN	塩山
ERA	江良
ERI	依理
ERIGUCHI	江里口
ERIHA	栄利波
ERIKA	恵利佳
ERIKAWA	江利川
ERIKO	恵利子
ERINA	恵利奈
ESAKA	江坂
ESAKI	江崎
ESASHI	江刺
ESUMI	江角
ETO	江藤
ETSUE	悦江
ETSUKAZU	悦一
ETSUKO	恵津子
ETSUMI	恵津美
ETSUNARI	悦成
ETSUO	悦夫
ETSURO	悦朗
ETSUYA	悦也
ETSUYO	悦代
ETSUZO	悦三
EZAKI	江崎
EZAWA	江沢
EZOE	江副
EZUMI	江角
EZURA	江連
EZURE	江連
FU	福
FUCHI	淵
FUCHIDA	淵田
FUCHIGAMI	淵上
FUCHINO	淵野
FUCHIUE	淵上
FUCHU	婦中
FUDEO	筆雄
FUEDA	笛田
FUEKI	笛木
FUJI	富士
FUJIBAYASHI	藤林
FUJIE	不二恵
FUJIEDA	藤枝
FUJIHARA	藤原
FUJIHASHI	藤橋
FUJIHIKO	不二彦
FUJIHIRA	藤平
FUJII	藤井
FUJIIDERA	藤井寺
FUJIIKE	藤池
FUJIKA	不二香
FUJIKAKE	藤掛
FUJIKAWA	藤川
FUJIKI	藤木
FUJIKO	不二子
FUJIKURA	藤倉
FUJIMA	藤間
FUJIMAKI	藤巻
FUJIMARU	藤丸
FUJIMATSU	藤松
FUJIMI	富士美
FUJIMORI	藤森
FUJIMOTO	藤元
FUJIMURA	藤村
FUJINAGA	藤永
FUJINAKA	藤中
FUJINAMI	藤波
FUJINAWA	藤縄
FUJINE	藤根
FUJINO	藤野
FUJINOMIYA	富士宮
FUJINUKI	藤貫
FUJINUMA	藤沼
FUJIO	不二夫
FUJIOKA	藤岡
FUJISAKA	藤坂
FUJISAKI	藤咲
FUJISATO	藤里
FUJISAWA	藤沢
FUJISE	藤瀬
FUJISHIMA	藤島
FUJISHIRO	藤代
FUJISHITA	藤下
FUJITA	藤田
FUJITANI	藤谷
FUJITO	藤戸
FUJITOMI	藤冨
FUJITSUKA	藤塚
FUJIU	藤生
FUJIURA	藤浦
FUJIWARA	冨士原
FUJIYA	冨士哉
FUJIYAMA	藤山
FUJIYO	不二世
FUJIYOSHI	藤吉
FUJIYOSHIDA	富士吉田
FUJIZUKA	藤塚
FUKABORI	深堀
FUKADA	深田
FUKAE	深江
FUKAGAWA	深川
FUKAI	深井
FUKAISHI	深石
FUKAMACHI	深町
FUKAMI	深海
FUKAMIZU	深水
FUKANO	深野
FUKAO	深尾
FUKASAKU	深作
FUKASE	深瀬
FUKASHI	洸
FUKATSU	深津
FUKAUMI	深海
FUKAURA	深浦
FUKAWA	布川
FUKAYA	深谷
FUKAYAMA	深山
FUKAZAWA	深沢
FUKIAGE	吹上
FUKIAI	葺合
FUKIKO	冨紀子
FUKINO	吹野
FUKITA	吹田
FUKO	風子
FUKU	福
FUKUCHI	福地
FUKUCHIYAMA	福知山
FUKUDA	福田
FUKUDOME	福留
FUKUDOMI	福富
FUKUE	福江
FUKUGAWA	福川
FUKUGI	福城
FUKUHARA	福原
FUKUHIRO	副弘
FUKUI	福井
FUKUICHI	福一
FUKUICHIRO	福一郎
FUKUISHI	福石
FUKUJI	福二
FUKUJIRO	福次郎
FUKUKE	福家
FUKUKO	福子
FUKUMA	福間
FUKUMARU	福丸
FUKUMATSU	福松
FUKUMI	富久美
FUKUMITSU	福光
FUKUMIZU	福水
FUKUMORI	福森
FUKUMOTO	福元
FUKUMURA	福村
FUKUMURO	福室
FUKUNAGA	福永
FUKUNAKA	福中
FUKUNISHI	福西
FUKUNO	福野
FUKUO	二九雄
FUKUOKA	福岡
FUKURA	福浦
FUKUROI	袋井
FUKUSABURO	福三郎
FUKUSAKI	福崎
FUKUSHI	福士
FUKUSHIGE	福茂
FUKUSHIMA	福島
FUKUSHIRO	福四郎
FUKUSUKE	福助
FUKUTANI	福谷
FUKUTARO	福太郎
FUKUTOME	福留
FUKUTOMI	福富
FUKUYA	福家
FUKUYAMA	福山
FUKUYOSHI	福吉
FUKUZAWA	福沢
FUKUZO	福三
FUKUZUMI	福住
FUMI	冨実
FUMIAKI	史明
FUMIE	二三江
FUMIHARA	文原
FUMIHIDE	史英
FUMIHIKO	史彦
FUMIHIRO	史裕
FUMIHITO	文人
FUMIKA	史佳
FUMIKAZU	史一
FUMIKI	文樹
FUMIKIYO	文清
FUMIKO	二三子
FUMIMARU	文丸
FUMIMASA	文正
FUMIMOTO	文元
FUMINA	史奈
FUMINARI	文成
FUMINO	史乃
FUMINOBU	文信
FUMINORI	史紀
FUMIO	二三夫
FUMITAKA	文孝
FUMITAKE	文丈
FUMITERU	文昭
FUMITO	史人
FUMITOSHI	文俊
FUMIYA	史也
FUMIYAMA	文山
FUMIYASU	文康
FUMIYO	二三代
FUMIYOSHI	文好
FUMIYUKI	文之
FUMOTO	麓
FUNABA	船場
FUNABASHI	舟橋
FUNABIKI	船曳
FUNADA	舟田
FUNAGATA	舟形
FUNAI	船井
FUNAKA	府中
FUNAKI	舟木
FUNAKOSHI	舟越
FUNAKUBO	舟久保
FUNAKURA	船倉
FUNAMI	舟見
FUNAMIZU	船水
FUNAMOTO	舟本
FUNAOKA	船岡
FUNASAKA	船坂
FUNASAKI	船崎
FUNATO	船戸
FUNATOGAWA	船渡川
FUNATSU	舟津
FUNAYAMA	舟山
FUNEHIKI	船引
FURANO	富良野
FURIHATA	降旗
FURUBAYASHI	古林
FURUCHI	古内
FURUDACHI	古舘
FURUDONO	古殿
FURUE	古恵
FURUFUJI	古藤
FURUGORI	古郡
FURUGUCHI	古口
FURUHASHI	古橋
FURUHATA	古畑
FURUHIRA	古平
FURUI	古井
FURUICHI	古市
FURUIKE	古池
FURUKAWA	古川
FURUKI	古木
FURUKOSHI	古越
FURUKUBO	古久保
FURUMATA	古俣
FURUMI	古見
FURUMIYA	古宮
FURUMORI	古森
FURUMOTO	古本
FURUMURA	古村
FURUNO	古野
FURUSAWA	古沢
FURUSE	古瀬
FURUSEKI	古関
FURUSHIMA	古島
FURUTA	古田
FURUTATE	古館
FURUYA	古家
FURUYAMA	古山
FUSA	房
FUSAE	房恵
FUSAJI	房次
FUSAKAZU	房一
FUSAKICHI	房吉
FUSAKO	夫佐子
FUSAMASA	房勝
FUSAMI	房実
FUSAO	房夫
FUSAYO	房代
FUSE	布施
FUSEKI	伏木
FUSHIKI	伏木
FUSHIMI	伏見
FUSSA	福生
FUTABA	二葉
FUTAGAMI	二上
FUTAI	二井
FUTAKAMI	二上
FUTAKATA	二方
FUTAKAWA	二川
FUTAKI	二木
FUTAMI	二美
FUTAMURA	二村
FUTAO	二夫
FUTATSUGI	二木
FUTATSUGUCHI	二口
FUTATSUI	二井
FUTOSHI	大
FUTTSU	富津
FUWA	不破
FUYA	布谷
FUYUHIKO	冬彦
FUYUKA	冬佳
FUYUKI	冬樹
FUYUKO	冬子
FUYUMI	冬実
FUZHI	福治
GAKU	学
GAKUTA	額田
GAMAGORI	蒲郡
GAMO	蒲生
GANG	剛
GAO	高
GEN	元
GEN'ICHI	元一
GEN'ICHIRO	源一郎
GENBEI	源兵衛
GENG	耕
GENGA	源河
GENGO	源吾
GENGORO	源五郎
GENJI	源二
GENJIRO	源次郎
GENKAI	玄海
GENKI	源基
GENKICHI	源吉
GENMA	弦間
GENNOSUKE	源之助
GENPEI	源平
GENSAKU	元作
GENTARO	元太郎
GENZABURO	元三郎
GENZO	源三
GIFU	岐阜
GIICHI	儀一
GIN'ICHI	銀一
GINJI	銀二
GINJIRO	銀次郎
GINNOJO	銀之丞
GINNOSUKE	銀之助
GINOWAN	宜野湾
GINTARO	銀太郎
GINZABURO	銀三郎
GINZO	銀蔵
GISABURO	義三郎
GO	剛
GOBO	御坊
GODA	郷田
GOHARA	郷原
GOHEI	剛平
GOHONGI	五本木
GOI	五井
GOICHI	五一
GOJI	剛二
GOJIMA	五島
GOJO	五条
GOJOME	五城目
GOKA	五霞
GOKAMI	後上
GOKAN	後閑
GOKITA	五木田
GOMA	後間
GOMI	五味
GOMIFUCHI	五味淵
GOMIKAWA	五味川
GONDA	権田
GONDO	権藤
GONG	功
GONGPING	公平
GONJIRO	権次郎
GONKICHI	権吉
GONMORI	権守
GONNO	権野
GONO	郷野
GONOHE	五戸
GONOI	五野井
GONSUKE	権助
GORO	五郎
GOSE	御所
GOSEKI	後関
GOSEN	五泉
GOSHIMA	五島
GOSHOGAWARA	五所川原
GOSHORA	御所浦
GOTANDA	五反田
GOTARO	剛太郎
GOTENBA	御殿場
GOTO	五島
GOTODA	後藤田
GOTSU	合津
GOZO	剛三
GUANG	光
GUANGDE	光徳
GUANGHUI	光輝
GUANGPING	光平
GUANGYI	光一
GUANYI	貫一
GUI	圭
GUIWU	桂吾
GUIYI	桂一
GUIZHI	貴志
GUN'ICHI	軍一
GUNJI	軍司
GUNMA	群馬
GUNPEI	軍兵
GUNZO	軍造
GUOBAO	国保
GUOFU	国府
GUSHIKAWA	具志川
GUSHIKEN	具志堅
GYODA	行田
HABA	幅
HABARA	羽原
HABASHI	羽橋
HABATA	幅田
HABE	羽部
HABIKINO	羽曳野
HABU	土生
HABUCHI	羽渕
HABUKA	羽深
HACHIJO	八丈
HACHIMORI	八森
HACHINOHE	八戸
HACHIOJI	八王子
HACHIRO	八朗
HACHIROGATA	八郎潟
HACHIRYU	八竜
HACHISAKA	八坂
HACHISU	蜂巣
HACHISUKA	蜂須賀
HACHIYA	八谷
HADA	波田
HADANO	秦野
HAGA	羽賀
HAGI	萩
HAGIHARA	萩原
HAGIMORI	萩森
HAGIMOTO	萩元
HAGINOYA	萩野谷
HAGIO	萩尾
HAGITA	萩田
HAGITANI	萩谷
HAGIUDA	萩生田
HAGIWARA	萩原
HAGIYA	萩谷
HAGURO	羽黒
HAIBAO	海宝
HAIKO	羽衣子
HAINO	灰野
HAIPING	海平
HAISHI	羽石
HAIZHOU	海舟
HAJI	土師
HAJIKA	初鹿
HAJIME	一
HAJIMU	甫
HAKAMADA	袴田
HAKARU	恕
HAKATA	博多
HAKI	杷木
HAKII	波木井
HAKO	葉子
HAKODA	箱田
HAKODATE	函館
HAKOISHI	箱石
HAKOMORI	箱守
HAKONE	箱根
HAKOYAMA	箱山
HAKOZAKI	箱崎
HAKUI	羽咋
HAKUSHU	白州
HAMA	浜
HAMABE	浜辺
HAMACHI	浜地
HAMADA	浜田
HAMAGAMI	浜上
HAMAGUCHI	浜口
HAMAHATA	浜畑
HAMAI	浜井
HAMAIKE	浜池
HAMAKAWA	浜川
HAMAKITA	浜北
HAMAKO	浜子
HAMAMATSU	浜松
HAMAMOTO	浜本
HAMAMURA	浜村
HAMANA	浜名
HAMANAKA	浜中
HAMANISHI	浜西
HAMANO	浜野
HAMAO	浜尾
HAMAOKA	浜岡
HAMAOMOTE	浜表
HAMASAKI	浜崎
HAMASHIMA	浜島
HAMASUNA	浜砂
HAMATANI	浜谷
HAMATSU	浜津
HAMAUE	浜上
HAMAYA	浜谷
HAMAZAKI	浜崎
HAMOCHI	羽茂
HAMURA	羽村
HAN'YA	半谷
HANA	花
HANABATA	花畑
