aagaard	อาการ์ด
estella	เอสเทลล่า
etnyre	เอ็ตไนร์
eubanks	ยูแบงก์ส
eugene	ยูจีน
euston	ยูสตั้น
everard	เอเวอเริร์ด
everest	เอเวอเรสต์
exel	เอ็กเซิล
eynon	เอเนิ่น
fabrizio	ฟาบริซีโอ
fagin	เฟกิ้น
fahrenheit, gabriel	ฟาเรนไฮต์, กาบรีเอล
falco	แฟลโค้
fallon	แฟลเลิน
farin	ฟาริน
farkas	ฟาร์เคิส
farlan	ฟาร์เลิ่น
farney	ฟาร์นีย์
farthing	ฟาร์ทิง
favorite	เฟเวอริต
feldmann	เฟลด์เมินน์
femto	เฟมโต
fentress	เฟนทริส
fergus	เฟอร์กัส
ferrell	แฟร์ริล
fess	เฟส
fetus	ฟีตัส
fial	ไฟเอิล
fid	เอฟไอดี
fiero	ฟีโร
filipinos	ฟิลิปิโน
filson	ฟิลสัน
finish	ฟินิช
finlayson	ฟินลีย์สัน
firestone	ไฟร์สโตน
fitzwalter	ฟิตส์เวิลเตอร์
flake	เฟลก
flesh	เฟลช
folger	โฟลเจอร์
folley	ฟอลลีย์
footnote	ฟุตโน้ต
foraminifera	ฟอรามินิเฟอรา
form	ฟอร์ม
foxcroft	ฟ็อกส์ครอฟต์
franciscan	ฟรานซิสกัน
franklyn	แฟรงคลิน
franzen	แฟรนเซิ่น
freeze	ฟรีซ
friend	เฟรนด์
fryer	ไฟรเออร์
fubini	ฟิวบีนี่
fulcher	ฟุลเชอร์
fuld	ฟุลด์
fullilove	ฟูลลิลลัฟ
functor	ฟังก์เตอร์
fund	ฟันด์
funke	ฟังก์
funnell	ฟันเนิล
fusite	ฟิวไซต์
galaty	กัลเลอตี้
gales	เกลส์
gambia	แกมเบีย
gamer	เกมเมอร์
gammal	แกมมัล
gammon	แกมเมิ่น
gandy	แกนดี้
garand	แกเริ่นด์
garn	การ์น
garrard	แกร์เริร์ด
garvagh	การ์เวิก
gas	ก๊าซ
geertz	เกียร์ตส
geest	กีสต์
geiger	ไกเกอร์
geisler	ไกสเลอร์
gentry	เจนทรี่ย์
gents	เจนตส์
gerschler	เกอร์ชเลอร์
gibraltar	ยิบรอลตาร์
gillum	กิเลิ่ม
glenard	เกลเนิร์ด
glencairn	เกลนเคเอิร์น
glenway	เกลนเวย์
gloria	กลอเรีย
goddard, robert h.	กอดดาร์ด, รอเบิร์ต เอช.
goldberger	โกลด์เบอร์เกอร์
goldsborough	โกลด์สเบอโร
goldstein	โกลด์สไตน์
goldwater	โกลด์วอเตอร์
gomme	กอม
goodhue	กู๊ดฮิ๊ว
goodrich	กู๊ดริช
gordis	กอร์ดิส
gorilla	กอริลลา
gosho	กอโช
gosnell	กอสเนิล
gouge	เกาจ์
grand duchess	แกรนด์ดัชเชส
grande	แกรนด์
grapefruit	เกรปฟรุต
greco, el	เกรโก, เอล
greenburg	กรีนเบิร์ก
greenfield	กรีนฟิลด์
greenhouse	กรีนเฮาส์
greenleaf	กรีนลิฟ
greenlee	กรีนลี่
greenup	กรีนนัป
greig	กริ๊ก
greiner	ไกรเนอร์
gren	เกรน
grenfell	เกรนเฟลล์
greulich	กรอยลิก
gribbin	กริ๊บบิ้น
grimmett	กริมมิต
grooms, red	กรูมส์, เรด
groth	กรอท
guarini	การีนี่
guay	เกย์
guertin	แกร์ติน
guillen	กิลเลิน
guin	กิน
gull	กัลล์
gumbel	กัมเบิล
guru	กูรู
gwendoline	เกวนโดลิน
gypsy	จิ๊บซี่
habib	เฮิบบิบ
habob	ฮาบูบ
hagar	เฮการ์
hagg	แฮ็ก
haldeman	ฮัลดิแมน
halide	แฮไลด์
hallen	ฮอลเลิน
haller	ฮอลเลอร์
halsted	แฮลสติด
hamo	ฮาโม
handford	แฮนด์เฟิร์ด
hanger	แฮงเงอร์
hannigan	แฮนนีเกิ้น
hans	ฮันส์
hapke	เฮปคี่
harbison	ฮาร์บิเซิน
hardinge	ฮาร์ดินจ์
harrie	แฮรรี่
harrold	แฮร์เริลด์
hashing	แฮชชิง
haskel	แฮสเคิล
havlicek	ฮาฟลีเช็ก
heber	ฮีเบอร์
hedges	เฮดเจส
heidegger, martin	ไฮเดกเกอร์, มาร์ทีน
heinberg	ไฮน์เบิร์ก
heising	ไฮซิง
hello	เฮลโล
hempel, frieda	เฮมเพล, ฟรีดา
hench	เฮนช์
hender	เฮนเดอร์
henkel	เฮ็งเคิล
henkin	เฮงคิ้น
henry, thierry	อองรี, ทีเยรี
herberger	เฮอร์เบอร์เกอร์
herron	แฮร์เริ่น
heyde	เฮด
hickam	ฮิกเคิ่ม
high tech	ไฮเทค
hinshaw	ฮินชอ
hocking	ฮ็อกคิ่ง
hoefer	โฮเฟอร์
hogarth, burne	โฮการ์ท, เบิร์น
holcroft	โฮลครอฟต์
hollingworth	ฮอลลิงก์เวิร์ท
hollister	ฮอลลิสเตอร์
holman	ฮอลเมิน
holty, carl robert	ฮอลที, คาร์ล โรแบร์ต
homolytic	ฮอมอลิติก
honora	ออนอร่า
hopkin	ฮ็อปคิ้น
hosch	ฮอช
houdek	เฮาดิก
howerton	ฮาวเออร์ตัน
howes	ฮาวส์
humbert	ฮัมเบิร์ต
humvee	ฮัมวี
huntington	ฮันติงเติ้น
hurry	เฮอร์รี่ย์
huson	ฮูสัน
husserl, edmund	ฮุลเซิร์ล, เอดมุนด์
hutto	ฮูตโต้
hutty	ฮัตตี้
hydrocarbon	ไฮโดรคาร์บอน
hydrofoil	ไฮโดรฟอยล์
hydrogen peroxide	ไฮโดรเจนเปอร์ออกไซด์
hygroscope	ไฮโกรสโคป
hyman	ไฮเมิน
hythergraph	ไฮเทอร์กราฟ
i.b.n.r.	ไอบีเอ็นอาร์
igoe	อีโก
iles	ไอล์ส
illig	อีลิก
indoe	อินโด
influent	อินฟลูเอนต์
investment	อินเวสต์เมนต์
ionic	อิออนิก
ipsen	อิปเซิ่น
iselin	อีซีลิน
isotropic	ไอโซทรอปิก
jackman	แจ็กเมิน
jagger	แจ็กเกอร์
jeanette	จีนเน็ตต์
jin	จิน
jingle	จิงเกิล
joanne	โจแอน
johann	โยฮันน์
johnnie	จอห์นนี่
jones, quincy	โจนส์, ควินซี
judge, mike	จัดจ์, ไมก์
kalmer	คาลเมอร์
kames	เคมส์
kashmir	แคชเมียร์
kask	แค็สก์
keely	คีลี่
kegan	เคเกิ้น
keith	คีท
kellaway	เคลเลอเวย์
kelly	เคลลี
kelsey	เคลซี่ย์
kemble	เคมเบิ้ล
kempster	เคมป์สเตอร์
kennedy, robert f.	เคนเนดี, รอเบิร์ต เอฟ.
keough	คีโอ้
kessel	เคสเซิล
kidwell	คิดเวล
kienast	คิเนิสต์
kieran	คีเริน
kilo	กิโล
kimberlite	คิมเบอร์ไลต์
kimbrough	คิมบราว
kincaid	คินเคด
kinghorn	คิงเฮิร์น
kingsford	คิงส์เฟิร์ด
kinshasa	กินชาซา
kirke	เคิร์ก
knebel	เนบเบิล
knotts	น็อตส์
kogan	โคเกิ้น
korgen	คอร์เกิ่น
kotzebue	โคตส์บิวเอ
kowalski	คาวัลสกี้
kugler	คูเกอเลอร์
kunth	คันท์
la paz	ลาปาซ
labradorite	แลบราโดไรต์
lachrymator	แลครีเมเตอร์
ladds	แลดส์
laing	ไลง์
lamberth	แลมเบิร์ท
landrigan	แลนดรีเกิน
lang	แลง
langland	แลงแลนด์
lant	แลนต์
lapis lazuli	ลาพิสลาซูลี
lastayo	ลัสตาโย่
lateef	แลทีฟ
latosols	แลโทซอลส์
laubach	เลาบัค
lautner	โลตเนอร์
lawson	ลอว์สัน
lean	ลีน
leander	ลีนเดอร์
leatherman	เลเทอร์เมิ่น
leffler	เลฟเฟลอร์
leiper	ลีเพอร์
lesch	เลช
lessard	เลสเซิร์ด
leti	เลตี
liam	ลีอัม
ligget	ลิกิต
lilac	ไลแล็ก
lindeberg	ลินด์เบิร์ก
ling	ลิง
linseed	ลินสีด
lipid	ลิปิด
littler	ลิตเทิลเลอร์
liverpool	ลิเวอร์พูล
loch	ล็อก
lockhart	ล็อกฮาร์ต
lofthouse	ลอฟต์เฮาส์
logsdon	ล็อกสเดิ้น
loring	ลอริ่ง
lorne	ลอร์น
lory	ลอรี่
losey	ลอซี่
louch	เลาช์
lowe	โลวี่
lox	ล็อกซ์
lucerne	ลูเซิร์น
lukes	ลุกส์
luxemburg	ลักเซมเบอร์ก
lyly	ลิลี
lynd	ลินด์
maas	มาส
mabie	แมบี
maccallum	เมิ่กแคลเลิ่ม
mach	มัค
mackillop	แม็กคีเลิป
maddux	แมดเดิกส์
magill	แมกิล
malone, karl	มาโลน, คาร์ล
mangle	แมงเกิล
manser	แมนเซอร์
marivau	มารีโว
marten	มาร์เติ้น
marzipan	มาร์ซิแพน
mason	เมสัน
masson	แมสเซิ่น
maston	แมสเติ้น
mattin	แมตติ้น
mccabe	เมิกเคบ
mcclean	เมิกคลีน
mccurry, michael	แม็กเคอร์รี, ไมเคิล
mcdonagh	เมิกดอน่า
mcdonough	เมิกโดโน่
mcfall	เมิกฟอล
mcinnes	เมิกกินเนิส
mckeever	เมิกคีเวอร์
mcnabb	เมิ่กแน็บ
mcnaught	เมิกน็อต
mcshane	เมิ่กเชน
mcveigh	เมิกเวจ์
medhurst	เมกเฮิร์สต
medill	เมดิล
megalith	เมกะลิท
mejid	เมจิด
menger	เมนเจอร์
mensel	เมนเซิล
mermelstein	เมอร์มัลสไตน์
michael	มิคาเอล
mickelson	มิเคิลสัน
middlebush	มิดเดิลลีบุ๊ช
mifflin	มิฟฟลิน
mihan	มีเฮิน
mildred	มิลเดรด
millner	มิลเนอร์
mindal	มินเดล
mindel	มินเดล
mister	มิสเตอร์
modin	โมดิน
moleon	เมอลีเอิน
moloney	เมอโลนีย์
monica	มอนิกา
monoploid	มอโนพลอยด์
moorer	มุเรอร์
mork	มอร์ก
moroni	โมโรนี
morphia	มอร์เฟีย
mostow	มอสเทา
mudd	มัด
mueller	มิวเลอร์
mulford	มัลเฟิร์ด
mundy	มันดี้
mungo	มังโก้
murrin	มอร์ริน
murtha	เมอร์เทอ
mussen	มัสเซิ่น
myrian	ไมเรี่ยน
nadene	นาเดนี
nasturtium	นัสเตอร์เที่ยม
natty	แน็ตตี้
navigator	เนวิเกเตอร์
nee	นี
nero	นีโร
nevens	เนเวิ่นส์
new ireland	นิวไอร์แลนด์
new zealand	นิวซีแลนด์
newlands	นูแลนด์ส
newnes	นูนส์
nicholas	นิโคลัส
nickerson	นิเคอร์สัน
nicolini	นิโคลีนี่
nierenberg	นีเรินเบิร์ก
nitrogenous	ไนโตรจินัส
nor	นอร์
nordhaus	นอร์ดเฮาส์
nordstrom	นอร์ดสเตริม
nusselt	นัสเซลต์
oahu	โออาฮู
oakes	โอกส์
odaniel	ออเดอนิล
offshore class	ออฟชอร์คลาส
ogallala	โอกัลลาลา
ogilvy	โอเกิลวี่
ogive	โอกีฟ
ojha	ออฮา
oldford	โอลด์เฟิร์ด
oligoclase	โอลิโกเคลส
olyphant	โอลีเฟินต์
omahoney	อาเมอฮันนี่
omega	โอเมกา
opera	โอเปรา
orange	ออร์เรนจ์
oren	ออเริ่น
organ	ออร์เกิน
orkney	ออร์กนี
otter	อ็อตเตอร์
ouchi	เอาชี่
our	โอยูอาร์
ouseley	อาวซีลี่
outsider	เอาต์ไซเดอร์
overly	โอเวอร์ลี่
palmer	พาลเมอร์
panton	แพนเติ้น
parabola	พาราโบลา
paracetamol	พาราเซตามอล
parkes	พาร์กส
parshall flume	พาร์แชลล์ฟลูม
password	พาสเวิร์ด
pauker	พอเคอร์
peck	เพ็ก
pendergast	เพนเดอร์แกสต์
pentz	เพนต์ส
percentile	เปอร์เซ็นไทล์
perdiem	เปอร์เดียม
peterloo	ปีเตอร์ลู
peterman	พีเตอร์เมิน
petewilson	เพอทูอิลสัน
petroglyph	เปโตรกลีฟ
petunia	พิทูเนีย
pfeffer	เฟฟเฟอร์
phoebus	ฟีเบิส
picard	พิคาร์ด
picnic	ปิกนิก
pinay	พีเนอร์
pita	ปิตา
pitta	ปิตตา
plath, sylvia	แพลท, ซิลเวีย
plotter	พล็อตเตอร์
plumb	พลัมบ์
plyometrics	พลัยโอเมตริก
pocket money	พ็อกเกตมันนี
pollock, jackson	พอลล็อก, แจ็กสัน
polystyrene	โพลีสไตรีน
pope	โป๊ป
portal	พอร์ตัล
possible	พอสซิเบิล
post-paid	โพสต์เพด
potassium carbonate	โพแทสเซียมคาร์บอเนต
powerscourt	พาวเอิร์สคอร์ต
premiere	พรีเมียร์
pressman	เพรสเมิน
priestley	พริสต์ลีย์
princeton	พรินซ์ตัน
prindle	พรินเดิล
project	โพรเจกต์
prothero	พราเทอโร
protheroe	พราเทอโร
protoactinium	โพรโทแอกทิเนียม
prynne	พรินน์
punnett	พันเนตต์
puppy	พัปปี
puszta	ปุสตา
pyrrhotite	พิร์โรไทต์
rabon	ราบอน
radich	ราดิช
rahn	แรห์น
rainsford	เรนส์เฟิร์ด
rambach	แรมบัก
ramo	เรโม
reade	เรด
red salmon	เรดแซมมอน
regina	เรยิน่า
regula	เร็กกูล่า
renaud	รีโนด์
renoir, pierre-auguste	เรอนัวร์, ปีแยร์-โอกูสต์
reuther	รอยเทอร์
reyes	ไรส์
riebeckite	รีเบกไกต์
rieff	ริฟ
rinse	รินส์
rios	รีโอส
rives	รีฟส์
riyal	ริยัล
roach	โรช
robles	โรเบิลส์
rodin, auguste	โรแดง, โอกูสต์
rolf	โรล์ฟ
roller	โรลเลอร์
romanis	โรเมอนิส
rousseau, jean-jacques	รูโซ, ชอง-ชาก
rozman	ร็อสเมิน
ruediger	รูดีเกอร์
rugeley	รูกีลีย์
runciman	รันเซอเมิ่น
rupert	รูเพิร์ต
rusher	รัชเชอร์
russell, bill	รัสเซลล์, บิลล์
sabini	เซอบีนี่
saccharine	แซ็กคาริน
salas, marcelo	ซาลัส, มาร์เซโล
salesbury	เซลส์แบรี่
salinometer	ซาลิโนมิเตอร์
saller	ซอลเลอร์
sar	ซาร์
sarekat	ซาเรกัต
sarg	ซาร์ก
sarnoff	ซาร์นอฟ
sauer	เซาเออร์
sbr	เอสบีอาร์
scala	สกาล่า
scales	สเกลส์
schmidt	ชมิดต์
schnurr	ชเนอร์
schriever	ชรีเวอร์
schuldiner	ชอลดีเนอร์
schulhof	ชูลฮอฟ
schwartz	ชวอตส์
schwerdt	ชเวิร์ต
schwind	ชวินด์
screen	สกรีน
scrimshaw	สกีมชอ
seafood	ซีฟูด
sealey	ซีลีย์
sebon	เซบอน
second hand	เซกันด์แฮนด์
sedgwick	เซจวิก
select	ซีเลกต์
seligman	เซลิกเมิ่น
selina	ซาลีน่า
sellars	เซลเลิร์ส
seman	ซีเมิน
sena	เซน่า
sendall	เซนเดิล
serir	เซเรียร์
sheila	ชีลา
sherbrooke	เชอร์บรูก
shop	ชอป
shorts	ชอร์ตส
shriner	ไชรเนอร์
shrum	ชรัม
sieg	ซิก
siegfried	ซิกฟรีด
sikorsky	ซีคอร์สกี้
silberman	ซิลเบอร์เมิน
siphnos	ซิฟนอส
sisk	ซิสก์
site	ไซต์
sjogren	โชเกริ้น
skole	สโกล
sleeman	สลีเมิ่น
slice	สไลซ์
slocum	สโลเคิ่ม
slovene	สโลวีน
sobel	โซเบิล
sodium sulphate	โซเดียมซัลเฟต
soembawa	ซุมบาวา
software	ซอฟต์แวร์
somers	ซัมเมอร์ส
sound effect	ซาวนด์เอฟเฟกต์
sound lab	ซาวนด์แล็บ
spare rib	สแปร์ริบ
stack	สแต็ก
stackpole	สแต็กโพล
stallman	สต็อลเมิ่น
stanton	สแตนเติ้น
stark	สตาร์ก
starkweather	สตาร์กเวเทอร์
steene	สตีน
steininger	สไตน์นิ่งเออร์
steinman	สไตน์มั้น
stenzel	สเตนเซิล
stoddard	สต็อดเดิร์ด
stonehouse	สโตนเฮาส์
strangeway	สเตนจ์เวย์
streeter	สตรีเตอร์
strindberg	สตรินด์เบิร์ก
stroh	สโตร
strophe	สโตรฟี
stylist	สไตลิสต์
subic	ซูบิก
suits	ซูตส์
susceptance	ซัสเซปแทนซ์
sutherland	ซัทเทอร์แลนด์
table	เทเบิล
tagore, rabindranath	ตะกอร์, ระพินทรนาถ
taipei	ไทเป
tanzania	แทนซาเนีย
tavish	เทอร์วิช
taylor	เทย์เลอร์
tennille	เทนนิล
terai	เตราย
tesh	เทช
text	เทกซ์
thailand	ไทยแลนด์
thain	เทน
thelen	เทเลิ่น
theory	ทีออรี
thinner	ทินเนอร์
tichenor	ทิเคอเนอร์
tomboy	ทอมบอย
trainer	เทรนเนอร์
tricia	ทริเชีย
tune	จูน
uht	ยูเอชที
ulysses	ยูลิสซิส
umstead	อัมสเตด
ungerer	อังเงอเรอร์
unsinn	เอินซิน
vanderburgh	แวนเดอร์เบิร์ก
vandewater	แวนเดอวอเตอร์
vegetable	เวเจเทเบิล
vendavales	เวนดาวาลีส
vermont	เวอร์มอนต์
verrall	แวร์เริล
vets	เว็ตส์
vetter	เวเทอร์
vfa	วีเอฟเอ
wachtel	วอชเชิล
wain	เวน
wallace	วอลเลซ
warm	วอร์ม
wedgwood	เวจวูด
welldon	เวลเดิน
wende	เวนด์
weng	เวง
weyburn	เวย์เบิร์น
weyer	เวเยอร์
whelton	เวลเติ้น
whitefield	ไวต์ฟิลด์
whiteside	ไวต์ไซด์
whitt	วิตต์
wickham	วิกเคิ่ม
wiggins	วิกกิ้นส์
wigginton	วิกกินเติ้น
wigglesworth	วิกเกิลส์เวิร์ท
wilkins	วิลกินส์
wilmer	วิลเมอร์
winton	วินเติ้น
wirt	เวต
wobber	วอบเบอร์
woodhill	วูดฮิล
woodside	วูดไซด์
woolnough	วุลนอฟ
wurf	เวิร์ฟ
wyland	ไวเลิ่นด์
xrays	เอกซเรย์
yaounde	ยาอุนเด
yuppy	ยัปปี้
zelle	เซล
zinner	ซีเนอร์
zip code	ซิปโคด
zito	ซีโต้
