a bomb	เอบอมบ์
adelmann	แอเดิลเมิ่น
aden	เอเดน
ader	เอเดอร์
ades	เอดึส
adey	เอดี้
adger	แอดเจอร์
adi	เอดีไอ
adiabatic	อะเดียแบติก
adie	แอดี้
adin	เออดิน
adjust	แอดจัสต์
adkins	แอ็ดคินส์
adkinson	แอดคินสัน
adkisson	แอดคิสัน
adlai	อัดไล
adlam	อัดเลิ่ม
adler	แอ็ดเลอร์
adley	แอ็ดลีย์
admi	แอดมี่
admiralty	แอดมิรัลตี
admission	แอดมิชชั่น
adna	แอ็ดน่า
adobe	อะโดบี
adolf	อดอล์ฟ
adolph	เอดอล์ฟ
adolphe	แอดอลฟี่
adolphus	แอดอลเฟิส
adowa	อาโดวา
adp	เอดีพี
adren	เออเดอเริ่น
adrenalcortex	อะดรีนัลคอร์เทกซ์
adrenalin	อะดรีนาลิน
adret	อาแดร
adretto	อาเดรตโต
adrian	อาดรีอัน
adriana	เอดรีแอน่า
adrianna	ออดรีแอน่า
adrianople	เอเดรียโนเปิล
adriatic	เอเดรียติก
adrien	อาเดรียง
adrienne	อาเดรียน
adt	เอดีที
adularia	อะดูลาเรีย
advance	แอดวานซ์
advection	แอดเวกชัน
advisory	แอดไวซอรี
aebersold	แอเอเบอร์โซลด์
aegean	อีเจียน
aegirine	อีจิรีน
aegirite	อีจิไรต์
aero gramme	แอโรแกรม
aerobes	แอโรบส์
aerobic	แอโรบิก
aerobic bacteria	แอโรบิกแบคทีเรีย
aerobics	แอโรบิก
aerodynamic	แอโรไดนามิก
aerogram	แอโรแกรม
aerolite	แอโรไลต์
aeroplane	แอโรแพลน
aerosol	แอโรซอล
aerosphere	แอโรสเฟียร์
aesop	อีสป
afc	เอเอฟซี
afee	เอฟี่
affinity	แอฟฟินิที
affleck	แอฟฟลิก
afganistan	อัฟกานิสถาน
afghani	อัฟกานี
afghanistan	อัฟกานิสถาน
aflatoxin	อะฟลาทอกซิน
afra	เอฟรา
africa	แอฟริกา
african	อัฟริกัน
africanus	แอฟริกาเนิส
afro-asiatic	แอฟโรเอเชียติก
aft	แอฟต์
afta	อาฟตา
aftershave	อาฟเตอร์เชฟ
aftershock	อาฟเตอร์ช็อก
again	อเกน
agan	เอเกิ่น
agar	อะการ์
agar-agar	อะการ์-อะการ์
agard	แอเกิร์ด
agassi, andre	อากาสซี, อองเดร
agassiz	อะกัสซิส
agate	อะเกต
agatha	แอกาทา
agave	อะกาเว
agee	เอจี่
agency	เอเจนซี
agent	เอเจนต์
agey	เอจีย์
aggar	แอ็กเกอร์
aghkandware	อาก์คันด์แวร์
agins	เอกินส์
agis	แอเกิส
agnatha	แอกนาทา
agnes	อักเนส
agnew	แอกนิว
agnus	แอ็กเนิส
ago	อโก
agogo	อะโกโก
agonic	อะกอนิก
agostinelli	อาโกสติเนลี่
agostino	อากอสตีโน
agre	อเกอร์
agrest	เออเกรสต์
agricola	แอกรีโคล่า
agrihan	อากรีฮัน
agrippa	อกรีปป้า
agron	แอ็กรอน
ague	แอ็ก
agulhas	อะกัลแฮส
agy	อจี้
ahalt	ออฮอล์ต
ahearne	เออเฮิร์น
ahern	เออเฮิร์น
aherne	เออเฮน
ahl	ออล
ahlberg	แอลเบิร์ก
ahlem	ออเลิม
ahlers	อเลิร์ส
ahlgren	อัลเกรน
ahlquist	อัลควิสต์
aho	อาโฮ
ahr	อาร์
ahrens	อารินส์
ahti	อาตี้
ahu	เอเอชยู
ai	เอไอ
aidan	ไอดัน
aide memoir	เอดเมมมัวร์
aide-memoir	เอดเมมมัวร์
aids	เอดส์
aiello	ไอเอโล
aiguille	เอกีย์
aikin	ไอคิ้น
aikins	ไอคินส์
aikman	เอ็กเมิน
ailes	ไอล์ส
ailesbury	เอลิสแบรี่
ailsa	เออิลซ่า
aime	เอม
ain	เอน
aines	เอนส์
ainley	เอนลีย์
ainsley	เอนสลีย์
ainslie	เอนสลี่
ainsworth	เอนสเวิร์ท
air	แอร์
air bus	แอร์บัส
air condition	แอร์คอนดิชัน
air conditioning	แอร์คอนดิชันนิง
air hostess	แอร์โฮสเตส
air mail	แอร์เมล์
airbag	แอร์แบ๊ก
airbrush	แอร์บรัช
airbus	แอร์บัส
aircraft	แอร์คราฟต์
aird	แอร์ด
airedale	เอเรเดล
airey	เอรีย์
airis	เอริส
airlie	แอร์ลี่
airline	แอร์ไลน์
airport	แอร์พอร์ต
airport link	แอร์พอร์ตลิงก์
airy	เอรี่
aisley	ไอสลีย์
aitchison	เอชีสัน
aitken	ไอต์เคิน
aitoff	ไอทอฟฟ์
aiton	ไอโทน
aitre	เอทรี่
aiyar	ไออีอาร์
ajanta	อชันตา
ajax	เอแจ๊กส์
akbar	อักบาร์
akeley	เออคีลีย์
akenside	เอเคนไซด์
aker	แอเคอร์
akerman	แอเคอร์เมิ่น
akers	เอเคิร์ส
akin	อคิน
akins	อคินส์
akroyd	แอ็กรอยด์
akst	แอ็กสต์
al jazeera	อัลจาซีรา
al queida	อัลกออิดะ
al-sadat, anwar	อัลซาดัต, อันวาร์
alabama	แอละแบมา
alabandite	อะลาแบนไดต์
alabaster	อะลาบาสเตอร์
alabastron	อะลาบาสตรอน
alachlor	อะลาคลอร์
alagappa	แอเลอกาป้า
alain	แอเลน
alam	อแลม
alamo	แอละโม
alan	แอลัน
alar	อะลาร์
alarcon	เอิลลาร์คอน
alaric	แอลเลอริก
alas	อะลาส
alasdair	เอเลิสแดร์
alaska	อะแลสกา
alaskite	อะแลสไกต์
alastair	แอเลิสแตร์
alban	ออลเบิน
albanese	อัลบาเนซี
albania	แอลเบเนีย
albans	แอลแบนส์
albany	ออลบานี
albares	แอลแบรึส
albedo	แอลบีโด
albedometer	แอลบิโดมิเตอร์
albee	แอลบี
albemarle	แอลเบอมาเริล
alben	ออล์เบิน
alber	อัลเบอร์
alberic	แอลเบอริก
albers	ออลเบอร์ส
albers, josef	อัลเบอร์ส, โยเซฟ
albert	อัลเบิร์ต
albert bandura	อัลเบิร์ต แบนดูรา
alberta	แอลเบอร์ตา
albertan	แอลเบอร์ตัน
albertina	อัลเบอร์ตีน่า
albertine	แอลเบอร์ตีน
albertini, demetrio	อัลแบร์ตีนี, เดเมตรีโอ
alberts	แอลเบิร์ตส
albertson	แอลเบิร์ตสัน
albertus	แอลเบอร์เติส
alberty	เอิลเบอร์ตี้
albery	แอลเบอรี่
albin	แอลบีน
albion	แอลเบี่ยน
albite	แอลไบต์
albitie	แอลบิไทต์
albritton	แอลบริเติ้น
albro	แอลโบร
albu	แอลบู
album	อัลบัม
albuminoid	อัลบูมินอยด์
alcala	อัลคาล่า
alcan	แลแคน
alcatraz	อัลคาแทรซ
alch	แอล์ช
alcock	เอิลค็อก
alcohol	แอลกอฮอล์
alcoholism	แอลกอฮอลิซึม
alcorn	แอลเคิร์น
alcosol	แอลกอโซล
alcott	ออลคอตต์
alcrete	อัลครีต
alda	อัลด้า
aldan	อัลเดิ่น
alden	อัลเดิน
alder	ออลเดอร์
alderman	ออลเดอร์เมิน
alders	ออลเดิร์ส
alderson	ออลเดอร์สัน
alderton	ออลเดอร์เติ้น
aldington	ออลดิงตัน
aldis	อัลดิส
aldo	อัลโด้
aldous	ออลดัส
aldred	แอลเดิร์ด
aldrich	ออลดริช
aldridge	ออลดริจ
aldworth	อัลด์เวิร์ท
ale	เอล
alec	อะเล็ก
aleck	เออเล็ก
alejos	อัลเลอร์โยส
alene	อลีน
alers	เออเลิร์ส
aletha	ออเลอท่า
aleutian	อาลิวเชียน
aleutian low	อะลูเชียนโลว์
alex	อะเล็กซ์
alexa	อเล็กซา
alexander	อะเล็กซานเดอร์
alexanderson	แอเลิกแซนเดอร์สัน
alexandra	อะเล็กซานดรา
alexandria	อะเล็กซานเดรีย
alexandrian	อะเล็กซานเดรียน
alexandrina	แอเลิกแซนดรีน่า
alexandrine	อะเล็กซันดรีน
alexandrite	อะเล็กซานไดรต์
alexia	อเล็กเซีย
alexiou	แอเล็กซู
alexis	อเล็กซิส
alexopoulos	แอลิกซอเปอลิส
aley	เอลีย์
alf	แอล์ฟ
alfalfa	อัลฟัลฟา
alfano	อัลฟาโน่
alfatoxin	แอฟลาทอกซิน
alfieri	อัลฟีรี่
alfonse	แอลฟอนส์
alford	แอลเฟิร์ด
alfred	อัลเฟรด
algae	อัลจี
algal bloom	อัลกัลบลูม
algar	อัลการ์
alger	แอลเจอร์
algernon	อัลเจอร์นอน
algie	ออลกี่
algol	อัลกอล
algoma	แอลโกม่า
algoman	แอลโกมัน
algonkian	แอลกองเคียน
algonkin	อัลกอนกิน
ali	อาลี
ali, muhammad	อาลี, มุฮัมมัด
alice	อาลีซ
alicia	อลิเซีย
alick	เออลิก
alicyclic	แอลิไซคลิก
alidade	อะลิเดด
alien	เอเลียน
aling	เออลิ่ง
alinsky	เออลินสกี้
aliphatic	อะลิฟาทิก
aliphatic hydroxy acids	อะลิฟาทิกไฮดรอกซีแอซิด
aliquot	อะลิควอด
alison	แอลิสัน
alistair	แอลิสเทอร์
alister	แอลิสเทอร์
alix	แอลิกซ์
alkali	แอลคาไล
alkalic	แอลคาลิก
alkaline	อัลคาไลน์
alkaloid	อัลคาลอยด์
alkane	แอลเคน
alkene	แอลคีน
alkyl benzene sulfonate	แอลคิลเบนซีนซัลโฟเนด
alkyl sulfate	แอลคิลซัลเฟต
alkyne	แอลไคน์
allain	อเลน
allan	แอลลัน
allanite	แอลลาไนต์
allanson	เออเลินสัน
allantois	แอลแลนทอยส์
allard	แอลเลิร์ด
allaway	เอิลเลอเวย์
allchin	ออคิ้น
allee	เอิลลี่
allegheny	แอลเลเกนี
allele	แอลลีล
allelomorph	แอลลีลโลมอร์ฟ
allen	อัลเลน
allenby	แอลเลินบี้
allendale	แอเลินเดล
allendoerfer	แอลลินดูร์เฟอร์
aller	ออลเลอร์
allers	ออลเลิร์ส
allerton	แอลเลอร์เติ้น
alley	แอลลี่ย์
alleyne	แอเลน
allgaier	แอลไกเออร์
allgeier	แอลไกเออร์
allgood	ออลกู๊ด
allies	แอลไลส์
allin	เอิลลิน
alling	อลิง
allingham	ออลลิงแฮม
allinson	แอลลินสัน
allis	แอลลิส
allison	แอลลิสัน
alliston	แอลลิสต้อน
allman	ออลเมิน
allmand	ออลแมนด์
allo	แอลโล
allometric	อัลโลเมตริก
allophane	แอลโลเฟน
allot	เอิลลัต
allott	แอเอิต
allotype	แอลโลไทป์
alloway, lawrence	อัลโลเวย์, ลอว์เรนซ์
alloy	อัลลอย
allport	ออลพอร์ต
allsop	ออลซอป
allsopp	เอิลซอป
allston	ออลสเติ้น
allum	แอลเลิ่ม
allwood	ออลวูด
allworthy	ออลเวอร์ที่
allwright	ออไรต์
allyn	แอลลิน
allyson	แอลีสัน
alm	อัล์ม
alma	อัลมา
alma ata	อัลมาอาตา
alman	แอลเมิน
almandite	แอลมันไดต์
almanza	อัลมอนซา
almaric	อัลมาริก
almen	อัลเมน
almer	ออลเมอร์
almira	อัลมีร่า
almon	อัลเมิน
almond	อัลมอนด์
almus	แอลเมิส
almwind	อาล์มวินด์
almy	ออล์มี่
alnwick	แอลน์วิก
alois	อลอยส์
alonso	อะลอนโซ
alor	อะลอร์
alor star	อลอร์สตาร์
aloysia	อัลลอยเซีย
alp	แอลป์
alpass	แอลเพิส
alperin	แอลเปอริน
alpers	แอลเพิร์ส
alpert	แอลเพิร์ต
alpha	อัลฟา
alphand	แอลแฟนด์
alphonse	แอลฟอนส์
alphonso	แอลฟอนโซ่
alphonsus	แอลฟอนเซิส
alpin	อัลพิน
alpine	อัลไพน์
alport	แอลพอร์ต
alps	แอลป์
alsace	อัลซาซ
alsatian	อัลเซเชียน
alsdorf	แอลส์ดอร์ฟ
alsike clover	อัลไซค์โคลเวอร์
alsip	แอลซิป
alsop	แอลซอป
alston	ออลสเติ้น
alt	อัลต์
altaides	อัลไต
altamira	อัลตามีรา
altamont	ออลเตอเมิ่นต์
alten	ออลเทิ่น
alter	ออลเตอร์
alterman	ออลเตอร์เมิ่น
alternative	ออลเทอร์เนทิฟ
althaus	แอลเฮาส์
althouse	ออตเฮาส์
altimeter	แอลทิมิเตอร์
altiplano	อัลติปลาโน
altithermal	แอลติเทอร์มอล
altitude	แอลทิจูด
altman	ออล์ตเมิน
altmeyer	แอลต์ไมเออร์
alto	อัลโต
altobelli	อัลโตเบลี่
altocumulus	แอลโตคิวมูลัส
altocumulus castellatus	แอลโตคิวมูลัสแคสเตลลาตัส
alton	ออลตัน
altostratus	แอลโตสเตรตัส
altrincham	ออลทรินเชิ่ม
altschul	แอลเชิล
altshuler	แอลชิวเลอร์
altus	แอลเติส
alty	แอลตี้
alu	เอแอลยู
alum	อะลัม
alumina	อะลูมินา
aluminium	อะลูมิเนียม
aluminothermic	อะลูมิโนเทอร์มิก
aluminum	อลูมินัม
alun	เอเลิ้น
alunite	อะลูไนต์
alva	แอลวา
alvan	แอลเวิ้น
alvanley	แอลวันลีย์
alvarado	แอลเวอราโด้
alvarez	แอลเวอเรส
alven	แอลเวิ่น
alver	แอลเวอร์
alverstone	แอลเวอร์สโตน
alvey	แอลวีย์
alvin	แอลวิน
alvord	แอลวอร์ด
alwar	แอลวอร์
alward	แอลเวิร์ด
alway	แอลเวย์
alwin	แอลวิน
alwyn	แอลวิน
aly	เอลี
alzheimer	อัลไซเมอร์
amadis	ออแมดิส
amalgam	อะมัลกัม
amalia	อมาเลีย
aman	อเมิน
amanda	อแมนด้า
amann	แอเมิน
amara	อมาร่า
amarna	อะมาร์นา
amasa	แอมมาซ่า
amazing	อะเมซิง
amazon	แอมะซอน
amazonite	แอมะซอนไนต์
amazonstone	แอมะซอนสโตน
ambedkar	แอมเบดคาร์
amberg	แอมเบิร์ก
amberley	แอมเบอร์ลีย์
amberson	แอมเบอร์สัน
ambler	แอมเบลอร์
amblgonite	แอมบลิโกไนต์
amblygonite	แอมบลิโกไนต์
ambre	แอมเบอร์
ambridge	แอมบริดจ์
ambro	แอมโบร
ambrose	แอมบรอส
ambrosia	แอมโบรเซีย
ambrosio	แอทโบรซีโอ้
ambrosius	แอมเบรอซีเอิส
ameche	แอเมช
amelia	อเมอเลีย
amen	อาเมน
ament	แอมินต์
america	อเมริกา
america cup class	อเมริกาคัพคลาส
american	อเมริกัน
american football	อเมริกันฟุตบอล
american indian	อเมริกันอินเดียน
american ivy	อเมริกันไอวี่
american share	อเมริกันแชร์
americium	อะเมริเซียม
americus	เออเมริเคิส
amerman	แอเมอร์เมิ่น
amerson	แอเมอร์สัน
amery	แอมเมอรี่
ames	เอมส์
ameslan	แอมสลัน
amethyst	แอมิทิสต์
amey	เอมีย์
amherst	แอมเอิร์ส
amick	แอมิก
amidon	แอมีเดิ่น
amiel	แอมีเอิล
amies	เอมีส์
amin	อะมีน
amine	แอมีน
amino	อมิโน
amirantes	แอมิแรนต์
amis	เอมิส
amity	แอมิตี้
amman	อัมมัน
ammann	แอมเมิ่น
ammerman	แอมเมอร์เมิ่น
ammeter	แอมมิเตอร์
ammi	แอมมี่
ammonia	แอมโมเนีย
ammonia nitrogen	แอมโมเนียไนโตรเจน
ammonification	แอมโมนิฟิเคชัน
ammonite	แอมโมไนต์
ammonium	แอมโมเนียม
ammonium nitrate	แอมโมเนียมไนเตรต
ammonoid	แอมโมนอยด์
ammons	แอมเมิ่นส์
amniote	แอมนิโอต
amoeba	อมีบา
amor	แอเมอร์
amorgos	อะมอร์กอส
amorino	อะมอริโน
amoruso	แอเมอรูโซ่
amory	เอเมอรี่
amos	เอมอส
amosite	เอโมไซต์
amott	ออม็อต
ampere	แอมแปร์
ampere, andre-marie	อองแปร์, อองเดร-มารี
amperometric	แอมเปอโรเมตริก
amphetamine	แอมเฟตามีน
amphibole	แอมฟิโบล
amphibolite	แอมฟิโบไลต์
amphibrach	แอมฟิแบรก
amphidromic	แอมฟิโดรมิก
amphineuran	แอมฟินิวแรน
amphiprotic	แอมฟิโพรติก
amplifier	แอมปลิฟายเออร์
amplitude	แอมพลิจูด
amps	แอมปส์
ampthill	แอมป์ทิล
amram	แอมแรม
amsden	แอมส์เดิ้น
amster	แอมสเตอร์
amsterdam	อัมสเตอร์ดัม
amstutz	แอมสตัตส์
amter	แอมเตอร์
amundson	แอเมินด์สัน
amwell	แอมเวล
amy	เอมี
amyot	แอมีเอิต
anabolism	แอแนบอลิซึม
anacrusis	อะนาครูซิส
anaerobes	แอนแอโรบส์
anaerobic	แอนแอโรบิก
anaerobic bacteria	แอนแอโรบิกแบคทีเรีย
anaglyph	แอนะกลิฟ
anais	อะนาอิส
analcime	อะนาลไซม์
analcite	อะนาลไซต์
analemma	แอนะเลมมา
anally	แอนแนลลี่
analog	อะนาล็อก
analog computer	แอนะล็อกคอมพิวเตอร์
analogue	อะนาล็อก
anaphase	แอนาเฟส
anast	อันนาสต์
anastasia	อานัสตาเซีย
anatase	อะนาเทส
anatectite	แอนาเทกไทต์
anatexite	แอนาเทกไซต์
anatole	แอเนาโทล
anatomy	อะแนโทมี
anauxite	แอนอกไซต์
anaximander	อานักซีมันเดร์
ancaster	แอนแคสเตอร์
ancher	แอนเชอร์
anchor	แองเคอร์
anchorage	แองคอริจ
anchovy	แอนโชวี
and	แอนด์
andalusite	แอนดาลูไซต์
andaman	อันดามัน
andelman	แอนเดิลเมิ่น
ander	แอนเดอร์
anderes	แอนเดอเรส
andersen, hans christian	แอนเดอร์เซน, ฮันส์ คริสเตียน
anderson	แอนเดอร์สัน
anderson, sherwood	แอนเดอร์สัน, เชอร์วูด
andes	แอนดีส
andesine	แอนดีซีน
andesite	แอนดีไซต์
andisols	แอนดิซอลส์
andless	แอนด์ลีส
ando	แอนโด
andorra la vella	อันดอร์ราลาเวลลา
andover	แอนโดเวอร์
andrade	แอนเดรด
andradite	แอนดราไดต์
andras	ออนเดริส
andre	อองเดร
andre, carl	อองเดร, คาร์ล
andrea	แอนเดรีย
andreas	อันเดรส
andresen	แอนดรีเซิ่น
andress	อันเดรส
andretta	แอนเดรตต้า
andrew	แอนดรูว์
andrew w. halpin	แอนดรูว์ ดับเบิลยู. ฮัลพิน
andrewes	แอนดรูส
andrews	แอนดรูส์
andrews, julie	แอนดรูวส์, จูลี
andrey	อันเดรย์
androgen	แอนโดรเจน
andromeda	แอนโดรเมดา
andronicus	แอนโดรนิคัส
andros	อันดรอส
andrus	แอนเดริส
andry	แอนดรี้
andy	แอนดี
anemometer	อานีโมมิเตอร์
anemone fish	อนิโมนฟิช
aneroid	แอนิรอยด์
aneroidograph	บารอกราฟ
aneurin	เอินริน
anfinsen	แอนฟินเซิ่น
angas	แองเกิส
angel	เอนเจล
angela	อันเจลา
angeles	แอนเจิลลิส
angelica	แอนเจลิก้า
angelicus	แอนเจเลอเคิส
angelina	แอนเจิลลีน่า
angelis	แองเกอลิส
angelo	แอนเจโล
angelus	แอนเจอเลิส
anger	แองเกอร์
angers	แองเกอร์ส
angevine	เองกีไวน์
angie	แอนจี้
angier	แองจีเออร์
angioch	แอนจิออก
angle	แองเกิล
anglesey	แองเกิลซีย์
anglesie	แองเกิลซี
anglesite	แองกลีไซต์
angleton	แองเกิลเติ้น
anglican	แองกลิคัน
anglo	แองโกล
angola	อังโกลา
angrist	แองกริสต์
angstrom	อังสตรอม
angus	แองกัส
anharmonic	แอนฮาร์มอนิก
anholt	แอนโฮล์ต
anhydride	แอนไฮไดรด์
anhydrite	แอนไฮไดรต์
anice	แอเนิส
animation	แอนิเมชัน
anion	แอนไออน
anionotropy	แอนไอออนอทรอปี
anisotropic	แอนไอโซทรอปิก
anisotropy	แอนไอโซทรอปี
anita	อะนีตา
anka, paul	แองกา, พอล
ankara	อังการา
ankeny	เอิงคีนี่
ankerite	แองเคอไรต์
ankh	อังก์
anna	แอนนา
annabel	แอนนาเบล
annabella	แอนนาเบลลา
annabor	แอนนาร์เบอร์
annadale	แอนนาดัล
annandale	แอนนันเดล
annapolis	แอนแนโปลิส
annarbor	แอนนาร์เบอร์
anne	อาน
anneliese	แอนเนอลิส
annelise	แอนเนอลิส
annen	แอนเนิน
annesley	แอนสลีย์
annett	เอินเน็ต
annetta	แอนเน็ตต้า
annette	อันเนทเทอ
annie	แอนนี
annis	แอนิส
annon	เอินเนิ่น
anns	แอนส์
annunzio	เอินนันซีโอ้
anode	แอโนด
anomer	แอนอเมอร์
anonymous	แอนอนิมัส
anorthite	อะนอร์ไทต์
anorthoclase	อะนอร์โทเคลส
anorthosite	อะนอร์โทไซต์
anova	แอนโนวา
anoxic	แอน็อกซิก
ans	เอเอ็นเอส
ansel	เอินเซล
anselm	แอนเซลม์
anselmi	อันเซลมี่
anshen	แอนเชิ่น
ansi	แอนซี
ansley	แอนสลีย์
anson	แอนสัน
ansorge	อันซอร์จ
anspach	แอนสปาก
anstey	แอนสตีย์
anstruther	แอนสตรัตเทอร์
antananarivo	อันตานานาริโว
antar	แอนเทอร์
antarctic	แอนตาร์กติก
antarctic circle	แอนตาร์กติกเซอร์เคิล
antarctica	แอนตาร์กติกา
anter	แอนเตอร์
anthea	แอนเทีย
antheridium	แอนเทอริเดียม
anthony	แอนโทนี
anthophyllite	แอนโทฟิลไลต์
anthozoan	แอนโทโซแอน
anthracene	แอนทราซีน
anthracite	แอนทราไซต์
anthrax	แอนแทรกซ์
anthrax bacteria	แอนแทรกซ์แบคทีเรีย
anthropomorphic	แอนโทรโพมอร์ฟิก
anti	แอนติ
anti-electron	แอนติอิเล็กตรอน
anti-hero	แอนติฮีโร
antiauxin	แอนติออกซิน
antibiotic	แอนติไบโอติก
antibody	แอนติบอดี
anticlimax	แอนติไคลแมกซ์
anticodon	แอนติโคดอน
anticorona	แอนติโคโรนา
