aadikavi	आदिकवि
bushnell's museum	बुशनेल्स म्युज़ियम
cajon	कैजन
callum	कैलम
calum	कैलम
calvert	कैल्वर्ट
canaan presbyterian	कॉनान प्रेस्बिटेरिटन
cansaulim	कनसौलिम
capricorn	कैप्रीकॉर्न
carbon	कार्बन
carnegie medal	कार्नेग मेडल
cathy	कैथी
celestyn	सेलेस्टीन
central chronicle	सेंट्रल क्रॉन‍िकल
centurion	सेंचूरियन
cerium	सीरियम
chaitan	चैतन
chal chal re naujawan	चल चल रे नौजवान
chand ki duniya	चाँद की दुनिया
chandralekha	चंद्रलेखा
chanpatia	चनपटिया
chapada da diamantina	चापाडा डा डायमेंटिना
chastity	चेस्टिटी
chata	चाता
chattan singh	चट्‍टान सिंह
chesapeake	चेस्पेक
china medical technologies	चाइना मेडिकल टेक्नोलॉजिस
chinchli	चिंचली
chinchore	चिंचोरे
chindwada	छिन्दवाडा
chiraag	चिराग
chiraagh	चिराग़
chirkey	चिरकी
chitradurg	चित्रदुर्ग
chitrakoot	चित्रकूट
chitrasani	चित्रसानी
chittapur	चित्तपुर
chittaswarup	चित्तस्वरूप
chris kuggeleijn	क्रिस कगलेजिन
chyna	चायना
cira	सीरा
claral	क्लैरल
claude henderson	क्लॉड हेंडरसन
cleavon	क्लीवन
clementine	क्लेमेंटाइन
clive	क्लाइव
cobh heritage center	कोब हेर‍िटेज सेंटर
cofco	कोफ़्को
coimbatore	कोयम्बटूर
coimbatore junction	कोइम्बटूर जंक्शन
colong	कोलाँग
color	कलर
columbia river	कोलंबिया रिवर
commerzbank	कॉमर्ज़बैंक
common bete	कॉमन बेटे
commonwealth	कॉमनवेल्थ
conte verde	कॉन्टे वर्डे
copernicus	कॉपरनिकस
corbett	कॉर्बेट
cordoba	कॉरडोबा
corgi	कॉर्गी
cottle	कॉटल
coyle	कॉयल
creative technology	क्रिएटिव टेक्नोलॉजी
cronos group	क्रॉनोस ग्रुप
crownhill fort	क्राउनहिल फोर्ट
cullen	कुलेन
cumbres	कंब्रेस
curtis	कर्टिस
dabtara	दबतारा
dadahur	ददाहूर
dakar	डाकर
dale	देल
damia	डेमिया
danton	डेंटन
darbar	दरबार
darbhanga junction	दरभंगा जंक्शन
darrin	डैरिन
daryapur	दरियापुर
dasuha	दसूहा
david joseph	डेविड जोसफ
davidson	डेविडसन
dawi	दवी
dayaanand	दयानंद
deedar	दीदार
deepa	दीपा
deepak fert	दीपक फ़र्ट
deepanshu	दीपांशु
deepit	दीपित
delta	डेल्टा
derek pringle	डेरेक प्रिंगल
derek stirling	डेरेक स्टरलिंग
detective	डिटेक्टिव
deven_dr	देवेन्द्र
devinder	देविंदर
devraj	देवराज
dhanbad	धनबाद
dhandari kalan	धनदरी कलां
dhandhera	धंधेरा
dharam aur kanoon	धरम और कानून
dharampuri	धरमपुरी
dharmanagar	धर्मनगर
dharmavaram junction	धर्मवरम जंक्शन
dhaulpur	धौलपुर
dheemant	धीमंत
dheerendra	धीरेंद्र
dhodhar	ढ़ोधर
dholak	ढोलक
dhoop chhaon	धूप छाँव
diane	डाएन
diella	डिएला
dinesh karthik	दिनेश कार्तिक
diqrah	डिकराह
disabled sailing	डिसऐबल्ड सेलिंग
divarath	दिवारथ
divorce	डाइवोर्स
divyendu	दिव्येंदु
diwana	दीवाना
do bachche dus haath	दो बच्चे दस हाथ
do kaliyan	दो कलियाँ
do mastane	दो मस्ताने
dobry	डॉबरी
dominy	डोमिनी
don anurasiri	डॉन अनुरसीरी
donakonda	डोनाकोंडा
doosri dulhan	दूसरी दुल्हन
dore	डोर
dorie	डोरी
dorothy canfield fisher children's book award	डोरोथी कैनफील्ड फिशर चिल्ड्रन बुक अवार्ड
dover turret fort	डॉवर टर्रेट फोर्ट
doyel	दोयल
dudley	डुडली
duncan fletcher	डंकन फ्लेचर
dundun	डुनडुन
duniya gol hai	दुनिया गोल है
durgapura	दुर्गापुरा
dwarkaganj	द्वारकागंज
dyan	डायएन
echo german music award	इको जर्मन म्युज़िक अवार्ड
ecrins	इकरीन्स
ecuador	इक्वाडोर
edie	एडी
edith	एडिथ
effie awards	एफी अवार्ड्‍स
ehren	एहरेन
ek hasina do diwane	एक हसीना दो दीवाने
ek main aur ek tu	एक मैं और एक तू
ek nai paheli	एक नई पहेली
ek saal	एक साल
ekalinga	एकलिंग
elgin	एल्गिन
elisa	एलिसा
elizabeth clair prophet	एलीज़ाबेथ क्लेयर प्रोफ़ेट
ellenabad	इलेनाबाद
emarat	इमरात
emmly	एमली
eros	ईरोज़
errol stewart	एरॉल स्टीवर्ट
ervin	इर्विन
erzherzog karl	अर्ज़रज़ोग कार्ल
eskalis	ऐसकाइलस
ester ind	एस्टर इंडस्ट्रीज़
eta	एटा
eyre	येरी
fadeelah	फदीलाह
fadilah	फदिलाह
fahim	फहीम
fanish	फणीश
faryadi	फरियादी
fatehpur sekhawati	फतेहपुर सेखावटी
fats domino	फ़ेट्स डोमिनो
faye	फे
fia	फिया
fiorella	फियोरेला
firdausi	फ़िरदौसी
florida	फ्लोरिडा
flourochem	फ़्लोरोकेम
football	फुटबॉल
forint	फ़ोरिंट
fort belan	फोर्ट बेलन
fort bij vuren	फोर्ट बिज व्युरेन
fort bragg	फोर्ट ब्रैग
fort carroll	फोर्ट कैरॉल
fort cartwright	फोर्ट कार्टराइट
fort clatsop	फोर्ट क्लैटसॉप
fort de joux	फोर्ट डे जॉक्स
fort howe	फोर्ट हॉवे
fort mcandrew	फोर्ट मैकएण्ड्रयू
fort mott	फोर्ट मॉट
fort snelling	फोर्ट स्नेलिंग
fort townsend	फोर्ट टाउनसेंड
fort zeelandia	फोर्ट ज़ीलैंडिया
franc	फ़्रैंक
francis	फ्रांसिस
gadagad	गदगद
gaidhani	गायधनी
gajasya	गजस्या
ganga mang rahi balidan	गंगा माँग रही बलिदान
ganga tera pani amrit	गंगा तेरा पानी अमृत
gangrar	गंग़्रार
gansevoort	गेन्सवूर्ट
gareth breese	गैरेथ ब्रीस
garrafon	गरफॉन
garret	गैरेट
gaura	गौरा
gauriyamau	गौरियामाउ
gehra zakhm	गहरा ज़ख्म
geoff arnold	जिऑफ आरनॉल्ड
geoff cook	जिऑफ कुक
geoff dymock	जिऑफ डायमॉक
george lucas	जॉर्ज लुकास
george weston	जॉर्ज वेस्टन
geraint jones	गेरैंट जोंस
ghar ka chirag	घर का चिराग
gharu	घारू
ghungroo ki awaz	घुँघरू की आवाज़
gibbs brothers medal	गिब्स ब्रदर मेडल
gidarpindi	गिडरपिंडी
gillette india	जिलेट इंडिया
girilal	गिरिलाल
girish	गिरीश
glass	ग्लास
glen	ग्लेन
glenn turner	ग्लेन टर्नर
gloriann	ग्लोरियन
gola gokaranath	गोला गोकरनाथ
golconda	गोलकोंडा
gold	गोल्ड
golmaal	गोलमाल
gomer	गोमर
goodwin	गुडविन
gopal sharma	गोपाल शर्मा
goswami tulsidas	गोस्वामी तुलसीदास
greatbatch	ग्रेटबैच
greenspan	ग्रीनस्पान
gregory	ग्रेगोरी
groupe caisse dépargme	ग्रुप कैस डेपॉर्मे
grundy	ग्रंडी
grupo financiero galicia	ग्रुपो फ़ाइनेंशिएरो गैलिशिया
gufic	गुफ़िक
guido	गुइडो
gulf oil	गल्फ़ ऑईल
gullpur	गुल्लपूर
gumnaam	गुमनाम
gunther	गुंथर
gurudwara mata gujri ji	गुरूद्वारा माता गुजरी जी
gurudwara nankana sahib	गुरूद्वारा ननकाना सहिब
gurudwara tahliana sahib	गुरूद्वारा टाहलीआणा साहिब
gurusinha	गुरुसिन्हा
gustavo	गुस्तावो
gwalior	ग्वालियर
gyanada	ज्ञानदा
haathi mere saathi	हाथी मेरे साथी
hafnium	हॉफ्नियम
halwara	हल्वारा
hamari mazil	हमारी मंज़िल
hambada	हंबड़ा
hamburg	हैमबर्ग
hamidah	हमीदाह
hampton	हैंप्टन
harinarayan apte	हरीनारायण आपटे
hartford/bradley	हॉर्टफोर्ड/ब्रॉड्ले
hatyara	हत्यारा
heera moti	हीरा मोती
heeraa	हीरा
henrico	हेनरीको
hertog hendrik	हर्टोग हेन्ड्रिक
hinckley	हिंकले
hindee	हिंदी
hinduism	हिंदूइज़्म
hirve	हिरवे
hite road	हिटे रोड
homer	होमर
hoor-e-arab	हूर-ए-अरब
hosho	होशो
hud	हुद
hulchal	हलचल
hum naujawan	हम नौजवान
hum shakal	हम शक्ल
hum tum aur who	हम तुम और वो
humayun farhat	हुमायूँ फरहत
hunterwali	हंटरवाली
husn aur ishq	हुस्न और इश्क़
husnara	हुस्नआरा
hussum	हस्सम
i^dukaant	इंदुकांत
i^jeeniyar	इंजीनियर
iceland	आइसलैंड
ide	इडे
iduki	इडुकी
ihtiram	इहतिराम
ilaaka	इलाका
india glycols	इंडिया ग्लायकॉल्स
internet initiative japan	इंटरनेट इनीशिएटिव जापान
irving	इर्विंग
iskandar	इस्कन्दर
isle of wight	आइसल ऑफ विट
isolde	आइसोल्ड
israel prize	इस्राएल प्राइज़
jaal saaz	जाल साज़
jaandaar	जानदार
jabalah	जबालेह
jacinda	जैसिंडा
jacob oram	जेकब ऑरम
jacques	जैकस
jacques rudolph	जैक्वेस रुडॉल्फ
jadu	जादू
jagan	जगन
jagat mohini	जगत मोहिनी
jahan ara	जहाँ आरा
jal bin machali	जल बिन मछ्ली
jalangi	जलंगी
jalilah	जलीलाह
james dean	जेम्स डीन
janam janam ke phere	जनम जनम के फेरे
janette	जेनेट
japa	जप
jasper	जैस्पर
jassal	जस्सल
jawani ki lehren	जवानी की लहरें
jayawardene	जयवर्दने
jenaya	जेनेया
jennessa	जेनेसा
jerold	जेरॉल्ड
jerry	जेरी
jessup	जेसप
jetashri	जेतश्री
jethani	जेठानी
jiranimo	जिरानिमो
jogging	जॉगिंग
josh	जोश
jota	जोटा
journal	जर्नल
jowai	जोवई
jurrat	जुर्रत
kaamalwala	कामलवाला
kaartaveery	कार्तवीर्य
kahani phoolvati ki	कहानी फूलवती की
kahlo	काहलो
kairos	कैरोस
kaise kaise log	कैसे कैसे लोग
kala dhandha gorey log	काला धंधा गोरे लोग
kala ghoda	काला घोड़ा
kalika	कालिका
kamakshi amman	कामाक्षी अम्मान
kampala	कंपाला
kamran akmal	कमरन अकमल
kanishka	कनिष्का
kanpur	कानपुर
karale	कराले
kargam	कर्गम
kariakoil reservoir	करियाकोइल रिज़रवायर
kaspar	कैस्पर
kathajuri	काठजुरी
keefer	कीफर
keeratpur	कीरतपुर
kejimkujik	केज़ीमकुज़ीक
kellan	केलन
kenosha bible	केनोशा बायबल
khan bahadur	खान बहादुर
khandeshi	खानदेशी
khel mohabbat ka	खेल मोहब्बत का
khidash	खिदाश
khilona	खिलौना
khol de meri zuban	खोल दे मेरी ज़ुबान
khush bakht	खुश बख्त
khushboo	खुशबू
king charlemagne	किंग चार्लमेयनी
kiora	किओरा
kismat ki kasauti	किस्मत की कसौटी
kiswar	किस्वर
kochi refin	कोची रेफ़िन
kopran	कोप्रन
krishna bhakta sudama	क़ृष्ण भक्त सुदामा
kuberchand	कुबेरचंद
kummi	कुम्मी
kylemore	किलमोर
laadla	लाडला
lahu ki awaz	लहू की आवाज़
lajja	लज्जा
lakde	लकडे
lakheshvar	लखेश्वर
laksha	लाक्षा
lalita	ललिता
lalitkishore	ललितकिशोर
lamisah	लैमिसाह
lankesh	लंकेश
lankeshvar	लंकेश्वर
laureus world sports awards	लॉरेस वर्ल्ड स्पोर्ट्‍स अवार्ड्‍स
leala	लीला
leavitt	लेविट
legal	लीगल
leo	लिओ
lilka	लिल्का
livi	लिवी
logan	लॉगान
logie award	लॉग अवार्ड्‍स
loncin	लिन्सिन
london metropolitan university	लंडन मैट्रोपॉलिटन यूनिवर्सिटी
lopamudra	लोपमुद्रा
louie	लुई
lu luah	लु लुअ
lucinda	ल्यूसिंडा
luharwali	लुहरवाली
maan maryada	मान मर्यादा
madan lal	मदन लाल
madurai	मदुरै
mahadane	महादाणे
mahasamund	महासमुंद
maheen	महीन
majidah	माजिदह
major	मेजर
makati	मकाती
malaysia	मलेशिया
maleehah	मलीहाह
malika salomi	मलिका सलोमी
malini	मालिनी
mamta aur mian biwi	ममता और मियाँ बीवी
man ka meet	मन का मीत
mana pools	माना पूल्स
manaakshu	मनश्चक्षु
mandal	मंडल
maneeshaa	मनीषा
manendra	मनेंद्र
manila	मनीला
manjrekar	मांजरेकर
manju	मंजु
manmukhani	मनमुखानी
manoratha	मनोरथा
manzana	मंज़ाना
manzoor akhtar	मंज़ूर अख़्तर
marine drive	मरीन ड्राइव
mario	मारिओ
marriage bureau	मैरेज ब्यूरो
maryland	मेरीलैंड
mashoodah	मशूद
mashooqa	माशूका
maude	मौडे
mauna loa	मौनालोआ
mawana sugar	मवाना शुगर
medal of the gold star	मेडल ऑफ द गोल्ड स्टार
medhaavee	मेधावी
meenaalaal	मीणालाल
meetha zahar	मीठा ज़हर
megha	मेघा
mekhala	मेखला
menifee	मेनिफी
mera dost mera dushman	मेरा दोस्त मेरा दुश्मन
mercia	मेर्किया
mere garib nawaz	मेरे गरीब नवाज़
mgahinga gorilla	मगाहिंगा गोरिल्ला
michelin	मिशेलिन
mihir	मिहिर
minna	मिन्ना
miss bombay	मिस बॉम्बे
mitsubishi tokyo financial group	मित्सुबिशी टोक्यो फ़ाइनेंशियल ग्रुप
mitsui	मित्सुई
mohinder amarnath	मोहिंदर अमरनाथ
mongo	मोंगो
monica lewinsky	मोनिका लुइंस्की
morocco	मोरक्को
moroni	मोरोनी
morris	मॉरिस
mount revelstoke	माउंट रिवेलस्टोक
mridula	मृदुला
mu'azzam	मुअज़्ज़म
mubassir	मुबस्सिर
muchchal	मुच्चल
muftee	मुफ्ती
muhaayi	मुहायी
muhafiz	मुहाफिज़
muhajir	मुहाजिर
muhaymin	मुहायमीन
munich re group	मुनिच री ग्रुप
muralee	मुरली
murarilal	मुरारीलाल
mustaneer	मुस्तनीर
muttee	मुत्ती
my love	माय लव
naache uri	नाचे उरी
naag devta	नाग देवता
naag nagin	नाग नागिन
nagavahan	नगवाहन
nai bhabhi	नई भाभी
naim	नैम
najeed	नजीद
naotau	नौतू
narsimha	नरसिम्हा
nasik	नासिक
nasr	नस्र
nat king cole	नेट किंग कोल
national museum of american indian	नेशनल म्युज़ियम ऑफ अमेर‍िकन इंड‍ियन
national museum of china	नेशनल म्युज़ियम ऑफ चाइना
national order of quebec	नेशनल ऑर्डर ऑफ क्यूबेक
nationawide	नेशनवाइड
nav jeevan	नव जीवन
nazima	नाज़िमा
nazmul hossain	नज़्मुल हुसैन
neelgiri	नीलगिरी
nero	नीरो
nihar	निहार
niobium	नियोबियम
nirad	नीरद
nishane baazi	‍निशाने बाज़ी
nitrogen	नाइट्रोजन
nobelium	नॉबेलियम
okinoshima	ओकिनोशिमा
omeshvar	ओमेश्वर
omkar	ओंकार
orckit communications	ऑर्किट कम्यूनिकेशन्स
order of beneficence	ऑडर ऑफ बेनेफिसेंस
order of merit	ऑडर ऑफ मेरिट
order of merit for the fatherland	ऑडर ऑफ मेरिट फॉर द फादरलैंड
order of merit of the principality of liechtenstein	ऑडर ऑफ मेरिट ऑफ द प्रिंसिपेलिटी ऑफ लीकटेंस्टीन
order of national establishment merit	ऑडर ऑफ नेशनल एस्टैबलिशमेंट मेरिट
order of public services merit	ऑडर ऑफ पब्लिक सर्विसेस मेरिट
otto	ओटो
paanch khiladi	पाँच खिलाड़ी
paap ki kamai	पाप की कमाई
paatekar	पाटेकर
pable	पाब्ले
padmalaya	पद्मालया
pahunche hue log	पहुँचे हुए लोग
painleve	पेनलीव
pakkhoke	पक्खोके
palamu	पलामू
panama canal	पनामा केनाल
panchkula	पंचकुला
parewal	परेवाल
parvatinandan	पार्वतीनन्दन
passport	पासपोर्ट
pathyaa	पथ्या
pati pawan	पति पावन
paul and alexandra canellopoulos museum	पॉल एण्ड एलेक्ज़ेंड्रा कैनलोपॉलस म्युज़ियम
paul simon	पॉल सिमॉन
paul walker	पॉल वॉल्कर
pawana	पवाना
pearse museum	प‍ियर्स म्युज़ियम
pegasus	पेगासस
pentasoft	पेंटासॉफ़्ट
pet pyar aur paap	पेट प्यार और पाप
phaninath	फणिनाथ
philippine bank of communication	फिलीपीन बैंक ऑफ कम्यूनिकेशंस
philo wallace	फिलो वैलेस
philomena	फिलोमेना
pierrette	पिएरेटे
pingale	पिंगले
plainfield bible	प्लेनफिल्ड बायबल
pointer telocation	पॉइंटर टेलोकेशन
polish revolt against king augustus ii	पॉलिश रिवॉल्ट अगेंस्ट किंग अगस्टस ॥
pratighat	प्रतिघात
prem nagar	प्रेम नगर
professor	प्रोफेसर
professor pyarelal	प्रोफेसर प्यारेलाल
prokofiev	प्रोकोफीव
pugachev's rebellion	प्यूगाचेव्स रिबेलियन
puloma	पुलोमा
pura	पूरा
pyaasa sawan	प्यासा सावन
pyar ka mandir	प्यार का मंदिर
pyar ki dastan	प्यार की दास्तां
pyar ki raat	प्यार की रात
qaraah	कराह
qatil	कातिल
qayamat ki raat	क़यामत की रात
raamaveer	रामवीर
raj rani	राज रानी
rama o rama	रामा ओ रामा
ramanuj	रामानुज
ramkrishna	रामकृष्ण
ramkumar	रामकुमार
randilyn	रैंडिलिन
ranganath	रंगनाथ
rangeela raja	रंगीला राजा
rani aur jani	रानी और जानी
ranks	रैंक्स
rashid patel	रशीद पटेल
rashmika	रश्मिका
raste aur manzil	रास्ते और मंज़िल
ray illingworth	रे इलिंगवर्थ
rekhi	रेखी
reno	रेनो
reprisal	रीप्राइजल
rheinland	रेनलैंड
rikki clarke	रिकी क्लार्क
robbie hart	रॉबी हार्ट
robin jackman	रॉबिन जैकमन
rocket tarzan	रॉकेट टार्ज़न
rocky mount	रॉकी माउंट
roger tolchard	रॉजर टोल्चार्ड
roll	रॉल
romania	रोमानिया
ronia	रोनिया
rufus	रफस
rumesh ratnayake	रुमेश रत्नायके
ruwan kalpage	रुवान कल्पेज
saas bhi kabhi bahu thi	सास भी कभी बहू थी
saathe	साठे
saatvik	सात्विक
saaz	साज़
saba prize	सबा प्राइज़
sachche moti	सच्चे मोती
sadguna	सद्‍गुण
sadhu ya shaitan	साधू या शैतान
saeedah	सईदाह
safeenah	सफीनाह
sahar	सहर
saharanpur	सहारनपुर
sahibganj	साहिबगंज
sajiv murti	सजीव मूर्ति
sakal	सकाल
salahuddin ahmed	सलाहुद्दीन अहमद
salish	सालिश
saman jayantha	समन जयंथा
samarendu	समरेंदु
sameenah	समीनाह
sampat	सम्पत
sampreet	सम्प्रीत
samrat	सम्राट
samsherbaz	समशेरबाज़
samuel chase	सैमुएल चेस
sana	साना
sangam	संगम
sant kabir	संत कबीर
sant tukaram	संत तुकाराम
sanyasi	सन्यासी
saoirse	सेओइर्स
saranga	सारंग
sardar	सरदार
saroja	सरोजा
sarojani	सरोजनी
satish gujral	स‍तीश गुजराल
savu sea	सावू सी
sawech	सावेच
scuba diving	स्कूबा डाइविंग
sealey	सीले
selima	सेलिमा
shagird	शागिर्द
shah e iran	शाह ए ईरान
shahid nazir	शाहिद नाज़िर
shahraj	शहराज
shahriar nafees	शहरियार नफीस
shailen_dr	शैलेन्द्र
shakun	शकुन
shalimar paints	शालीमार पेंट्स
shart	शर्त
shashiprabha	शशिप्रभा
shashirekha	शशिरेखा
sheesh	शीश
shek lei pui reservoir	शेक लेई पुई रिज़रवायर
shin shinaki babla boo	शिन शिनाकी बबला बू
shoaib mohammad	शोएब मोहम्मद
shrivats	श्रीवत्स
siddhi vinayak	सिद्धी विनायक
silicom	सिलिकॉम
silicon motion technology corporation	सिलिकॉन मोशन टेक्नोलॉजी कॉर्पोरेशन
sinochem	सिनोकेम
sister	सिस्टर
sita	सीता
siwar	सिवार
skirrow	स्किरॉ
sofoklis	सोफ़ोक्लीज
sohni mahiwal	सोहनी महिवाल
sokhi	सोखी
soma	सोमा
somakant	सोमकांत
somdev	सोमदेव
sonya	सोनिया
soorat	सूरत
sourabh	सौरभ
spence	स्पेंस
sri shakti	श्री शक्ती
state museum of the vermont historical society	स्टेट म्युज़ियम ऑफ द वरमाउंट हिस्टॉरिकल सोसायट‍ी
state tower	स्टेट टॉवर
state university of new york	स्टेट यूनिवर्सिटी ऑफ न्यू यॉर्क
steel	स्टील
steffie	स्टेफी
steve waugh	स्टीव वॉ
subhagya	सुभाग्या
sudeep	सुदीप
suhayb	सुहैब
suheera	सुहीरा
sultanat	सल्तनत
sumitomo	सुमिटोमो
sumitranandan pant	सुमित्रानंदन पंत
sunanda	सुनन्दा
supa dam	सुपा डैम
superb	सुपर्ब
surinderjeet	सुरिन्दरजीत
sushil	सुशील
sushobhana	सुशोभना
syed fazl kareem quadri	सय्यद फज़्ल करीम क़ादरी
tacita	टेसिटा
tahir	ताहिर
tajammul	ताजम्मुल
talabandi	तालाबंदी
tanu	तनु
taqat	ताकत
tarakeshwar	तारकेश्वर
taranga	तरंग
tareq aziz	तारीक अज़ीज़
tayyeb	तय्यब
teledata	टेलीडेटा
tellurium	टेल्यूरियम
tenerife south reina sofia	तेनेरीफ साउथ-रेइना सोफिया
terribile	टेरिबल
thadeus	थड्डेअस
thana	थाना
thane	ठाणे
the afternoon	द आफ्टरनून
the carper award	द कार्पर अवार्ड
the economic times	द इकनॉम‍िक टाइम्स
thea	थिया
thorarinsson medal	थोरारिंसन मेडल
tickner	टिक्नर
titicaca	टिटिकाका
trevor madondo	ट्रेवर मैडोंडो
trinidad and tobago	त्रिनिदाद एण्ड टोबॅगो
trynt	ट्रायंट
turco-persian war	टर्को-पर्शियन वार
turkana	टुर्काना
