aarti	আরতি
cref	ক্রের্ফ
crimean	ক্রিমেন
crook	ক্রুক
crucell	ক্রুসেল
culture	কালচার
cup	কাপ
dabhaura	দাভাউরা
dabur	ডাবর
daibaki	দৈবকী
dalu	দালু
darbhanga	দ্বারভাঙ্গা
daren	ডারেন
darryl	ড্রেল
daudahosen	দাউদহোসেন
daulat	দৌলত
dayle	ডেল
debaki	দেবকী
debasis	দেবাসিস
debduta	দেবদুত
debesh	দেবেশ
debibala	দেবীবালা
debshankar	দেবশঙ্কর
deepak	দীপক
delhaize	ডেলহাইজে
delta	ডেল্টা
delvada	দেলভাদা
denmark	ডেনমার্ক
denso	ডেন্সো
dentam	দেন্তাম
denzel	ডেনজেল
deogan	দেওগাঁও
derbacki	ডেরবাকি
devgadh	দেবগাধ
devlali	দেভলালি
dhadial	ধাদিয়াল
dhanahari	ধনহরি
dhanawala	ধানাও্বালা
dhandhuka	ধানধুকা
dhanera	ধানেরা
dhankumari	ধনকুমারী
dhanumati	ধানুমতি
dharamdev	ধরমদেব
dharmadas	ধর্মদাস
dharmanath	ধর্মনাথ
dhinoj	ধিনোজ
dhirenchandra	ধীরেনচন্দ্র
dhobari	ধোবারি
dhumakot	ধুমাকোট
dickin	ডেকিন
didwana	দিদওয়ানা
diego	দিয়েগো
dilawarnagar	দীলায়ারনগর
dileswar	দিলেশ্বর
dimapur	ডিমাপুর
dipakranjan	দীপকরঞ্জন
dipmala	দীপমালা
divya	দীভ্যা
dixit	দীক্ষিত
dobbelaar	ডোবেলার
dongargarh	ডনগারগড়
doraha	ডোরাহা
dover	ডোভার
drafts	ড্রাফটস
drakes	ড্রাকেস
dravid	দ্রাভিড
du	ডু
duaba	দুউয়াবা
dubia	দুবিআ
duduk	ডুডুক
dulal	দুলাল
dunkerque	দুনকারকিউ
durban	ডারবান
durgadasi	দুর্গাদাসী
durgapada	দূর্গাপদ
durgauti	দূগাউতি
dvoyanka	ডোভোয়াঙ্কা
ebadulla	এবাদুল্লা
edinburg	এডিনবার্গ
edrich	এডরিচ
eenadu	ইএনাডু
einstein	আইনস্টাইন
elworthy	এলওরথি
emdadulhok	এমদাদুলহক
erasmus	ইরাস্মুস
ester	ঈস্টার
ethnology	ইথনোলোজি
etna	এতনা
eurotrust	ইউরোট্রাস্ট
excel	এক্সেল
exeter	এক্সিটার
farha	ফরহা
farhedi	ফরহেদি
faridakhatun	ফরিদাখাতুন
farm	ফার্ম
fateh	ফতেহ
fatejanbibi	ফতেজানবিবি
fattar	ফত্তার
fazilka	ফাজিলকা
feland	ফেল্যান্ড
femina	ফেমিনা
ferro	ফেরো
fidel	ফিদেল
fields	ফ্লিডস
fillmore	ফিলমোর
firojabibi	ফিরোজাবিবি
fletcher	ফ্লেচার
floyd	ফ্লোড
folk	ফক
frank	ফ্রাঙ্ক
fredericks	ফ্রেড্রিক্স
freud	ফ্রয়েড
frontzos	ফ্রোন্টজস
fujitsu	ফুজিতসু
fuljanbibi	ফুলজানবিবি
gadabari	গোদাবরী
gadhara	গাধরা
gaidhani	গাইধানি
gallium	জেলিয়াম
galu	গালু
gangapur	গঙ্গাপুর
gani	গানি
garden	গার্ডেন
gardner	গার্ডনার
garrick	গারিক
gears	গিয়ারস
gerhardus	গেরহারডুস
gerita	গিরিটা
ghai	ঘাই
ghaziabad	গাজিয়াবাদ
ghorawadi	ঘোরাওযাদি
ghugus	ঘুগুস
gilat	জিলট
gitashri	গীতশ্রী
goalpara	গোলপারা
gobain	গোবেন
golamali	গোলামআলী
golapi	গোলাপী
golbanu	গোলবানু
goldie	গোল্ডি
golokbihari	গোলকবিহারী
gomati	গোমোতি
goodwin	গুডউইন
goodyear	গুডইয়ার
gopali	গোপালী
gopi	গোপী
gorana	গোরানা
gotan	গোতান
goti	গতি
gourde	গোউরদে
gournitai	গৌরনিতাই
grandmasters	গ্রান্ডমাস্টারস
granville	গ্রেনভিল
grasim	গ্রাসিম
greek	গ্রীক
greenland	গ্রীণল্যান্ড
grid	গ্রিড
gua	গুয়া
gul	গুল
guneru	গুনেরু
gunu	গুনু
gunung	গুনুঙ্গ
gupi	গুপী
guraia	গুরাইয়া
gurudwara	গুরুদ্বার
ha	হা
hai	হাই
haiti	হাইতি
haitian	হাইতিয়ান
half	হফ
hameda	হামেদা
hamida	হমিদা
hamidabanu	হামিদাবানু
hampshire	হ্যম্পশ্রে
harare	হারারে
haribansh	হরিবংশ
harmhan	হরমোহন
harper	হারপের
harvinder	হারভিন্দ্র
haslam	হিসল্যাম
hasrat	হসরত
hassan	হাসান
haven	হেভেন
haweli	হাভেলী
heemskerck	হেমসকেক্র
heer	হীর
hein	হেন
hemlata	হেমলতা
hermes	হার্মেস
heroism	হেরোইজম
heywood	হেউড
higher	হায়ার
hillcrest	হিলক্রেস্ট
himachal	হিমাচল
hinckley	হিংকলে
hindustan	হিন্দুস্থান
hldgs	হিডজস
hokkaido	হোক্কাইডো
holder	হোল্ডার
horatio	হো্রাসিও
horton	হর্টন
hosenali	হোসেনআলি
hossain	হোসেন
hotton	হোট্টোন
houghton	হোগটোন
hujwiri	হুজিরি
huntsville	হ্যান্টসভিল
hurdles	হার্ডলেস
hustle	হুস্টলে
iberdrola	ইবারড্রোলা
idaho	ইদাহো
indra	ইন্দ্রা
ingeborg	ইঙ্গেবোর্গ
ingram	ইনগ্রাম
insurance	ইনস্যুরেন্স
isratbanu	ইসরতবানু
italia	ইটালিয়া
italiano	ইটালিয়ানো
itatiaia	ইতাতিয়াইয়া
iturani	ইতুরানী
iwo	আইও
jabbar	জব্বার
jaclyn	জ্যাকলিন
jahanarabibi	জাহানারাবিবি
jahir	জহির
jaleika	জালেইকা
jamirali	জামিরআলী
janet	জেনেট
janjgir	জাঞ্জগির
janjira	জাঞ্জিরা
jefferson	জেফারসন
jesus	জেসাস
jinta	জিনটা
jinu	জিনু
jitterbug	জিতারবাগ
jose	জোস
jota	জোতা
jurjaman	নূরজামান
kahf	কাফ
kajalbati	কাজলবতী
kalomanik	কালোমানিক
kalpage	কালপেজ
kalpana	কল্পনা
kamalabibi	কমলাবিবি
kanai	কানাই
kanchandevi	কাঞ্চনদেবী
kanpur	কানপুর
karali	করালী
karambir	করমবীর
karate	ক্যারাটে
karimali	করিমআলি
karsan	কারসন
kato	কাটো
kavli	কাভলি
kawabata	কাওয়াবাটা
kawishar	কাওইশ্বর
kephart	কেফার্ট
kershaw	কার্স
khabar	খবর
khagadia	খাগাদিয়া
khahera	খাহেরা
khalda	খালদা
khalsa	খালসা
khandur	খান্দুর
khatavkar	খাতভকার
khokaram	খোকারাম
kirandevi	কিরনদেবী
kochi	কোচি
koning	কোনিং
konkan	কোঙ্কণ
konkani	কোঙ্কনী
kratz	ক্রাটজ
krishnendu	কৃষ্ণেন্দু
kudremukh	কুদ্রেমুখ
kuleswar	কুলেশ্বর
kurani	কুড়ানী
kuresha	কুরেশা
kurus	কুরুস
ladakh	লাদাখ
lagos	লাগোস
lalanprasad	লালনপ্রসাদ
lalmani	লালমণি
lalun	লালুন
lampert	ল্যাম্পের্ট
lamps	ল্যাম্পস
lancers	ক্যানসার্স
landon	লন্ডন
lantin	ল্যান্টিন
lappeenranta	ল্যাপেনর্যানটা
larry	লারি
latifa	লতিফা
laval	লাভাল
lawrie	ল্যরি
laxmirani	লক্ষ্মীরাণী
leacock	লেয়াকুক
legion	লিজিয়ান
leone	লিওন
liechtenstein	লিচটেন্সটাইন
lifetime	লাইফটাইম
livingstone	লিভিংস্টোন
location	লোকেশান
logan	লোগান
lole	লোলে
lorraine	লরেন
loréal	লোরিয়াল
luzerne	লুজার্নে
lynn	লিন
macalpine	ম্যাকালপিন
macewen	ম্যাকেতেন
maclean	ম্যাকলেন
macronix	মার্কোনিক্স
madani	মাদানি
madankumar	মদনকুমার
madhurani	মধুরানী
madison	মাডিসন
mah	মাহ
mahadeo	মহাদেও
mahal	মহল
mahanama	মাহানামা
maharoof	মাহারুফ
mahbubali	মহবুবআলি
maheshchandra	মহেশচন্দ্র
maheshwari	মহেশ্বরী
majbura	মজবুরা
majibur	মজিবুর
majirun	মজিরুন
makardam	মকরদম
makati	মাকাতি
makhijani	মাখিজানি
makshud	মকশুদ
malai	মালই
malekabegam	মালেকাবেগম
mamatabegam	মমতাবেগম
mamudan	মমুদান
manda	মন্দা
mangli	মঙ্গলী
manika	মণিকা
manikaran	মনিকরণ
manikram	মানিকরাম
manjara	মঞ্জরা
manjulika	মঞ্জুলিকা
manjurakhatun	মঞ্জুরাখাতুন
manning	মনিং
manojmohan	মনোজমোহন
manorama	মনোরমা
manurani	মনুরানী
maple	ম্যাপলি
maputo	মাপুটো
marathwada	মারাঠওয়ারা
marchais	মারচেইস
mari	মারি
maribala	মরীবালা
marina	মরিনা
marjahan	মারজাহান
martell	মার্টেল
martiniere	মার্টিনিইয়ার
masid	মাসিদ
masjid	মসজিদ
mastopha	মস্তোফা
mathrubhumi	মাত্রুভূমি
matila	মতিলা
matirani	মতিরানী
meghalaya	মেঘালয়
meherban	মেহেরবান
methanex	মিথানেক্স
methuselah	মেথুসলাহ
mihijan	মিহিজান
mijanur	মিজানুর
milirani	মিলিরানী
minhaujuddin	মিনহাজউদ্দিন
minibala	মিনিবালা
mirabegam	মীরাবেগম
mithu	মিঠু
mithulal	মিঠুলাল
mitsui	মিতসুই
modesto	মোডেস্টো
modular	মডিউলার
mohindar	মোহিন্দর
mohinuddin	মহিনউদ্দিন
mojamali	মোজামআলি
momtaj	মোমতাজ
monali	মোনালী
monarch	মোনার্চ
monoruddin	মনোরুদ্দিন
montagu	মোন্টাগু
montego	মন্টেগো
moors	ম্যুরস
more	মোরে
morinda	মোরিন্দা
morning	মরনিং
moscow	মাস্কো
moshraph	মোশরফ
mostara	মোস্তারা
mount	মাউন্ট
muchchal	মৌচ্ছাল
muchiram	মুচিরাম
muhammad	মুহাম্মদ
mujibar	মুজিবর
mujibul	মুজিবুল
mukesh	মুকেশ
muktarali	মুক্তারআলি
muktipada	মুক্তিপদ
mukula	মুকুলা
mule	মুলে
mungi	মুঙ্গি
munnidevi	মুন্নিদেবী
munsif	মুনসিফ
mushaphir	মুশাফির
mysore	মহিশূর
naatu	নাটু
nabahari	নবহরি
nabihosen	নবীহোসেন
nabinkumar	নবীনকুমার
nadala	নাদালা
nader	নাদের
nagar	নগর
naimisharanya	নৈমিশারণ্য
najibul	নজিবুল
naliniranjan	নলিনীরঞ্জন
nandurkar	নন্দুরকার
nanihara	ননীহারা
nanni	নান্নী
naosed	নওসেদ
naoshad	নওশাদ
napoleon	নেপোলিয়ান
naqqash	নাক্কাস
narsinghpur	নরসিংহপুর
nayan	নয়ন
neherul	নেহেরুল
nekemahammad	নেকমহম্মদ
nepalchandra	নেপালচন্দ্র
nephajul	নেফাজুল
nepura	নেপুরা
newcastle	নিউক্যাস্টেল
nielsen	নিয়েলসেন
nierenberg	নিরেনবার্গ
nijamot	নিযামোত
nikhilbandhu	নিখিলবন্ধু
nikhilranjan	নিখিলরঞ্জন
nilambar	নীলাম্বর
nile	নীল
nilkanta	নীলকান্ত
nimaji	নিমাজী
niranjan	নিরঞ্জন
nirar	নিহার
niren	নীরেন
nirodabala	নীরোদাবালা
nirodbaran	নীরোদবরণ
nirupama	নিরুপমা
nishir	নিশির
nishit	নিশীথ
nitu	নিতু
noakes	নোকেস
noguchi	নোগুচি
nonehar	নোনেহার
nottingham	নোটিংহাম
numan	নুমান
nurek	নুরেক
nurmahammad	নুরমহাম্মদ
oakland	ওকল্যান্ড
obedabibi	ওবেদাবিবি
obie	ওবি
odai	ওডাই
ogle	ওগলে
oldonyo	ওলদোনিও
on	অন
orizaba	ওরিজাবা
orteig	ওর্টেইগ
osprey	অসপ্রে
otieno	ওতিএনো
oxford	ওক্সফোর্ড
pabita	পবিতা
paise	প্যায়সে
palakdhari	পলকধারী
palashkumar	পলাশকুমার
palframan	পালফ্রম্যান
palu	পালু
pankhi	পঙ্খী
pankhiram	পঙ্খীরাম
pantanal	পান্তানাল
panyangara	পান্যাঙ্গারা
parchure	পরচুরে
pareshkumar	পরেশকুমার
parle	পার্লে
parul	পারুল
parulata	পারুলতা
parulbegam	পারুলবেগম
pate	পাটে
patharkar	পাথরকার
patilal	পতিলাল
patlu	পাতলু
pawana	পাওয়ান
peer	পীর
periyar	পেরিয়ার
pesewas	পেসেওয়াস
pethkar	পেথকার
photography	ফোটোগ্রাফী
phuleshwari	ফুলেশ্বরী
pinku	পিঙ্কু
prabhanshu	প্রভাংশু
prabhunatha	প্রভুনাথ
prague	প্রাগ
prahlad	প্রহলাদ
pranesh	প্রানেশ
pravin	প্রাভিন
precision	প্রেসিসান
prism	প্রিজম
psivida	পসিভিড
publix	পাবলিক্স
pulitzer	পুলিতজার
purabi	পূরবী
purana	পুরানা
purba	পুরবা
pushpandu	পুষ্পেন্দু
pycroft	পিক্রোফট
qalander	কলান্দার
qin	কুইন
queens	কুইন্স
raajwade	রাজওয়াদে
rabiulalam	রবিউলআলম
radha	রাধা
raigarh	রাইগড়
rajgarh	রাজগড়
rajibkumar	রাজীবকুমার
rajjak	রজ্জাক
rakhirani	রাখীরানী
ramakanta	রামাকান্ত
ramgarh	রামগড়
rammohan	রামমোহন
ramprakash	রামপ্রকাশ
ramswarup	রামস্বরুপ
ramuwalia	রামুওয়ালিয়া
ranganath	রঙ্গনাথ
rangu	রঙ্গঁ
rantu	রন্টু
ratri	রাত্রি
raymond	রেমন্ড
rehana	রেহানা
rekha	রেখা
relativity	রিলেটিভিটি
ricasoli	রিকাসোয়েল
richelieu	রিচেলিউ
riddle	রিডেল
rijak	রিজাক
rinkubala	রিঙ্কুবালা
ritu	ঋতু
rodeo	রোডেও
rohidas	রোহিদাস
rose	রোহ
roshnaibibi	রোশনাইবিবি
rubicon	রুবিকন
rudolph	রুডোলফ
rudradeb	রুদ্রদেব
ruma	রুমা
rumadasi	রুমাদাসী
rumki	রুমকী
rupban	রূপবান
rupjanbibi	রুপজানবিবি
rupsahana	রূপসাহানা
russel	রুসেল
russell	রাসেল
rutherford	রুথারফোর্ড
saavarkar	সাভারকার
sabana	সাবানা
sablu	সাবলু
sabo	সাবো
saeed	সায়েদ
sahad	সাহাদ
sahadeo	সহদেও
sahan	সাহান
saharwardy	সাহারওয়ার্দি
saheb	সাহেব
sahid	সহিদ
sahidali	সহিদআলি
salek	সালেক
sama	সামা
sameer	সমের
sanchari	সঞ্চারী
sangita	সঙ্গীঁতা
sanjana	সঞ্জনা
sanu	সনু
sarojit	সরোজিত্
sarojkumar	সরোজকুমার
satis	সতিশ
sawen	সাওয়েন
saxon	স্যাক্সোন
sayar	সাওর
scanian	স্কানিয়ান
schoenfeld	স্কহোয়েনফেল্ড
scissor	সিজার
selatan	সেলাটান
selim	সেলীম
selkirk	সেলকির্ক
semuliki	সেমুলিকি
seventies	সেভেন্টিস
sewnarine	সেউইনারিন
shachindra	শচীন্দ্র
shakti	শক্তি
shannon	শানন
shantilal	শান্তিলাল
shantiranjan	শান্তিরঞ্জন
shatadru	শতদ্রু
shekharkanti	শেখরকান্তি
shibapada	শিবপদ
shiblal	শিবলাল
shibshambhu	শিবশম্ভু
shikishima	শিকিশিমা
shobhanlal	শোভনলাল
shokatali	শওকতআলি
shotra	শোট্রা
shraban	শ্রবন
shrehari	শ্রীহরি
shribas	শ্রীবাস
shrinibas	শ্রীনিবাস
shriparna	শ্রীপর্ণা
shubhadip	শুভদীপ
shun	সাং
shyompur	শায়োমপুর
sibelius	সিবেলিয়াস
siddik	সিদ্দিক
sierra	সিয়ের
signy	সিগ্নি
silverline	সিলভারলাইন
sitaram	সীতারাম
skirth	স্কির্থ
skram	স্ক্রাম
smoker	স্মোকার
snorkeling	স্নোকেলিং
sohini	সোহিনী
solent	সোলেন্ট
somalia	সোমালিয়া
soman	সোমান
somanath	সোমানাথ
sonalirani	সোনালীরানী
soryu	সোরিয়ু
soumen	সৌমেন
soumodip	সৌমদীপ
sourav	সৌরভ
spitbank	স্পিটব্যাঙ্ক
srapanch	স্রাপাঞ্চ
srinivasan	শ্রীনিভাসন
stanwix	স্টানউইক্স
states	স্টেড
statoil	স্টটয়েল
steeg	স্টিগ
stuart	স্টুয়ার্ড
subarno	সুবর্ন
subex	সুবেক্স
subhrarani	শুভ্রারানী
subrata	সুব্রতা
sudam	সুদাম
sudipa	সুদীপা
sukanta	সুকান্ত
sulekha	সুলেখা
sulema	সুলেমা
sumati	সুমতি
sumila	সুমিলা
sumita	সুমিতা
sunatra	সুনেত্রা
suparna	সূপর্ণা
suranjan	সুরঞ্জন
surdas	সুরদাস
suren	সুরেন
surendranagar	সুরেন্দ্রনগর
surjahan	সুরজাহান
sushamarani	সুষমারাণী
sushmita	সুষ্মিতা
syneron	সাইনেরন
system	সিস্টেম
tanuka	তনুকা
tanzania	তানজানিয়া
tapanchandra	তপনচন্দ্র
tapaschandra	তাপসচন্দ্র
tara	তারা
taranibala	তরনীবালা
tarula	তরুলা
tasminabibi	তসমিনাবিবি
tehri	তরাই
tejbahadur	তেজবাহাদুর
television	টেলিভিশান
tempelhof	টেম্পেলহোপ
thallium	থালিয়াম
thobal	থোবাল
thompson	থম্পসন
thorn	থর্ন
tinku	টিঙ্কু
transfi	ট্রানসফাই
trend	ট্রেন্ড
trinity	ত্রিনিতি
triomphe	ট্রায়ম্ফ
trishnarani	তৃষ্ণারানী
trombita	ট্রোম্বিটা
tugrik	তুগরিক
ugine	ইউজিন
umapada	উমাপদ
unichem	ইউনিকেম
unnav	উন্নাভ
ununpentium	উনউনপেন্টিয়াম
upasana	উপাসনা
urbashi	উর্বশী
vasa	ভাসা
vermont	ভারমন্ট
viacom	ভিয়াকম
vico	ভিকো
vijaynagar	বিজয়নগর
vikhe	ভিখে
villiers	ভিলিয়ার
vinayekaar	বিনায়েকার
vodafone	ভোডাফোন
vonhagt	ভোঙ্গট
wacoal	ওয়াকোয়াল
wajahatullah	ওয়াজহাতুল্লাহ
wal	ওয়াল
waraich	ওয়ারাইচ
waris	ওয়ারিস
wasti	ওয়াস্তি
waugh	ওয়া
west	ওয়েস্ট
westminster	ওয়েষ্টমিনিস্টার
whitefish	হোয়াইটফিশ
willie	উইলি
wimborn	উইমবর্ন
winston	উইন্সটোন
woogie	উগি
xyratex	জিরাটেক্স
yorkshire	ইয়র্কশায়ার
yusen	ইউসেন
zainabad	জেইনাবাদ
zandunga	জানদুঙ্গো
