A BOMB	เอบอมบ์
ADAPTOR	อะแดปเตอร์
ADARE	เออแดร์
ADAT	อาดัต
ADB	เอดีบี
ADC	เอดีซี
ADCOCK	เอิดค็อก
ADDAMS	แอดดัมส์
ADDAMS, CHARLES	แอดดัมส์, ชาลส์
ADDE	แอ็ด
ADDEN	แอ็ดเดิ่น
ADDERLEY	เอิดเดอร์ลี่ย์
ADDIS	แอดดิส
ADDIS ABABA	แอดดิสอาบาบา
ADDISON	แอดดิสัน
ADDITIVE	แอดดิทิฟ
ADDITON	เอิดดีเติ้น
ADE	เอด
ADEL	อเดล
ADELA	อเดลล่า
ADELBERT	เออเดลเบิร์ต
ADELE	อเดลเล่
ADELINA	แอ็ดเดลลีน่า
ADELINE	แอ็ดเดอไลน์
ADELLE	อเดลล์
ADELMAN	แอ็ดเดิลเมิ่น
ADELMANN	แอเดิลเมิ่น
ADEN	เอเดน
ADER	เอเดอร์
ADES	เอดึส
ADGER	แอดเจอร์
ADIABATIC	อะเดียแบติก
ADIE	แอดี้
ADIN	เออดิน
ADJUST	แอดจัสต์
ADKINS	แอ็ดคินส์
ADKINSON	แอดคินสัน
ADKISSON	แอดคิสัน
ADLER	แอ็ดเลอร์
ADLEY	แอ็ดลีย์
ADMIRALTY	แอดมิรัลตี
ADMISSION	แอดมิชชั่น
ADNA	แอ็ดน่า
ADOBE	อะโดบี
ADOLF	อดอล์ฟ
ADOLPH	เอดอล์ฟ
ADOLPHUS	แอดอลเฟิส
ADOWA	อาโดวา
ADP	เอดีพี
ADRENALCORTEX	อะดรีนัลคอร์เทกซ์
ADRENALIN	อะดรีนาลิน
ADRETTO	อาเดรตโต
ADRIAN	อาดรีอัน
ADRIANA	เอดรีแอน่า
ADRIANNA	ออดรีแอน่า
ADRIANOPLE	เอเดรียโนเปิล
ADRIATIC	เอเดรียติก
ADRIEN	อาเดรียง
ADRIENNE	อาเดรียน
ADT	เอดีที
ADULARIA	อะดูลาเรีย
ADVANCE	แอดวานซ์
ADVECTION	แอดเวกชัน
ADVISORY	แอดไวซอรี
AEBERSOLD	แอเอเบอร์โซลด์
AEGEAN	อีเจียน
AEGIRINE	อีจิรีน
AEGIRITE	อีจิไรต์
AERO GRAMME	แอโรแกรม
AEROBES	แอโรบส์
AEROBIC BACTERIA	แอโรบิกแบคทีเรีย
AEROGRAM	แอโรแกรม
AEROPLANE	แอโรแพลน
AEROSOL	แอโรซอล
AEROSPHERE	แอโรสเฟียร์
AESOP	อีสป
AFEE	เอฟี่
AFFINITY	แอฟฟินิที
AFFLECK	แอฟฟลิก
AFGANISTAN	อัฟกานิสถาน
AFGHANI	อัฟกานี
AFGHANISTAN	อัฟกานิสถาน
AFLATOXIN	อะฟลาทอกซิน
AFRA	เอฟรา
AFRICA	แอฟริกา
AFRICAN	อัฟริกัน
AFRICANUS	แอฟริกาเนิส
AFT	แอฟต์
AFTA	อาฟตา
AFTERSHAVE	อาฟเตอร์เชฟ
AFTERSHOCK	อาฟเตอร์ช็อก
AGAIN	อเกน
AGAR	อะการ์
AGAR-AGAR	อะการ์-อะการ์
AGARD	แอเกิร์ด
AGASSIZ	อะกัสซิส
AGATE	อะเกต
AGATHA	แอกาทา
AGAVE	อะกาเว
AGEE	เอจี่
AGENT	เอเจนต์
AGEY	เอจีย์
AGGAR	แอ็กเกอร์
AGINS	เอกินส์
AGIS	แอเกิส
AGNATHA	แอกนาทา
AGNES	อักเนส
AGNEW	แอกนิว
AGNUS	แอ็กเนิส
AGO	อโก
AGOGO	อะโกโก
AGONIC	อะกอนิก
AGOSTINELLI	อาโกสติเนลี่
AGOSTINO	อากอสตีโน
AGRE	อเกอร์
AGREST	เออเกรสต์
AGRICOLA	แอกรีโคล่า
AGRIHAN	อากรีฮัน
AGRIPPA	อกรีปป้า
AGRON	แอ็กรอน
AGUE	แอ็ก
AGULHAS	อะกัลแฮส
AGY	อจี้
AHALT	ออฮอล์ต
AHEARNE	เออเฮิร์น
AHERN	เออเฮิร์น
AHERNE	เออเฮน
AHL	ออล
AHLBERG	แอลเบิร์ก
AHLEM	ออเลิม
AHLERS	อเลิร์ส
AHLGREN	อัลเกรน
AHLQUIST	อัลควิสต์
AHO	อาโฮ
AHR	อาร์
AHRENS	อารินส์
AHTI	อาตี้
AHU	เอเอชยู
AI	เอไอ
AIDAN	ไอดัน
AIDE MEMOIR	เอดเมมมัวร์
AIDS	เอดส์
AIGUILLE	เอกีย์
AIKENS	เอคินส์
AIKINS	ไอคินส์
AILEEN	เอลีน
AILES	ไอล์ส
AILESBURY	เอลิสแบรี่
AILSA	เออิลซ่า
AIME	เอม
AIN	เอน
AINES	เอนส์
AINLEY	เอนลีย์
AINSLIE	เอนสลี่
AINSWORTH	เอนสเวิร์ท
AIR	แอร์
AIR BUS	แอร์บัส
AIR CONDITION	แอร์คอนดิชัน
AIR CONDITIONING	แอร์คอนดิชันนิง
AIR HOSTESS	แอร์โฮสเตส
AIR MAIL	แอร์เมล์
AIRBAG	แอร์แบ๊ก
AIRBRUSH	แอร์บรัช
AIRBUS	แอร์บัส
AIRCRAFT	แอร์คราฟต์
AIREDALE	เอเรเดล
AIREY	เอรีย์
AIRIS	เอริส
AIRLIE	แอร์ลี่
AIRLINE	แอร์ไลน์
AIRPORT	แอร์พอร์ต
AIRY	เอรี่
AISLEY	ไอสลีย์
AITCHISON	เอชีสัน
AITKEN	ไอต์เคิน
AITOFF	ไอทอฟฟ์
AITRE	เอทรี่
AIYAR	ไออีอาร์
AJANTA	อชันตา
AJAX	เอแจ๊กส์
AKBAR	อักบาร์
AKELEY	เออคีลีย์
AKENSIDE	เอเคนไซด์
AKER	แอเคอร์
AKERMAN	แอเคอร์เมิ่น
AKERS	เอเคิร์ส
AKIN	อคิน
AKINS	อคินส์
AKROYD	แอ็กรอยด์
AKST	แอ็กสต์
AL JAZEERA	อัลจาซีรา
AL QUEIDA	อัลกออิดะ
AL-SADAT, ANWAR	อัลซาดัต, อันวาร์
ALABAMA	แอละแบมา
ALABANDITE	อะลาแบนไดต์
ALABASTER	อะลาบาสเตอร์
ALABASTRON	อะลาบาสตรอน
ALACHLOR	อะลาคลอร์
ALAGAPPA	แอเลอกาป้า
ALAIN	แอเลน
ALAMO	แอละโม
ALAN	แอลัน
ALANSON	แอลันสัน
ALAR	อะลาร์
ALARCON	เอิลลาร์คอน
ALARIC	แอลเลอริก
ALAS	อะลาส
ALASDAIR	เอเลิสแดร์
ALASKA	อะแลสกา
ALASKITE	อะแลสไกต์
ALASTAIR	แอเลิสแตร์
ALBAN	ออลเบิน
ALBANESE	อัลบาเนซี
ALBANIA	แอลเบเนีย
ALBANY	ออลบานี
ALBARES	แอลแบรึส
ALBEDOMETER	แอลบิโดมิเตอร์
ALBEE	แอลบี
ALBEMARLE	แอลเบอมาเริล
ALBEN	ออล์เบิน
ALBER	อัลเบอร์
ALBERDING	แอลเบอร์ดิ่ง
ALBERIC	แอลเบอริก
ALBERS, JOSEF	อัลเบอร์ส, โยเซฟ
ALBERT	อัลเบิร์ต
ALBERT BANDURA	อัลเบิร์ต แบนดูรา
ALBERTA	แอลเบอร์ตา
ALBERTAN	แอลเบอร์ตัน
ALBERTINA	อัลเบอร์ตีน่า
ALBERTINE	แอลเบอร์ตีน
ALBERTINI, DEMETRIO	อัลแบร์ตีนี, เดเมตรีโอ
ALBERTSON	แอลเบิร์ตสัน
ALBERTY	เอิลเบอร์ตี้
ALBERY	แอลเบอรี่
ALBIN	แอลบีน
ALBION	แอลเบี่ยน
ALBITE	แอลไบต์
ALBITIE	แอลบิไทต์
ALBRIGHT, MADELEINE K.	ออลไบรต์ แมเดลีน เค.
ALBRITTON	แอลบริเติ้น
ALBRO	แอลโบร
ALBU	แอลบู
ALBUM	อัลบัม
ALBUMINOID	อัลบูมินอยด์
ALCALA	อัลคาล่า
ALCAN	แลแคน
ALCATRAZ	อัลคาแทรซ
ALCH	แอล์ช
ALCOCK	เอิลค็อก
ALCOHOL	แอลกอฮอล์
ALCOHOLISM	แอลกอฮอลิซึม
ALCORN	แอลเคิร์น
ALCOSOL	แอลกอโซล
ALCOTT	ออลคอตต์
ALCRETE	อัลครีต
ALDA	อัลด้า
ALDAN	อัลเดิ่น
ALDEN	อัลเดิน
ALDER	ออลเดอร์
ALDERMAN	ออลเดอร์เมิน
ALDERS	ออลเดิร์ส
ALDERSON	ออลเดอร์สัน
ALDERTON	ออลเดอร์เติ้น
ALDINGTON	ออลดิงตัน
ALDIS	อัลดิส
ALDO	อัลโด้
ALDOUS	ออลดัส
ALDRED	แอลเดิร์ด
ALDRIDGE	ออลดริจ
ALDWORTH	อัลด์เวิร์ท
ALE	เอล
ALEC	อะเล็ก
ALECK	เออเล็ก
ALENE	อลีน
ALEPH	อะเลฟ
ALERS	เออเลิร์ส
ALETHA	ออเลอท่า
ALEUTIAN	อาลิวเชียน
ALEUTIAN LOW	อะลูเชียนโลว์
ALEX	อะเล็กซ์
ALEXA	อเล็กซา
ALEXANDERSON	แอเลิกแซนเดอร์สัน
ALEXANDRA	อะเล็กซานดรา
ALEXANDRIA	อะเล็กซานเดรีย
ALEXANDRIAN	อะเล็กซานเดรียน
ALEXANDRINA	แอเลิกแซนดรีน่า
ALEXANDRINE	อะเล็กซันดรีน
ALEXANDRITE	อะเล็กซานไดรต์
ALEXIA	อเล็กเซีย
ALEXIOU	แอเล็กซู
ALEXOPOULOS	แอลิกซอเปอลิส
ALEY	เอลีย์
ALF	แอล์ฟ
ALFALFA	อัลฟัลฟา
ALFANO	อัลฟาโน่
ALFATOXIN	แอฟลาทอกซิน
ALFIERI	อัลฟีรี่
ALFISOLS	แอลฟิซอลส์
ALFONSE	แอลฟอนส์
ALFORD	แอลเฟิร์ด
ALFRED	อัลเฟรด
ALGAE	อัลจี
ALGAL BLOOM	อัลกัลบลูม
ALGAR	อัลการ์
ALGER	แอลเจอร์
ALGERIA	แอลจีเรีย
ALGERNON	อัลเจอร์นอน
ALGIE	ออลกี่
ALGIERS	แอลเจียร์
ALGOL	อัลกอล
ALGOMA	แอลโกม่า
ALGOMAN	แอลโกมัน
ALGONKIAN	แอลกองเคียน
ALGONKIN	อัลกอนกิน
ALI	อาลี
ALI, MUHAMMAD	อาลี, มุฮัมมัด
ALICE	อาลีซ
ALICIA	อลิเซีย
ALICK	เออลิก
ALICYCLIC	แอลิไซคลิก
ALIDADE	อะลิเดด
ALIEN	เอเลียน
ALINE	เอิลไลน์
ALING	เออลิ่ง
ALINSKY	เออลินสกี้
ALIOTO	อัลลีโอโต้
ALIPHATIC	อะลิฟาทิก
ALIPHATIC HYDROXY ACIDS	อะลิฟาทิกไฮดรอกซีแอซิด
ALIQUOT	อะลิควอด
ALISON	แอลิสัน
ALISTAIR	แอลิสเทอร์
ALISTER	แอลิสเทอร์
ALIX	แอลิกซ์
ALKALI	แอลคาไล
ALKALIC	แอลคาลิก
ALKALINE	อัลคาไลน์
ALKALOID	อัลคาลอยด์
ALKANE	แอลเคน
ALKENE	แอลคีน
ALKYL BENZENE SULFONATE	แอลคิลเบนซีนซัลโฟเนด
ALKYL SULFATE	แอลคิลซัลเฟต
ALKYNE	แอลไคน์
ALLAIN	อเลน
ALLAN	แอลลัน
ALLANITE	แอลลาไนต์
ALLANSON	เออเลินสัน
ALLARD	แอลเลิร์ด
ALLAWAY	เอิลเลอเวย์
ALLCHIN	ออคิ้น
ALLEGHENY	แอลเลเกนี
ALLELOMORPH	แอลลีลโลมอร์ฟ
ALLEN	อัลเลน
ALLENBY	แอลเลินบี้
ALLENDALE	แอเลินเดล
ALLENDOERFER	แอลลินดูร์เฟอร์
ALLER	ออลเลอร์
ALLERS	ออลเลิร์ส
ALLERTON	แอลเลอร์เติ้น
ALLEY	แอลลี่ย์
ALLEYNE	แอเลน
ALLGAIER	แอลไกเออร์
ALLGOOD	ออลกู๊ด
ALLIES	แอลไลส์
ALLIN	เอิลลิน
ALLING	อลิง
ALLINGHAM	ออลลิงแฮม
ALLINSON	แอลลินสัน
ALLIS	แอลลิส
ALLISON	แอลลิสัน
ALLISTON	แอลลิสต้อน
ALLMAND	ออลแมนด์
ALLO	แอลโล
ALLOPHANE	แอลโลเฟน
ALLOT	เอิลลัต
ALLOTT	แอเอิต
ALLOTYPE	แอลโลไทป์
ALLOWAY, LAWRENCE	อัลโลเวย์, ลอว์เรนซ์
ALLOY	อัลลอย
ALLPORT	ออลพอร์ต
ALLSOP	ออลซอป
ALLSTON	ออลสเติ้น
ALLUM	แอลเลิ่ม
ALLWOOD	ออลวูด
ALLWORTHY	ออลเวอร์ที่
ALLWRIGHT	ออไรต์
ALLYN	แอลลิน
ALM	อัล์ม
ALMA	อัลมา
ALMA ATA	อัลมาอาตา
ALMAN	แอลเมิน
ALMANDITE	แอลมันไดต์
ALMANZA	อัลมอนซา
ALMARIC	อัลมาริก
ALMEN	อัลเมน
ALMER	ออลเมอร์
ALMIRA	อัลมีร่า
ALMON	อัลเมิน
ALMOND	อัลมอนด์
ALMUS	แอลเมิส
ALMWIND	อาล์มวินด์
ALNWICK	แอลน์วิก
ALOIS	อลอยส์
ALONSO	อะลอนโซ
ALOR	อะลอร์
ALOYSIA	อัลลอยเซีย
ALP	แอลป์
ALPASS	แอลเพิส
ALPERIN	แอลเปอริน
ALPERS	แอลเพิร์ส
ALPERT	แอลเพิร์ต
ALPHA	อัลฟา
ALPHAND	แอลแฟนด์
ALPHONSE	แอลฟอนส์
ALPHONSO	แอลฟอนโซ่
ALPHONSUS	แอลฟอนเซิส
ALPIN	อัลพิน
ALPINE	อัลไพน์
ALPORT	แอลพอร์ต
ALPS	แอลป์
ALSACE	อัลซาซ
ALSATIAN	อัลเซเชียน
ALSDORF	แอลส์ดอร์ฟ
ALSIKE CLOVER	อัลไซค์โคลเวอร์
ALSIP	แอลซิป
ALSOP	แอลซอป
ALSTON	ออลสเติ้น
ALT	อัลต์
ALTAMIRA	อัลตามีรา
ALTAMONT	ออลเตอเมิ่นต์
ALTEN	ออลเทิ่น
ALTER	ออลเตอร์
ALTERMAN	ออลเตอร์เมิ่น
ALTERNATIVE	ออลเทอร์เนทิฟ
ALTHAUS	แอลเฮาส์
ALTHOUSE	ออตเฮาส์
ALTIMETER	แอลทิมิเตอร์
ALTIPLANO	อัลติปลาโน
ALTITHERMAL	แอลติเทอร์มอล
ALTITUDE	แอลทิจูด
ALTMAN	ออล์ตเมิน
ALTMEYER	แอลต์ไมเออร์
ALTOBELLI	อัลโตเบลี่
ALTOCUMULUS	แอลโตคิวมูลัส
ALTOCUMULUS CASTELLATUS	แอลโตคิวมูลัสแคสเตลลาตัส
ALTON	ออลตัน
ALTOSTRATUS	แอลโตสเตรตัส
ALTRINCHAM	ออลทรินเชิ่ม
ALTSCHUL	แอลเชิล
ALTSHULER	แอลชิวเลอร์
ALTUS	แอลเติส
ALTY	แอลตี้
ALU	เอแอลยู
ALUMINA	อะลูมินา
ALUMINIUM	อะลูมิเนียม
ALUMINOTHERMIC	อะลูมิโนเทอร์มิก
ALUMINUM	อลูมินัม
ALUN	เอเลิ้น
ALUNITE	อะลูไนต์
ALVA	แอลวา
ALVAN	แอลเวิ้น
ALVANLEY	แอลวันลีย์
ALVARADO	แอลเวอราโด้
ALVAREZ	แอลเวอเรส
ALVEN	แอลเวิ่น
ALVER	แอลเวอร์
ALVERSTONE	แอลเวอร์สโตน
ALVEY	แอลวีย์
ALVIN	แอลวิน
ALVIS	อัลวิส
ALVORD	แอลวอร์ด
ALWAR	แอลวอร์
ALWARD	แอลเวิร์ด
ALWAY	แอลเวย์
ALWIN	แอลวิน
ALWYN	แอลวิน
ALY	เอลี
ALZHEIMER	อัลไซเมอร์
AMADIS	ออแมดิส
AMALGAM	อะมัลกัม
AMALIA	อมาเลีย
AMANDA	อแมนด้า
AMARNA	อะมาร์นา
AMASA	แอมมาซ่า
AMAZON	แอมะซอน
AMAZONITE	แอมะซอนไนต์
AMAZONSTONE	แอมะซอนสโตน
AMBEDKAR	แอมเบดคาร์
AMBERLEY	แอมเบอร์ลีย์
AMBERSON	แอมเบอร์สัน
AMBLER	แอมเบลอร์
AMBLYGONITE	แอมบลิโกไนต์
AMBRE	แอมเบอร์
AMBRIDGE	แอมบริดจ์
AMBRO	แอมโบร
AMBROSE	แอมบรอส
AMBROSIA	แอมโบรเซีย
AMBROSIO	แอทโบรซีโอ้
AMBROSIUS	แอมเบรอซีเอิส
AMECHE	แอเมช
AMELIA	อเมอเลีย
AMEN	อาเมน
AMENT	แอมินต์
AMERICA	อเมริกา
AMERICA CUP CLASS	อเมริกาคัพคลาส
AMERICAN	อเมริกัน
AMERICAN INDIAN	อเมริกันอินเดียน
AMERICAN IVY	อเมริกันไอวี่
AMERICAN SHARE	อเมริกันแชร์
AMERICIUM	อะเมริเซียม
AMERICUS	เออเมริเคิส
AMERMAN	แอเมอร์เมิ่น
AMERSON	แอเมอร์สัน
AMERY	แอมเมอรี่
AMES	เอมส์
AMESLAN	แอมสลัน
AMETHYST	แอมิทิสต์
AMEY	เอมีย์
AMICK	แอมิก
AMIDON	แอมีเดิ่น
AMIEL	แอมีเอิล
AMIES	เอมีส์
AMIN	อะมีน
AMINE	แอมีน
AMINO	อมิโน
AMIRANTES	แอมิแรนต์
AMIS	เอมิส
AMITY	แอมิตี้
AMMAN	อัมมัน
AMMANN	แอมเมิ่น
AMMERMAN	แอมเมอร์เมิ่น
AMMETER	แอมมิเตอร์
AMMI	แอมมี่
AMMON	แอมเมิ่น
AMMONIA	แอมโมเนีย
AMMONIA NITROGEN	แอมโมเนียไนโตรเจน
AMMONIFICATION	แอมโมนิฟิเคชัน
AMMONITE	แอมโมไนต์
AMMONIUM NITRATE	แอมโมเนียมไนเตรต
AMMONOID	แอมโมนอยด์
AMMONS	แอมเมิ่นส์
AMOEBA	อมีบา
AMORGOS	อะมอร์กอส
AMORINO	อะมอริโน
AMORUSO	แอเมอรูโซ่
AMORY	เอเมอรี่
AMOS	เอมอส
AMOSITE	เอโมไซต์
AMOTT	ออม็อต
AMPERE	แอมแปร์
AMPEROMETRIC	แอมเปอโรเมตริก
AMPHETAMINE	แอมเฟตามีน
AMPHIBRACH	แอมฟิแบรก
AMPHIDROMIC	แอมฟิโดรมิก
AMPHIMIXIS	แอมฟิมิกซิส
AMPHINEURAN	แอมฟินิวแรน
AMPHIPROTIC	แอมฟิโพรติก
AMPLIFIER	แอมปลิฟายเออร์
AMPLITUDE	แอมพลิจูด
AMPS	แอมปส์
AMPTHILL	แอมป์ทิล
AMRAM	แอมแรม
AMSTER	แอมสเตอร์
AMSTERDAM	อัมสเตอร์ดัม
AMSTUTZ	แอมสตัตส์
AMTER	แอมเตอร์
AMUNDSON	แอเมินด์สัน
AMWELL	แอมเวล
AMY	เอมี
AMYOT	แอมีเอิต
ANABOLISM	แอแนบอลิซึม
ANACRUSIS	อะนาครูซิส
ANAEROBES	แอนแอโรบส์
ANAEROBIC	แอนแอโรบิก
ANAGLYPH	แอนะกลิฟ
ANAIS	อะนาอิส
ANALCIME	อะนาลไซม์
ANALCITE	อะนาลไซต์
ANALEMMA	แอนะเลมมา
ANALLY	แอนแนลลี่
ANALOG	อะนาล็อก
ANALOG COMPUTER	แอนะล็อกคอมพิวเตอร์
ANALOGUE	อะนาล็อก
ANAPHASE	แอนาเฟส
ANAST	อันนาสต์
ANASTASIA	อานัสตาเซีย
ANATASE	อะนาเทส
ANATEXITE	แอนาเทกไซต์
ANATOLE	แอเนาโทล
ANATOMY	อะแนโทมี
ANAUXITE	แอนอกไซต์
ANAXIMANDER	อานักซีมันเดร์
ANCASTER	แอนแคสเตอร์
ANCHER	แอนเชอร์
ANCHOR	แองเคอร์
ANCHORAGE	แองคอริจ
ANCHOVY	แอนโชวี
AND	แอนด์
ANDALUSITE	แอนดาลูไซต์
ANDAMAN	อันดามัน
ANDELMAN	แอนเดิลเมิ่น
ANDER	แอนเดอร์
ANDERES	แอนเดอเรส
ANDERS	อันเดอรส์
ANDERSON	แอนเดอร์สัน
ANDES	แอนดีส
ANDESINE	แอนดีซีน
ANDESITE	แอนดีไซต์
ANDISOLS	แอนดิซอลส์
ANDLESS	แอนด์ลีส
ANDORRA	อันดอร์รา
ANDORRA LA VELLA	อันดอร์ราลาเวลลา
ANDRADE	แอนเดรด
ANDRADITE	แอนดราไดต์
ANDRAS	ออนเดริส
ANDRE	อองเดร
ANDRE, CARL	อองเดร, คาร์ล
ANDREA	แอนเดรีย
ANDREAS	อันเดรส
ANDRESS	อันเดรส
ANDRETTA	แอนเดรตต้า
ANDREWES	แอนดรูส
ANDREWS, JULIE	แอนดรูวส์, จูลี
ANDREY	อันเดรย์
ANDROGEN	แอนโดรเจน
ANDROMEDA	แอนโดรเมดา
ANDRONICUS	แอนโดรนิคัส
ANDROS	อันดรอส
ANDRUS	แอนเดริส
ANDRY	แอนดรี้
ANDY	แอนดี
ANE	เอน
ANEMOMETER	อานีโมมิเตอร์
ANEMONE FISH	อนิโมนฟิช
ANEROID	แอนิรอยด์
ANEROIDOGRAPH	บารอกราฟ
ANEURIN	เอินริน
ANFINSEN	แอนฟินเซิ่น
ANGAS	แองเกิส
ANGEL	เอนเจล
ANGELA	อันเจลา
ANGELES	แอนเจิลลิส
ANGELICA	แอนเจลิก้า
ANGELICUS	แอนเจเลอเคิส
ANGELINA	แอนเจิลลีน่า
ANGELL	เอนเจิล
ANGELO	แอนเจโล
ANGELUS	แอนเจอเลิส
ANGER	แองเกอร์
ANGERS	แองเกอร์ส
ANGEVINE	เองกีไวน์
ANGIE	แอนจี้
ANGIER	แองจีเออร์
ANGIOCH	แอนจิออก
ANGLE	แองเกิล
